PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:34:05.57,1,1,"Rabe, Taylor",815040,Right,OLE_REB,"Phelps, Tre",804569,Right,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.14868,-1.308297,-3.511713,2308.540486,226.299445,1:30,6.34809,2.42479,6.40078,-15.0758,13.81808,13.56241,3.88616,0.3215,89.25928,-4.182648,-1.059863,0.386878,,,,,,,,,,,,-7.96386,7.81087,-2.17851,50,6.24693,8.07601,-141.08837,-3.67469,-16.16943,29.91258,-16.31521,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,80e203d0-419e-11f1-a64f-d103b1f5eb52,97.42715,,,7.8894,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:34:05.57,2026-04-26T13:34:05.5715840-05:00,2026-04-26T18:34:05.5715840Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,544d0e22-be3a-46ae-9ae1-b6ce5d5b230c,54.10012,-141.95498,14.95629,6.34654,-3.20201,-8.1576,-2.41928,8.54447,-8.08471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:34:33.98,1,2,"Rabe, Taylor",815040,Right,OLE_REB,"Phelps, Tre",804569,Right,GEO_BUL,Undefined,1,Top,0,1,0,Sinker,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,97.35118,-1.572097,-3.501944,2433.175865,228.954742,1:45,6.18199,2.59817,6.35849,-16.60651,12.22091,13.05359,3.34815,0.45891,89.49863,-4.717673,-1.143634,0.386433,87.47265,39.981137,9.671343,4157.162079,106.39299,83.79013,27.93736,293.69109,291.12702,22.759231,5.310879,-7.7302,7.04618,-2.35018,50,6.05995,8.09719,-141.37267,-4.40767,-15.75323,30.13604,-17.81474,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,91cf0da0-419e-11f1-a64f-d103b1f5eb52,97.53941,100.96462,,7.85255,,,,1.09887,3.51104,-0.44565,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:34:33.98,2026-04-26T13:34:33.9896320-05:00,2026-04-26T18:34:33.9896320Z,FlyBall,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,d484a8e4-3395-42ec-9278-89af743111cd,54.1432,-142.25312,15.06802,6.18113,-3.88719,-8.90737,-2.59347,8.55743,-7.87662,206.987984,1.10419,96.79849,-21.56135,4.67426,-0.54849,-0.01828,0.01564,-0.0018,7E-05,3.51022,82.44429,-19.95833,1.38635,-0.11076,-0.05505,0.02559,-0.00403,0.00022,-0.44719,16.54965,3.67232,-1.10916,0.14324,0.01019,-0.0064,0.00082,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-26,13:35:10.68,2,1,"Rabe, Taylor",815040,Right,OLE_REB,"Jackson, Daniel",828714,Right,GEO_BUL,Undefined,1,Top,1,0,0,Sinker,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.75389,-3.052968,-3.92562,2482.786017,230.889298,1:45,6.1911,2.48048,6.68514,-16.11174,12.10292,13.88406,2.04681,0.04126,90.28541,-6.110556,-1.402699,0.382304,,,,,,,,,,,,-8.2726,7.39996,-2.22294,50,5.98,9.16129,-141.84424,-8.05416,-17.03807,29.12691,-16.93323,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,a7b03fe0-419e-11f1-a64f-d103b1f5eb52,98.59285,,,7.46848,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:35:10.68,2026-04-26T13:35:10.6863104-05:00,2026-04-26T18:35:10.6863104Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,d5386532-c344-43fe-bc00-9a49ef2c6239,53.81629,-142.62574,14.56346,6.19001,-7.59983,-8.46662,-2.47488,9.61844,-8.51903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:35:27.20,2,2,"Rabe, Taylor",815040,Right,OLE_REB,"Jackson, Daniel",828714,Right,GEO_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.24271,-2.084439,-4.230248,2415.546977,213.8887,1:15,6.30307,2.27993,6.46768,-12.32261,16.28946,10.41308,3.35565,-0.74467,90.02811,-4.446918,-2.348785,0.384987,,,,,,,,,,,,-6.43737,9.26721,-1.98541,50,6.14974,10.00537,-141.16126,-5.48574,-13.19306,27.405,-13.18143,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,b18fb720-419e-11f1-a64f-d103b1f5eb52,97.90577,,,7.2146,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:35:27.20,2026-04-26T13:35:27.2072192-05:00,2026-04-26T18:35:27.2072192Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,0fedf732-0d93-457d-9c57-5f5664345449,54.03408,-141.94228,13.7025,6.30073,-5.11008,-6.59072,-2.27592,10.38136,-6.59653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:35:45.47,2,3,"Rabe, Taylor",815040,Right,OLE_REB,"Jackson, Daniel",828714,Right,GEO_BUL,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,86.68503,0.533061,-1.012063,2092.783922,6.40154,6:15,6.1652,2.32506,6.14058,-44.57176,-8.05111,-1.01949,2.94362,1.3047,80.21229,-7.654936,-1.196224,0.434951,,,,,,,,,,,,0.26303,-3.94166,-2.24741,50,6.18317,2.26874,-126.13824,-0.37204,0.42648,24.11781,-38.56532,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,bc76b350-419e-11f1-a64f-d103b1f5eb52,86.65898,,,6.47275,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:35:45.47,2026-04-26T13:35:45.4717440-05:00,2026-04-26T18:35:45.4717440Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,7134582f-c9dc-4986-b5a2-6adb3c5f80e8,54.36224,-126.96957,12.0589,6.17308,0.95728,-19.28266,-2.32536,2.25405,0.21324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,13:36:05.64,2,4,"Rabe, Taylor",815040,Right,OLE_REB,"Jackson, Daniel",828714,Right,GEO_BUL,Undefined,1,Top,1,2,1,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.77405,-2.885112,-5.49264,2425.577801,227.545715,1:30,6.16757,2.35316,6.71828,-15.54458,12.85237,13.10324,2.22056,-1.59105,89.83646,-5.850741,-3.119886,0.383537,,,,,,,,,,,,-8.30056,7.7978,-1.99302,50,5.96926,13.06336,-141.52086,-7.60297,-16.94897,30.23149,-16.2516,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,c873da70-419e-11f1-a64f-d103b1f5eb52,98.27591,,,7.93759,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:36:05.64,2026-04-26T13:36:05.6493568-05:00,2026-04-26T18:36:05.6493568Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,326f7bd4-1420-4122-afab-f1d5cfb0410b,53.7822,-142.32651,15.11575,6.1661,-7.16987,-8.1258,-2.34718,13.51504,-8.47449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:36:24.77,2,5,"Rabe, Taylor",815040,Right,OLE_REB,"Jackson, Daniel",828714,Right,GEO_BUL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,98.36559,-2.405779,-4.060308,2458.46325,231.979477,1:45,6.22565,2.28952,6.3924,-15.61414,12.63883,15.08296,2.70485,-0.19437,90.45256,-5.368352,-1.335757,0.382563,78.23962,-67.25383,-6.796058,,,,,2.4518,2.4518,1.463939,0.0254,-8.95642,7.48713,-2.00418,50,6.04495,9.48955,-142.70556,-6.49496,-18.6009,30.65252,-16.62461,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,d3d536c0-419e-11f1-a64f-d103b1f5eb52,98.52598,2.69655,,7.91303,,,,1.3284,2.69655,0.19642,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:36:24.77,2026-04-26T13:36:24.7740416-05:00,2026-04-26T18:36:24.7740416Z,GroundBall,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,44a4b90e-c75d-4358-a5a2-55fa3d33e800,54.10981,-143.58562,15.32626,6.22457,-6.01765,-8.31231,-2.2843,10.0236,-9.30045,,1.32782,44.19738,,,,,,,,2.69793,-106.16449,,,,,,,,0.19649,-5.26714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2026-04-26,13:37:11.91,3,1,"Rabe, Taylor",815040,Right,OLE_REB,"Lujo, Rylan",803863,Right,GEO_BUL,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.80457,-3.381303,-4.557494,2335.146263,229.455078,1:45,6.10617,2.31439,6.46499,-15.58548,12.93898,14.1393,1.68818,-0.70224,90.18134,-6.334068,-2.002569,0.384397,,,,,,,,,,,,-8.55075,7.88878,-1.99806,50,5.85937,10.70064,-141.70762,-8.87069,-17.5542,29.4695,-15.97878,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,efec1220-419e-11f1-a64f-d103b1f5eb52,98.05604,,,7.62323,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:37:11.91,2026-04-26T13:37:11.9173120-05:00,2026-04-26T18:37:11.9173120Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,d0544ea2-a7a5-4154-9ab0-e743fdb49680,54.03688,-142.54466,14.73475,6.10489,-8.41684,-7.98939,-2.30908,11.19924,-8.7771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,13:37:34.36,3,2,"Rabe, Taylor",815040,Right,OLE_REB,"Lujo, Rylan",803863,Right,GEO_BUL,Undefined,1,Top,2,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.98419,-2.326744,-3.332196,2327.281895,231.224101,1:45,6.0372,2.51218,6.36872,-16.29237,12.77953,14.81883,2.53367,0.6774,89.15008,-5.415121,-0.653022,0.388068,78.19124,-43.65093,-91.336703,,,,,3.79936,3.79936,-62.684347,0.032375,-8.64217,7.55201,-2.27799,50,5.86099,7.57677,-140.80546,-6.23428,-17.45222,30.20844,-16.92331,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,fd5154c0-419e-11f1-a64f-d103b1f5eb52,97.12841,2.57053,,7.83412,,,,1.80635,2.57053,-0.68191,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:37:34.36,2026-04-26T13:37:34.3696384-05:00,2026-04-26T18:37:34.3696384Z,GroundBall,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,0b049268-3918-476c-881a-81bbbc19d6d9,54.13341,-141.68947,15.10422,6.03618,-5.73905,-8.46166,-2.50719,8.08748,-8.72611,,1.80638,-1.94153,,,,,,,,2.57177,-79.39846,,,,,,,,-0.68061,-83.20568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-04-26,13:38:05.11,3,3,"Rabe, Taylor",815040,Right,OLE_REB,"Lujo, Rylan",803863,Right,GEO_BUL,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,98.4325,-2.294675,-5.270243,2456.067314,215.017012,1:15,6.32246,2.33213,6.63079,-12.41855,16.00788,10.53477,3.17652,-1.62909,89.25236,-4.714602,-3.365892,0.383736,,,,,,,,,,,,-7.07878,9.3756,-1.97818,50,6.16092,12.68197,-142.39677,-6.03647,-14.43802,34.72299,-13.05136,OLE_REB,GEO_BUL,OleMiss,D1,SEC,20260426-OleMiss-1,0fa2d090-419f-11f1-a64f-d103b1f5eb52,98.22493,,,9.18014,,,,,,,17935f29-475c-4642-81be-f54241b66cb8,2026-04-26,18:38:05.11,2026-04-26T13:38:05.1155456-05:00,2026-04-26T18:38:05.1155456Z,,v3,5322,226,409b445e18e24e0ab960087c2c88b702,"Reuter, Collin",801469,Right,OLE_REB,489f8ab2-d932-46d9-9f2e-702586bae340,53.86781,-143.33682,17.36149,6.31956,-5.68313,-6.52568,-2.32681,13.07284,-7.21901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
