PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:05:49.34,1,1,"Blue, Connor",1000195441,Right,CIN_BEA,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.38416,-1.096756,-2.545743,2220.828169,217.822157,1:15,5.44021,1.48663,6.2832,-15.49032,16.60076,11.97201,3.13739,0.13644,83.91727,-4.099384,-0.383509,0.407722,,,,,,,,,,,,-6.94288,9.26796,-1.30377,50,5.35147,5.48401,-135.36498,-3.00239,-12.67316,34.0222,-15.25677,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,2cefcde0-4192-11f1-9de6-7964e049c6f9,92.44652,,,9.46689,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:05:49.34,2026-04-26T13:05:49.3420544-04:00,2026-04-26T17:05:49.3420544Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,aca54088-14d1-4f23-97ac-18de22a004cc,54.21108,-136.41928,17.0111,5.43718,-2.52961,-7.62838,-1.47979,5.87673,-6.33658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:06:04.43,1,2,"Blue, Connor",1000195441,Right,CIN_BEA,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.34228,-1.561517,-3.096457,2254.669038,210.095607,1:00,5.46095,1.56922,6.32636,-15.0165,16.84867,9.12752,2.7691,-0.52448,84.52975,-4.462189,-1.44813,0.406284,,,,,,,,,,,,-5.64465,9.53552,-1.34693,50,5.3394,6.92811,-135.34423,-4.0919,-10.37903,31.94109,-14.64071,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,35e35e80-4192-11f1-9de6-7964e049c6f9,92.77365,,,8.81253,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:06:04.43,2026-04-26T13:06:04.4398592-04:00,2026-04-26T17:06:04.4398592Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,fe6adc1f-52e5-40d0-a686-2c1757413444,54.17015,-136.32483,15.97055,5.45812,-3.64242,-7.32036,-1.56451,7.24675,-5.18951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,13:06:19.99,1,3,"Blue, Connor",1000195441,Right,CIN_BEA,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.04566,-0.11299,-0.453182,2239.232251,221.681085,1:30,5.49182,1.6428,6.02154,-16.71808,15.82753,13.05572,3.99399,2.31102,83.74107,-3.324153,1.895705,0.410599,,,,,,,,,,,,-6.77359,8.48056,-1.61387,50,5.47383,0.47445,-134.99144,-0.75327,-12.30948,33.5403,-16.76257,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,3f30f600-4192-11f1-9de6-7964e049c6f9,91.7987,,,9.30459,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:06:19.99,2026-04-26T13:06:19.9948800-04:00,2026-04-26T17:06:19.9948800Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,5b2c1a3a-935f-4dfb-b062-242a198984e2,54.47348,-136.0984,16.77015,5.48956,-0.20005,-8.38128,-1.63623,0.8807,-6.15474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:06:34.40,1,4,"Blue, Connor",1000195441,Right,CIN_BEA,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.64813,1.324626,-1.193531,1486.625164,235.333821,1:45,5.32607,1.71891,5.89315,-26.11328,11.5354,14.7802,4.38032,1.84228,78.14524,-3.592986,1.458255,0.441618,,,,,,,,,,,,-7.83457,5.87477,-1.63076,50,5.41802,1.98196,-125.66129,2.07641,-12.37364,28.379,-22.89564,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,47caa6d0-4192-11f1-9de6-7964e049c6f9,85.35087,,,8.50288,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:06:34.40,2026-04-26T13:06:34.4001024-04:00,2026-04-26T17:06:34.4001024Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,d63ca7a9-0a54-482c-b1c2-d20427969dc1,54.60224,-126.69639,14.1895,5.32705,2.9115,-11.44782,-1.71128,2.43327,-6.18682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:06:53.95,1,5,"Blue, Connor",1000195441,Right,CIN_BEA,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,2,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.98658,1.056658,-1.344061,2339.307816,56.772465,8:00,5.44764,1.67219,5.39198,-41.25632,-0.13953,-2.52847,3.00032,0.20157,75.55597,-6.523052,-1.793738,0.46151,,,,,,,,,,,,0.80547,0.10028,-1.5504,50,5.51366,2.9654,-121.6254,0.73039,1.18374,28.0595,-32.02668,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,536b2f00-4192-11f1-9de6-7964e049c6f9,81.67201,,,8.43061,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:06:53.95,2026-04-26T13:06:53.9580000-04:00,2026-04-26T17:06:53.9580000Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,6f88c4ad-357f-4fe1-9bda-65c1cc25b36b,55.10295,-122.79703,14.02975,5.45524,2.06767,-16.01334,-1.67319,2.91598,0.59187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56946,2.949861,1.6128,1.337061,-2.45027,2.53724,-0.07938,-6.19684,3.16185,4.99084,75.31163,16.10357,49.49058,-6.03377,67.53529,-4.971,3.32696,30.85741,-15.88877,4.94515,33.66076,-0.26915,High,High,High,,,High,High,High
6,2026-04-26,13:07:27.15,2,1,"Blue, Connor",1000195441,Right,CIN_BEA,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.06737,0.647868,-2.551871,2291.364102,139.534557,10:45,5.43834,1.58368,5.47259,-37.81262,2.13941,-0.57917,2.89419,-0.85423,76.61205,-6.315835,-2.654891,0.454926,,,,,,,,,,,,-0.55319,1.32512,-1.3589,50,5.46999,5.51409,-123.15489,0.02862,-0.83447,28.52393,-30.17518,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,674a28a0-4192-11f1-9de6-7964e049c6f9,82.85398,,,8.45532,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:07:27.15,2026-04-26T13:07:27.1565824-04:00,2026-04-26T17:07:27.1565824Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,824e6748-b830-4142-a75b-6691af84bd42,55.02309,-124.31284,14.26197,5.44396,1.25361,-15.08759,-1.58344,5.54796,-0.41723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:07:40.33,2,2,"Blue, Connor",1000195441,Right,CIN_BEA,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.04176,-1.174964,-2.378835,2099.835573,51.183588,7:45,5.44859,1.5029,5.53159,-53.22979,-7.0026,-10.76343,-0.08666,-1.61902,71.99384,-10.834291,-4.30162,0.489351,,,,,,,,,,,,4.69047,-2.77921,-1.28865,50,5.31071,5.16952,-114.52697,-4.14342,6.09639,25.37399,-35.78627,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,6f10f910-4192-11f1-9de6-7964e049c6f9,77.02543,,,7.04792,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:07:40.33,2026-04-26T13:07:40.3321344-04:00,2026-04-26T17:07:40.3321344Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,7d328682-c4b0-4bab-bce1-15255d713c52,54.96925,-115.62268,12.687,5.45627,-2.59806,-17.89314,-1.5062,4.90626,3.0482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,13:08:03.70,2,3,"Blue, Connor",1000195441,Right,CIN_BEA,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.96388,-1.976827,-4.090013,2283.864672,216.580614,1:15,5.39495,1.56788,6.34114,-16.7041,14.05178,9.65788,2.17761,-1.39917,86.27278,-5.166447,-2.348231,0.399149,,,,,,,,,,,,-6.18973,8.19189,-1.27407,50,5.24273,9.41634,-137.56559,-5.24782,-11.79462,32.11804,-16.56427,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,7cfd1ef0-4192-11f1-9de6-7964e049c6f9,94.4319,,,8.6911,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:08:03.70,2026-04-26T13:08:03.7020672-04:00,2026-04-26T17:08:03.7020672Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,b92d9c57-50c1-4184-a66f-e670244a00a6,54.15605,-138.53252,16.05902,5.39321,-4.74914,-8.28213,-1.56289,9.77142,-5.89731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,13:08:19.76,2,4,"Blue, Connor",1000195441,Right,CIN_BEA,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,1,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.44417,-1.114098,-2.121593,2296.641798,62.123743,8:00,5.37862,1.63518,5.55949,-41.69042,-2.21165,-6.34315,0.86268,-0.87651,78.24122,-8.683713,-3.254136,0.452223,,,,,,,,,,,,2.67087,-0.51087,-1.44755,50,5.25454,4.80111,-122.65594,-3.87805,4.08871,23.15211,-32.95611,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,8694ded0-4192-11f1-9de6-7964e049c6f9,83.34914,,,6.20295,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:08:19.76,2026-04-26T13:08:19.7636608-04:00,2026-04-26T17:08:19.7636608Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,84c7c05f-e945-49c4-9a66-c3f53a0638da,54.94224,-123.5853,11.57605,5.38366,-2.55515,-16.47805,-1.63698,4.63698,2.04436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,13:08:35.91,2,5,"Blue, Connor",1000195441,Right,CIN_BEA,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.12706,-1.654478,-2.907716,2228.711736,200.965467,12:45,5.42457,1.58343,6.39238,-15.97611,16.25473,5.84973,2.56913,-0.60578,84.48783,-4.708223,-1.849869,0.408608,,,,,,,,,,,,-3.81382,9.21701,-1.37688,50,5.29788,6.55411,-133.77407,-4.30497,-6.9377,27.81541,-15.40741,CIN_BEA,WES_MOU,UCincinnati,D1,BIG12,20260426-UCincinnati-1,902dfe40-4192-11f1-9de6-7964e049c6f9,92.24586,,,7.63922,,,,,,,b41202d8-0432-4fd7-ada2-2dc8767b6f9e,2026-04-26,17:08:35.91,2026-04-26T13:08:35.9184384-04:00,2026-04-26T17:08:35.9184384Z,,v3,471270,5327,0cd11252a38e41c2a3393d15150857d9,"Infelise, Enzo",1000106906,Right,CIN_BEA,cad16b48-4d1c-4ad1-bda9-2bbfa7db243d,54.10608,-134.62513,13.9077,5.42239,-3.83355,-7.7037,-1.58066,6.76638,-3.46885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
