PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:05:50.90,1,1,"Steele, Mason",840233,Right,UAB_BLA,"Rodriguez, Freddy",831308,Right,MT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.9877,-2.386507,0.539716,2277.756914,193.710962,12:30,6.3757,0.56965,6.36062,-17.7695,13.70316,3.07012,2.69716,1.32222,84.98583,-5.780027,1.095872,0.403774,,,,,,,,,,,,-1.41835,8.21784,-0.61002,50,6.19444,-1.41621,-136.35568,-6.20159,-2.63407,33.7874,-16.91251,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,8f954710-419a-11f1-8729-d35792c208dd,93.35039,,,9.00187,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:05:50.90,2026-04-26T13:05:50.9030000-05:00,2026-04-26T18:05:50.9030000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,897ff305-a893-49f2-920d-96cd28d534c2,54.13692,-137.37694,16.8937,6.37416,-5.69039,-8.45626,-0.56842,-1.33659,-1.31703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:06:04.38,1,2,"Steele, Mason",840233,Right,UAB_BLA,"Rodriguez, Freddy",831308,Right,MT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.21066,-3.363926,-0.125841,2335.454351,188.566691,12:15,6.23488,0.83322,6.44504,-13.08516,17.34434,2.45662,2.04991,0.9223,86.5584,-5.896925,0.319825,0.397026,,,,,,,,,,,,-1.32224,10.38816,-0.82532,50,5.98992,0.20049,-138.14124,-8.45335,-2.5356,32.962,-12.2534,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,9799bcc0-419a-11f1-8729-d35792c208dd,94.93696,,,8.65226,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:06:04.38,2026-04-26T13:06:04.3890000-05:00,2026-04-26T18:06:04.3890000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,f4feaadf-a194-4707-8f3f-4c1fb7ee08ee,54.0545,-139.10532,16.481,6.23193,-8.09496,-6.1267,-0.83227,0.27465,-1.2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,13:06:20.33,1,3,"Steele, Mason",840233,Right,UAB_BLA,"Rodriguez, Freddy",831308,Right,MT,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,95.00514,-2.294143,-1.132602,2413.479792,198.238555,12:30,6.23403,0.85526,6.46803,-12.82713,17.75308,5.49973,3.05649,0.27319,86.02648,-4.79674,-0.134831,0.398008,95.39049,45.986064,-5.894678,3366.739665,109.81316,108.05164,-6.40554,294.46108,293.41695,1.054757,6.094256,-3.23398,10.32004,-0.77769,50,6.06623,2.4977,-137.91755,-5.84282,-6.16048,33.82008,-12.51506,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,a11d7f70-419a-11f1-8729-d35792c208dd,94.70273,137.01011,,8.97866,,,,1.20593,2.97756,-0.25502,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:06:20.33,2026-04-26T13:06:20.3390000-05:00,2026-04-26T18:06:20.3390000Z,FlyBall,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,906060b0-8884-4e55-84fb-444e08e6f128,54.03155,-138.90265,16.91004,6.23111,-5.47828,-6.25753,-0.85305,2.67714,-3.08024,191.442484,1.21089,96.62254,-22.40203,5.33491,-0.92018,0.1137,-0.01031,0.00072,-3E-05,2.98149,100.52812,-22.8036,1.92727,-0.12813,-0.05625,0.01926,-0.00239,0.0001,-0.25536,-9.98032,5.66413,-1.52689,0.29527,-0.03954,0.00327,-0.00015,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-26,13:06:56.69,2,1,"Steele, Mason",840233,Right,UAB_BLA,"Hernandez, Javon",816379,Right,MT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.04953,-2.770309,-0.194702,2308.21903,198.392725,12:30,6.29155,0.66617,6.3751,-16.0169,14.66879,4.52201,2.4059,0.86386,86.15936,-5.837893,0.624747,0.398694,,,,,,,,,,,,-2.40953,8.815,-0.65406,50,6.08397,0.27487,-137.91193,-7.12992,-4.59015,33.78486,-15.38154,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,b6ca8250-419a-11f1-8729-d35792c208dd,94.53988,,,8.89017,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:06:56.69,2026-04-26T13:06:56.6920000-05:00,2026-04-26T18:06:56.6920000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,42d83655-f352-431c-adb6-c9887a32ad0b,54.12338,-138.91838,16.89243,6.28954,-6.67171,-7.69077,-0.66428,0.4116,-2.29508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:07:10.40,2,2,"Steele, Mason",840233,Right,UAB_BLA,"Hernandez, Javon",816379,Right,MT,Undefined,1,Top,1,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,86.49164,-0.369745,-0.047975,2573.98657,65.329661,8:15,6.23271,0.59243,5.84949,-39.04782,-1.78209,-6.32134,2.63513,0.02107,79.65715,-7.533706,-1.183699,0.439366,94.25489,5.30352,-9.341193,842.490301,,,,110.68108,108.34733,-10.55359,0.902262,3.2413,-0.51055,-0.58471,50,6.17951,0.3596,-125.75007,-2.17873,5.19779,25.14511,-32.99275,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,bef93c50-419a-11f1-8729-d35792c208dd,85.78828,4.83376,,6.83449,,,,0.69806,2.61162,-0.09323,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:07:10.40,2026-04-26T13:07:10.4090000-05:00,2026-04-26T18:07:10.4090000Z,GroundBall,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,9e68ef81-98db-434e-ab09-5cac7593b7ae,54.65327,-126.67712,12.57255,6.23741,-0.96234,-16.49638,-0.59444,0.16797,2.59889,74.284349,0.79443,134.3581,-16.3357,,,,,,,2.66623,11.95096,-16.5818,,,,,,,-0.08345,-22.49376,0.12097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-26,13:07:44.33,3,1,"Steele, Mason",840233,Right,UAB_BLA,"McAbee, Brady",1000108704,Left,MT,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.27319,-3.707358,-0.596342,2363.392227,197.560541,12:30,6.31892,0.79705,6.44648,-12.44465,18.87241,5.60748,1.87048,0.71638,85.02151,-6.143077,0.420846,0.402774,,,,,,,,,,,,-3.10929,11.38194,-0.75703,50,6.0498,1.18371,-136.60259,-9.13676,-5.7816,34.56208,-11.00987,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,d3387e60-419a-11f1-8729-d35792c208dd,93.58202,,,9.25168,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:07:44.33,2026-04-26T13:07:44.3320000-05:00,2026-04-26T18:07:44.3320000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,4ba45e3c-9ee8-4670-8233-4be60db4e8d0,54.0512,-137.62378,17.28104,6.31496,-8.81146,-5.50493,-0.79453,1.35453,-2.8908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:07:58.79,3,2,"Steele, Mason",840233,Right,UAB_BLA,"McAbee, Brady",1000108704,Left,MT,Undefined,1,Top,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.99712,-1.002951,-0.257503,2658.836154,109.580745,9:45,6.12909,0.875,6.07124,-34.951,3.04953,-4.79784,2.28829,0.23689,77.95914,-7.495932,-1.122997,0.443677,,,,,,,,,,,,2.37492,2.32232,-0.85263,50,6.03322,0.75664,-124.79962,-3.34332,3.69015,28.58029,-28.56562,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,dbd42b00-419a-11f1-8729-d35792c208dd,84.95478,,,8.03798,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:07:58.79,2026-04-26T13:07:58.7950000-05:00,2026-04-26T18:07:58.7950000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,f51cfebe-d3a4-4163-a413-53d2c9b6b31e,54.42682,-125.80931,14.29014,6.13351,-2.33414,-14.28281,-0.87706,0.62628,1.84508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,13:08:17.49,3,3,"Steele, Mason",840233,Right,UAB_BLA,"McAbee, Brady",1000108704,Left,MT,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.81608,-3.214724,-1.6176,2593.180598,42.548752,7:30,6.20178,0.53037,5.93247,-42.02447,-4.38642,-5.22827,-0.28722,-1.40654,79.28418,-10.877683,-2.560139,0.441555,,,,,,,,,,,,2.19232,-0.93323,-0.39805,50,5.92062,3.75859,-125.8077,-8.52024,3.45384,29.57665,-33.64431,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,e6f15260-419a-11f1-8729-d35792c208dd,85.36292,,,7.5319,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:08:17.49,2026-04-26T13:08:17.4930000-05:00,2026-04-26T18:08:17.4930000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,a7a6b0f9-55fa-4008-8e5c-f8223e34b1a4,54.5698,-126.87748,14.78832,6.20679,-7.30333,-16.82215,-0.53174,3.63366,1.72692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,13:08:34.88,3,4,"Steele, Mason",840233,Right,UAB_BLA,"McAbee, Brady",1000108704,Left,MT,Undefined,1,Top,2,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.28275,-1.380699,-0.359447,2676.529507,32.512787,7:00,6.2685,0.53929,5.96247,-41.25219,-4.38929,-3.58079,1.55026,-0.09242,79.75942,-8.952656,-1.004927,0.436985,,,,,,,,,,,,1.74347,-1.53032,-0.50872,50,6.13574,0.93878,-126.75666,-4.4956,2.80622,28.49816,-34.63722,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,f14e5e10-419a-11f1-8729-d35792c208dd,86.25574,,,7.52333,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:08:34.88,2026-04-26T13:08:34.8890000-05:00,2026-04-26T18:08:34.8890000Z,,v3,471227,471353,22937,"Pierzynski, Austin",826706,Right,UAB_BLA,71218c8d-fb63-4b75-931a-0871eb90bc78,54.53961,-127.7732,14.24908,6.27407,-3.26007,-17.31861,-0.54042,0.83868,1.40311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1028,,,1.186255,,,,-1.23769,5.65426,-0.44344,74.82506,4.34257,49.97003,-1.17245,71.0231,-5.90343,5.70741,16.40323,-14.8313,-0.42385,45.2927,-2.38115,High,High,High,,,High,High,High
10,2026-04-26,13:11:21.89,1,1,"Garner, Seth",811671,Right,MT,"Hall, Kevin",822364,Left,UAB_BLA,Undefined,1,Bottom,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.80041,-2.879072,-2.530392,2183.893218,235.852618,1:45,5.9611,1.66868,5.31592,-23.26765,11.41068,15.20198,1.31502,0.55903,83.307,-7.161778,0.169097,0.423839,,,,,,,,,,,,-8.36615,6.83784,-1.45085,50,5.68304,5.12908,-131.59034,-7.48037,-14.69421,27.48151,-20.16417,UAB_BLA,MT,YoungMemorialField,D1,AMER,20260426-YoungMemorialField-1,54dde2c0-419b-11f1-8729-d35792c208dd,88.93109,,,7.4934,,,,,,,e02e6c9d-299b-4898-a990-3fd1f4b5a961,2026-04-26,18:11:21.89,2026-04-26T13:11:21.8980000-05:00,2026-04-26T18:11:21.8980000Z,,v3,471227,471353,22937,"McAbee, Brady",1000108704,Right,MT,84628469-69fb-432c-9c3d-56033db3ee59,55.18604,-132.66898,13.74076,5.96112,-6.68894,-10.08209,-1.66348,5.70583,-7.3471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
