PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,14:07:16.49,1,1,"Colletti, Zac",830181,Right,IWC,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.57593,-2.875737,-2.54102,2209.22285,212.9162,1:00,6.07756,0.85552,5.58426,-18.9545,17.57056,10.5278,1.80743,-0.6418,80.20815,-6.454046,-0.663904,0.434978,,,,,,,,,,,,-6.12961,10.16902,-0.64406,50,5.81789,5.23137,-128.21698,-7.03976,-10.09093,29.24824,-15.43321,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,cfa1d520-4010-11f1-99b2-e9d6f80775b1,86.65373,,,8.36779,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:07:16.49,2026-04-24T14:07:16.4963840-05:00,2026-04-24T19:07:16.4963840Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,1017479c-2e0a-495d-b8e4-eea968211946,54.91653,-129.33365,14.62412,6.07542,-6.45053,-7.7166,-0.85115,5.61663,-5.04547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,14:07:35.60,1,2,"Colletti, Zac",830181,Right,IWC,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.03396,-1.695818,-0.53518,2280.596841,207.3865,1:00,6.18567,0.95848,5.60237,-16.67536,19.28021,9.34032,3.21231,1.23719,80.65338,-4.874546,1.132251,0.431573,76.3854,53.837023,-156.056949,2685.710901,,,,,43.92606,,,-4.93402,10.67875,-0.91902,50,6.03003,0.80356,-129.13994,-4.32549,-8.24703,29.46075,-14.32495,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,db0e2df0-4010-11f1-99b2-e9d6f80775b1,87.33729,56.51281,,8.38058,,,,3.40138,3.44945,-1.21651,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:07:35.60,2026-04-24T14:07:35.6065792-05:00,2026-04-24T19:07:35.6065792Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,66dc1dd7-9ddb-4b7c-bef3-4dc17210952c,54.89939,-130.25284,14.73038,6.18321,-3.78435,-7.16248,-0.95526,1.1151,-4.12352,14.668994,3.40138,-60.41947,3.86212,0.50316,-0.19664,0.16979,-0.15479,0.08134,-0.00863,3.44945,90.44796,-28.0068,3.30444,-0.75401,0.28656,-0.15289,-0.01447,0.06246,-1.21651,-26.82857,3.32048,-0.41993,0.08514,-0.02184,0.00537,0.01546,-0.01362,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-04-24,14:07:59.72,1,3,"Colletti, Zac",830181,Right,IWC,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,0,2,Curveball,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,84.47899,-1.53952,-2.795655,2236.449424,8.115422,6:15,5.79166,1.70244,5.20715,-41.57616,0.22547,-0.22272,0.877,-0.9475,75.02931,-9.145195,-2.835139,0.465337,,,,,,,,,,,,-0.98921,1.22043,-1.44331,50,5.61819,5.96364,-121.92256,-4.82598,-1.43142,32.60007,-30.40807,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,e9691b30-4010-11f1-99b2-e9d6f80775b1,81.00024,,,9.44968,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:07:59.72,2026-04-24T14:07:59.7234688-05:00,2026-04-24T19:07:59.7234688Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,08475340-e855-49de-88a0-e1c77e92e313,55.28979,-123.32885,16.30003,5.79808,-3.51425,-15.20404,-1.7019,6.02539,-0.71571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,14:08:18.82,1,4,"Colletti, Zac",830181,Right,IWC,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,1,2,Sinker,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,,88.45028,-3.132257,-4.221043,2177.580187,249.949704,2:15,6.07655,0.97884,5.90648,-29.28773,7.31422,16.22501,0.71745,-1.59452,79.71837,-8.573935,-1.313037,0.435435,,,,,,,,,,,,-9.66119,5.21516,-0.64808,50,5.80753,8.73061,-127.75774,-7.99955,-15.66051,31.04461,-23.72045,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,f4cd84c0-4010-11f1-99b2-e9d6f80775b1,86.56269,,,8.73191,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:08:18.82,2026-04-24T14:08:18.8211712-05:00,2026-04-24T19:08:18.8211712Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,77328d33-bbe7-46da-a874-48aeefcb4280,54.59299,-128.86898,15.5223,6.07867,-7.15047,-11.86022,-0.97063,9.29118,-7.83026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-24,14:08:41.77,1,5,"Colletti, Zac",830181,Right,IWC,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.01732,-1.780889,-1.834064,2203.295751,218.254349,1:15,6.20862,0.53167,5.58112,-21.54474,14.91863,10.65485,2.74854,-0.29397,79.77074,-5.848715,0.067047,0.43461,93.93832,27.009403,-7.56012,3241.220351,109.37459,50.71605,-11.7099,371.5749,367.48461,-2.588977,4.633506,-6.04162,8.55796,-0.38111,50,6.04169,3.6573,-128.87206,-4.70956,-9.93392,32.34734,-18.10269,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,027e0130-4011-11f1-99b2-e9d6f80775b1,86.72699,69.95754,,9.24658,,,,3.11422,3.01011,0.27703,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:08:41.77,2026-04-24T14:08:41.7756672-05:00,2026-04-24T19:08:41.7756672Z,FlyBall,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,74b968ab-ade8-4c1d-90e0-f88e3009fd08,54.91859,-130.10079,16.17367,6.20752,-4.02192,-9.05135,-0.5272,4.03464,-4.96696,192.865124,3.11417,121.68559,-20.30331,4.85402,-1.08386,0.24709,-0.04795,0.0059,-0.00031,3.01128,62.53732,-15.54144,0.17773,0.36956,-0.20739,0.05625,-0.00751,0.00039,0.27728,-16.15576,5.11566,-1.06479,0.25383,-0.06798,0.0154,-0.00206,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-04-24,14:09:24.07,2,1,"Colletti, Zac",830181,Right,IWC,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,1,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.79622,-2.482797,-3.107874,2039.613429,249.798164,2:15,6.08292,0.98852,5.68787,-29.83718,8.07174,18.27611,1.27741,-0.38817,78.79065,-8.001647,0.160141,0.443141,,,,,,,,,,,,-10.30843,5.25878,-0.7386,50,5.85494,6.0592,-125.67966,-6.47522,-16.28741,28.36075,-23.86514,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,1baefab0-4011-11f1-99b2-e9d6f80775b1,85.05744,,,8.00557,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:09:24.07,2026-04-24T14:09:24.0740864-05:00,2026-04-24T19:09:24.0740864Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,cce0b0c2-2479-478e-9fc2-c60d8d736087,54.81464,-126.76147,14.18037,6.08457,-5.5649,-11.93257,-0.98157,6.68048,-8.1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-24,14:09:41.31,2,2,"Colletti, Zac",830181,Right,IWC,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,83.41735,-2.152403,-3.613645,1837.121635,264.599565,2:45,6.1292,1.1432,5.25415,-39.17081,3.67103,19.15178,0.83742,-0.66097,74.02236,-9.348959,-0.215434,0.471092,,,,,,,,,,,,-11.03528,3.15823,-0.82634,50,5.90271,6.77277,-120.3189,-5.92917,-15.5548,31.69437,-27.72238,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,26024260-4011-11f1-99b2-e9d6f80775b1,80.01083,,,9.395,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:09:41.31,2026-04-24T14:09:41.3120512-05:00,2026-04-24T19:09:41.3120512Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,6462b707-e83b-489e-b953-10a3e1c7452a,55.24505,-121.69271,15.84719,6.13367,-4.72753,-13.86119,-1.13452,7.447,-7.7774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,14:10:00.73,2,3,"Colletti, Zac",830181,Right,IWC,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.79,1.982052,-0.233968,2375.843886,317.514072,4:30,6.01128,1.36439,4.91883,-50.10593,-5.61429,6.43398,3.71063,1.67933,73.89134,-7.068994,0.900984,0.480077,,,,,,,,,,,,-3.23299,-2.88591,-1.34719,50,6.16277,0.19997,-117.17009,2.1494,-4.48537,22.55719,-36.17788,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,319b0260-4011-11f1-99b2-e9d6f80775b1,78.51338,,,6.89866,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:10:00.73,2026-04-24T14:10:00.7387136-05:00,2026-04-24T19:10:00.7387136Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,d5423846-ee35-43c3-8b10-c8d8efa30885,55.58448,-118.24031,11.27859,6.02007,3.86584,-18.08894,-1.36173,0.41278,-2.24268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-24,14:10:23.43,2,4,"Colletti, Zac",830181,Right,IWC,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.67942,-0.151426,-0.928572,2223.504067,204.052066,12:45,6.10634,1.00624,5.81609,-16.3993,19.83403,8.25461,4.59891,0.8306,79.53752,-3.323672,0.550447,0.433237,,,,,,,,,,,,-4.47189,10.50792,-0.9349,50,6.08432,1.71787,-128.54128,-0.78006,-7.34841,31.08195,-14.90701,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,3f1ea270-4011-11f1-99b2-e9d6f80775b1,87.00189,,,9.1419,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:10:23.43,2026-04-24T14:10:23.4333184-05:00,2026-04-24T19:10:23.4333184Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,fd7009a1-0074-4512-8e6b-ab852b3a5d3d,54.68099,-129.66823,15.54097,6.10281,-0.23958,-7.4535,-1.00201,1.9843,-3.6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-24,14:10:47.93,2,5,"Colletti, Zac",830181,Right,IWC,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.94711,-1.443849,-2.11248,2084.346411,213.395802,1:00,6.17193,0.90979,5.6368,-19.28178,18.57158,11.33796,3.21681,-0.1172,78.40601,-5.111179,-0.088517,0.442816,,,,,,,,,,,,-6.39008,10.25312,-0.73734,50,6.03703,4.15315,-125.96261,-3.75033,-10.12557,28.86756,-15.92722,IWC,TEX_ISL,SullivanField,D1,SLAND,20260424-SullivanField-1,4dc6c550-4011-11f1-99b2-e9d6f80775b1,85.11982,,,8.5411,,,,,,,2e883898-cc6e-4fbc-8d8c-90f5dd8d34dc,2026-04-24,19:10:47.93,2026-04-24T14:10:47.9328768-05:00,2026-04-24T19:10:47.9328768Z,,v3,471511,4764,,"Cymbalista, Colin",830154,Right,IWC,4795baff-25ca-4aa6-92c3-1d36dfd75af6,54.86218,-127.07201,14.43378,6.1694,-3.13823,-7.96361,-0.90443,4.54228,-5.06279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
