PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,12:58:58.04,1,1,"Slaten, Brody",10131567,Right,PAN_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.82991,0.599851,-1.421787,2445.28588,257.315408,2:30,5.56402,1.98815,6.14612,-27.34994,4.69654,16.48139,3.83934,2.04753,84.91557,-4.49992,1.550972,0.407438,,,,,,,,,,,,-8.87252,2.57803,-1.88797,50,5.59571,2.63962,-134.93777,0.4625,-16.36576,29.24641,-27.41876,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,6f192490-40d0-11f1-84da-79787a9806f9,92.5109,,,7.91434,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,17:58:58.04,2026-04-25T12:58:58.0463104-05:00,2026-04-25T17:58:58.0463104Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,ef7d58f1-1274-4b6e-99a2-46c5f584a984,54.35344,-135.87806,14.62321,5.56667,1.34402,-13.70938,-1.98129,3.16578,-8.18288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,12:59:10.25,1,2,"Slaten, Brody",10131567,Right,PAN_COL,"Henderson, Zach",1000362325,Left,PAR_JUN,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.37104,-1.138219,-2.289901,2614.38268,228.301607,1:30,5.52329,1.90995,6.11842,-21.26607,11.06052,11.318,2.69782,0.7349,84.81981,-5.127822,-0.250761,0.409215,96.00112,0.213828,-25.19626,2435.600237,,,,56.36283,51.35295,-26.727854,0.418183,-6.4789,6.31803,-1.74038,50,5.42485,4.89498,-134.21828,-3.35978,-11.86818,27.90884,-20.60054,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,765a4a40-40d0-11f1-84da-79787a9806f9,92.10914,2.58809,,7.55123,,,,0.61848,2.58398,-0.67609,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,17:59:10.25,2026-04-25T12:59:10.2581760-05:00,2026-04-25T17:59:10.2581760Z,GroundBall,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,0aa755f5-db73-4992-89c3-ae90ad830d56,54.3817,-135.12632,13.95442,5.52326,-2.68953,-10.30027,-1.90592,5.28112,-5.93409,86.250454,0.63063,127.01511,-19.54003,,,,,,,2.58893,0.36733,-15.7098,,,,,,,-0.67523,-59.96992,2.30725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-25,12:59:42.91,2,1,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.51844,-1.64336,-2.861607,2543.886208,35.894334,7:15,5.75113,1.98665,5.87887,-46.3694,-4.93516,-4.55181,0.35849,-1.05249,75.77428,-10.101472,-3.679277,0.463288,,,,,,,,,,,,1.48083,-1.71591,-1.75259,50,5.59109,6.15511,-119.68649,-4.98132,2.12739,25.16949,-34.63915,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,89d503d0-40d0-11f1-84da-79787a9806f9,81.35855,,,6.74416,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,17:59:42.91,2026-04-25T12:59:42.9161472-05:00,2026-04-25T17:59:42.9161472Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,d870fb96-279f-427d-be6a-53213d994282,54.62222,-120.65461,12.58475,5.75706,-3.64897,-17.31958,-1.98776,6.07328,1.06369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,13:00:20.51,2,2,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.25632,-0.405795,-1.694469,2601.908017,41.376216,7:30,5.76085,2.07688,5.66523,-49.30491,-7.76552,-7.92481,1.27356,-0.16397,76.09706,-9.362222,-3.113666,0.463876,,,,,,,,,,,,3.57606,-3.48988,-1.92852,50,5.69514,3.84784,-119.53445,-2.56782,5.17834,22.86146,-37.22763,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,a04333d0-40d0-11f1-84da-79787a9806f9,81.25548,,,6.15926,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:00:20.51,2026-04-25T13:00:20.5185536-05:00,2026-04-25T18:00:20.5185536Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,09b7959a-8ac4-4753-acfd-f1d5fccc3519,54.83694,-120.45598,11.43073,5.7684,-1.06719,-18.61382,-2.07942,3.63911,2.58917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,13:00:40.62,2,3,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,2,0,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.99818,-1.025931,-3.216477,2742.810902,263.862789,2:45,5.46678,2.34495,6.09396,-33.57911,1.26665,2.34977,1.71798,-0.43747,82.20596,-7.212324,-2.793633,0.424861,,,,,,,,,,,,-2.05614,1.22661,-2.09819,50,5.36985,7.16891,-129.2482,-3.46898,-3.49909,25.41563,-30.08664,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,ac39cb40-40d0-11f1-84da-79787a9806f9,88.71717,,,6.79222,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:00:40.62,2026-04-25T13:00:40.6217216-05:00,2026-04-25T18:00:40.6217216Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,16e5f712-d795-4891-b3f6-01c804fd57a7,54.40658,-130.11184,12.70782,5.47036,-2.44663,-15.04332,-2.34381,7.28781,-1.74955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,13:01:11.76,2,4,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,2,1,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.71088,-0.457277,-2.547893,2807.496686,216.404232,1:15,5.47047,2.35835,5.87529,-26.86289,7.07252,4.44311,2.80676,0.36063,83.12626,-5.441989,-1.751488,0.419274,,,,,,,,,,,,-2.95323,4.07894,-2.15476,50,5.418,5.66581,-131.68328,-1.99283,-5.19651,27.41271,-24.99676,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,bec87720-40d0-11f1-84da-79787a9806f9,89.89929,,,7.58461,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:01:11.76,2026-04-25T13:01:11.7682176-05:00,2026-04-25T18:01:11.7682176Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,3201b3fa-3a1a-495f-9b6d-161379eb7795,54.62255,-132.64207,13.70636,5.47241,-1.11854,-12.49838,-2.35611,5.84757,-2.59825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,13:02:08.97,2,5,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.40667,-1.743921,-1.2943,2712.46609,52.564291,7:45,5.79789,2.03579,5.82646,-46.57656,-6.36469,-9.87875,0.2944,0.00914,77.27604,-10.207934,-3.070875,0.456403,,,,,,,,,,,,4.74386,-2.49575,-1.92398,50,5.62738,3.11645,-121.19916,-5.27944,7.05233,23.80759,-35.88431,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,e0e44eb0-40d0-11f1-84da-79787a9806f9,82.58586,,,6.13063,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:02:08.97,2026-04-25T13:02:08.9789952-05:00,2026-04-25T18:02:08.9789952Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,735e34dc-e94b-48a0-be08-9bb1fb932ed0,54.67609,-122.11425,11.90379,5.8038,-3.90016,-17.94216,-2.03856,2.84538,3.52616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,13:02:34.91,2,6,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.79113,-1.383898,-3.361372,2210.515821,260.912664,2:45,5.48727,2.24975,6.17161,-27.94478,3.94059,17.54387,1.87792,0.6036,84.80627,-6.600524,-0.198107,0.406413,,,,,,,,,,,,-10.16418,2.80441,-2.00391,50,5.36826,7.23121,-135.95809,-4.26368,-18.75531,33.74979,-26.99929,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,f054f1b0-40d0-11f1-84da-79787a9806f9,92.74427,,,8.98486,,,,,,,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:02:34.91,2026-04-25T13:02:34.9121536-05:00,2026-04-25T18:02:34.9121536Z,,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,84db0cd3-be1d-49b3-b223-9964538b9588,54.32745,-137.02811,16.8749,5.48987,-3.40768,-13.49965,-2.2426,7.82584,-9.37765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,13:03:04.04,2,7,"Slaten, Brody",10131567,Right,PAN_COL,"Moore, Grant",1000111180,Left,PAR_JUN,Undefined,1,Top,0,3,2,Slider,Curveball,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,82.2113,0.039119,-1.980609,2629.372423,43.806152,7:30,5.7638,2.11556,5.85355,-48.23605,-6.76158,-7.71977,1.7805,-0.36878,75.64003,-8.778176,-3.366687,0.463513,58.60878,5.188418,4.252434,1104.445875,,,,50.49002,50.15204,3.515102,0.607422,3.39898,-3.13347,-1.95003,50,5.73857,4.42636,-119.43087,-1.54537,4.8904,23.8286,-36.68242,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,01b88b10-40d1-11f1-84da-79787a9806f9,81.31907,2.57021,,6.57128,,,,1.30714,1.7286,0.3673,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:03:04.04,2026-04-25T13:03:04.0463872-05:00,2026-04-25T18:03:04.0463872Z,GroundBall,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,a2839c11-7428-48ec-8fba-ec823662a555,54.64807,-120.35467,11.9143,5.77092,-0.12325,-18.34121,-2.11795,4.23677,2.4452,64.933888,1.30714,85.37153,-7.76555,0.50873,-0.14284,0.02519,-0.00384,0.00185,-0.00066,1.7286,7.77342,-18.17685,1.21045,-0.13384,0.03775,-0.00578,0.0006,-0.0001,0.3673,6.34785,-3.22274,0.31631,-0.07516,0.01179,-0.00156,0.00053,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-25,13:03:46.59,3,1,"Slaten, Brody",10131567,Right,PAN_COL,"Lembcke, Bankston",1000393129,Right,PAR_JUN,Undefined,1,Top,1,0,0,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,83.58369,1.780542,-0.855295,2628.283146,31.879406,7:00,5.65975,2.19132,5.85553,-46.08117,-6.52445,-4.72311,3.47471,1.003,77.51039,-6.65075,-1.702882,0.45267,39.51527,35.822686,127.312112,2604.961885,,,,91.80672,28.88838,131.858469,2.161962,2.22618,-3.51843,-2.11901,50,5.77685,1.9968,-121.59639,2.20437,3.37083,21.31294,-37.50151,PAN_COL,PAR_JUN,JimReevesField,JUCO,NJCAA,20260425-JimReevesField-1,1b1660f0-40d1-11f1-84da-79787a9806f9,83.26697,20.42294,,6.0733,,,,1.295,3.52093,-0.96772,9a497115-9219-4463-96c0-1aafd5c51489,2026-04-25,18:03:46.59,2026-04-25T13:03:46.5987584-05:00,2026-04-25T18:03:46.5987584Z,GroundBall,v3,643-147514,643-147516,zo0s6w5o1afsq27f,"Anctil, Justin",10289795,Right,PAN_COL,12c499fb-fa17-48da-b4f3-0f0f0c756765,54.64765,-122.4083,10.65647,5.66566,3.63298,-18.75076,-2.19263,1.86839,1.68541,294.476727,1.29499,-28.48389,-0.23485,0.05587,-0.07313,0.06291,-0.02849,0.00572,-0.00036,3.52096,33.91755,-17.71716,0.77359,0.01771,-0.14998,0.07126,-0.01113,5E-05,-0.96777,37.37878,-4.58252,1.6564,-0.65575,0.42493,-0.23641,0.07006,-0.00808,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
