PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,11:03:35.15,1,1,"Tillitt, Nolan",832472,Right,SLC_CCB,"Howard, Taysom",1000362310,Left,CSI_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.97655,-3.88614,-3.332953,2370.89661,215.877635,1:15,6.16245,2.02094,5.91687,-15.79245,17.40237,11.80111,1.2281,-0.09238,84.14283,-6.877912,-1.217985,0.414674,73.85057,12.78216,-161.348443,1837.350321,-104.19193,6.80399,-35.27063,142.15015,59.04506,-161.421133,1.525539,-7.00733,10.34556,-1.76042,50,5.84108,7.25077,-133.14837,-9.53412,-12.57834,28.61231,-13.6035,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,69f0ed70-40c8-11f1-8a94-595b40a844ff,90.89658,9.65631,,7.83372,,,,1.7657,1.1276,0.1097,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:03:35.15,2026-04-25T11:03:35.1504384-06:00,2026-04-25T17:03:35.1504384Z,LineDrive,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,80e82d36-7ed1-4a19-8be8-b1f0a77538a2,54.58468,-134.12996,14.30615,6.16016,-9.06744,-6.80175,-2.01657,7.68229,-6.28917,160.68012,1.7657,-100.08222,9.19085,-1.91186,0.36712,-0.06515,0.01218,-0.00202,0.00017,1.1276,23.96391,-17.53884,1.11473,-0.19559,0.03294,-0.00416,0.0009,-0.00011,0.1097,-33.78168,3.36017,-0.60041,0.0996,-0.01439,0.00261,-0.00039,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-04-25,11:03:55.82,1,2,"Tillitt, Nolan",832472,Right,SLC_CCB,"Howard, Taysom",1000362310,Left,CSI_EAG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.18749,-3.265286,-3.503835,2297.837495,217.63376,1:15,5.93123,2.24977,6.11393,-20.05962,13.39733,9.50497,1.23145,-0.20199,83.59278,-7.029721,-1.794115,0.416308,77.80109,53.069623,-48.570683,3833.572295,65.06805,91.08283,-88.69117,239.78694,104.29883,-57.579091,4.60395,-5.89835,8.15264,-1.98567,50,5.66949,7.69825,-132.11772,-8.17717,-10.43259,27.96431,-17.75419,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,763ca9c0-40c8-11f1-8a94-595b40a844ff,90.53982,93.77982,,7.59471,,,,0.96433,1.15621,0.279,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:03:55.82,2026-04-25T11:03:55.8229504-06:00,2026-04-25T17:03:55.8229504Z,Popup,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,c7f7a8ce-6a17-4245-9aed-5f1bbc2b2f2c,54.38753,-133.04315,13.98216,5.93038,-7.58962,-8.8771,-2.24614,8.0435,-5.2163,118.426474,0.9673,45.30281,-7.3722,1.26626,-0.0216,-0.06132,0.01133,-8E-05,-8E-05,1.15789,91.17769,-26.98565,3.02928,-0.49359,0.04035,-0.0025,0.00086,-0.0001,0.28038,-51.44184,0.88283,0.03899,0.24535,-0.18707,0.06313,-0.0097,0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-25,11:04:20.53,1,3,"Tillitt, Nolan",832472,Right,SLC_CCB,"Howard, Taysom",1000362310,Left,CSI_EAG,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,93.33772,-2.184735,-3.261969,2296.323878,206.446304,1:00,6.06624,2.08374,6.16732,-17.58032,14.23792,6.57863,2.5789,-0.38442,85.37489,-5.512774,-2.077715,0.405985,90.7566,11.39054,22.023134,1152.063085,101.71095,14.11186,41.89086,214.42897,211.05711,22.813448,1.956312,-4.32315,8.28878,-1.83965,50,5.89131,7.43934,-135.38224,-5.71099,-8.02338,29.5585,-16.79077,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,84e7d9e0-40c8-11f1-8a94-595b40a844ff,92.84205,14.10579,,7.96283,,,,1.19814,2.56598,0.40877,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:04:20.53,2026-04-25T11:04:20.5387776-06:00,2026-04-25T17:04:20.5387776Z,LineDrive,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,bfb7c2b6-2305-48ee-9f7e-9fd1fbf6f0bd,54.33375,-136.32516,14.77925,6.06494,-5.17536,-8.39538,-2.08104,7.69529,-4.01169,199.588425,1.19814,120.96635,-13.585,2.19127,-0.42819,0.07786,-0.0133,0.00195,-0.00015,2.56598,26.28851,-15.86262,1.15807,-0.20027,0.04465,-0.00676,0.00083,-7E-05,0.40877,48.9304,-4.34212,0.67663,-0.13251,0.02357,-0.00407,0.00059,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-25,11:04:57.67,2,1,"Tillitt, Nolan",832472,Right,SLC_CCB,"Burnham, Cade",10283504,Right,CSI_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.02549,-2.701571,-3.483493,2309.495754,208.630889,1:00,5.99976,2.01068,6.24837,-17.73899,14.87674,7.5604,2.02341,-0.57606,84.34954,-6.05996,-2.120758,0.411041,,,,,,,,,,,,-4.86303,8.76871,-1.75488,50,5.78946,7.80735,-133.42074,-6.82987,-8.78419,28.14184,-16.33489,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,9b0c0890-40c8-11f1-8a94-595b40a844ff,91.70001,,,7.67595,,,,,,,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:04:57.67,2026-04-25T11:04:57.6752640-06:00,2026-04-25T17:04:57.6752640Z,,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,76e46c08-ae2c-4a44-8a76-6efeab556e32,54.25202,-134.31461,14.07092,5.99816,-6.31102,-8.16745,-2.00729,8.08636,-4.39209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,11:05:12.86,2,2,"Tillitt, Nolan",832472,Right,SLC_CCB,"Burnham, Cade",10283504,Right,CSI_EAG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.07481,-3.449307,-3.304958,2352.698233,214.317214,1:15,5.94238,2.10217,6.13314,-19.42812,13.47729,8.45764,1.12598,-0.25122,84.13104,-7.104043,-1.78263,0.412862,,,,,,,,,,,,-5.32181,8.28319,-1.85381,50,5.6681,7.34564,-133.35315,-8.65451,-9.55588,29.43636,-17.30068,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,a41ac250-40c8-11f1-8a94-595b40a844ff,91.29545,,,7.94377,,,,,,,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:05:12.86,2026-04-25T11:05:12.8699904-06:00,2026-04-25T17:05:12.8699904Z,,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,5845eb21-c7fe-4387-9dbd-33485736afe7,54.36735,-134.31374,14.71818,5.94131,-8.08994,-8.65034,-2.09861,7.65748,-4.77794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,11:05:32.43,2,3,"Tillitt, Nolan",832472,Right,SLC_CCB,"Burnham, Cade",10283504,Right,CSI_EAG,Undefined,1,Top,0,1,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.4743,1.093244,-2.428443,2344.685095,38.360286,7:15,5.80705,1.95658,5.92424,-62.04681,-8.59847,-8.15327,1.65199,-0.97769,66.73603,-10.252924,-3.893733,0.526185,,,,,,,,,,,,3.45807,-4.23579,-1.75752,50,5.85951,4.74007,-105.23077,0.17581,3.84807,19.12505,-36.88755,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,afd3b480-40c8-11f1-8a94-595b40a844ff,71.63342,,,5.73827,,,,,,,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:05:32.43,2026-04-25T11:05:32.4323328-06:00,2026-04-25T17:05:32.4323328Z,,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,99823cee-44c3-4bdd-888d-755901899c9e,54.57961,-106.05982,9.56253,5.81723,1.77485,-18.44378,-1.95939,4.57326,1.92404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,11:05:59.36,2,4,"Tillitt, Nolan",832472,Right,SLC_CCB,"Burnham, Cade",10283504,Right,CSI_EAG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.81028,-2.652241,-3.046255,2319.806944,203.289413,12:45,6.09089,1.92748,6.2494,-18.49816,12.79835,5.09626,2.09806,-0.45998,86.1979,-6.135158,-2.126969,0.402642,,,,,,,,,,,,-3.45614,7.64941,-1.70321,50,5.88406,7.02855,-136.10215,-6.88913,-6.50883,28.74665,-17.76812,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,bfd573f0-40c8-11f1-8a94-595b40a844ff,93.61273,,,7.61238,,,,,,,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:05:59.36,2026-04-25T11:05:59.3676288-06:00,2026-04-25T17:05:59.3676288Z,,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,60945aa6-d70d-4d95-932b-9eede895cb62,54.25144,-136.99716,14.37333,6.08994,-6.33593,-8.88406,-1.9252,7.2312,-3.25442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-25,11:06:28.64,3,1,"Tillitt, Nolan",832472,Right,SLC_CCB,"Cutlip, Ryder",1000137876,Left,CSI_EAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,90.26395,-2.391951,-3.338122,2255.352107,210.922984,1:00,5.97468,2.02278,6.4301,-19.94462,13.86146,7.63682,2.10911,-0.41244,82.38095,-6.175746,-1.956363,0.418474,73.04157,38.865847,-33.659405,3966.357107,86.04499,59.86294,-68.52899,243.99866,156.1736,-42.555182,3.950802,-4.95969,8.27221,-1.78816,50,5.79487,7.33333,-130.90171,-6.04711,-8.57387,28.58804,-17.87374,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,d1478c40-40c8-11f1-8a94-595b40a844ff,90.07113,61.41129,,7.883,,,,0.63185,2.14377,0.40531,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:06:28.64,2026-04-25T11:06:28.6474752-06:00,2026-04-25T17:06:28.6474752Z,FlyBall,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,87833a10-1ae8-4dcc-866f-c0afbeee5da0,54.07034,-131.78764,14.29402,5.97369,-5.49321,-8.93687,-2.01953,7.59903,-4.28694,132.510154,0.63135,69.45165,-13.51486,4.00407,-1.28815,0.49823,-0.16223,0.02992,-0.00219,2.14556,67.16804,-21.19342,1.05666,0.46399,-0.38794,0.12769,-0.01962,0.00114,0.40413,-46.19724,0.53944,0.85403,-0.56091,0.23234,-0.05899,0.00777,-0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-25,11:07:12.29,4,1,"Tillitt, Nolan",832472,Right,SLC_CCB,"Purser, Treyson",1000362292,Right,CSI_EAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.76236,-1.133939,-2.007267,2260.163988,203.139642,12:45,6.10533,2.02515,6.17578,-20.12761,13.40544,5.2791,3.37999,0.61048,83.03998,-4.93583,-1.055272,0.416781,,,,,,,,,,,,-3.27673,7.56941,-1.87585,50,6.00917,4.40002,-131.82897,-3.22523,-5.76997,27.85874,-18.84504,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,eb6a38c0-40c8-11f1-8a94-595b40a844ff,90.43704,,,7.72238,,,,,,,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:07:12.29,2026-04-25T11:07:12.2942976-06:00,2026-04-25T17:07:12.2942976Z,,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,46af7b0d-1e9f-4f04-bd89-7737e9a0b239,54.32398,-132.73959,13.92937,6.10453,-2.60925,-9.42252,-2.02276,4.58863,-2.88499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,11:07:31.65,4,2,"Tillitt, Nolan",832472,Right,SLC_CCB,"Purser, Treyson",1000362292,Right,CSI_EAG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.54487,-2.172168,-2.952697,2310.372463,201.365685,12:45,6.08627,1.93902,6.28179,-18.12095,13.99776,5.08811,2.57045,-0.36092,84.91597,-5.59994,-2.034364,0.407897,,,,,,,,,,,,-3.4341,8.16374,-1.72333,50,5.91677,6.71656,-134.31449,-5.64298,-6.29307,28.23536,-17.21386,SLC_CCB,CSI_EAG,SaltLakeCC,JUCO,NJCAA,20260425-SaltLakeCC-1,f6dd9670-40c8-11f1-8a94-595b40a844ff,92.40677,,,7.6289,,,,,,,58709725-d0b7-4de0-a941-e5a31d070a35,2026-04-25,17:07:31.65,2026-04-25T11:07:31.6511232-06:00,2026-04-25T17:07:31.6511232Z,,v3,643-147550,643-147572,swz77j8p8fgmpuru,"Thomas, AJ",10299157,Right,SLC_CCB,b631647d-9577-43f9-8971-8b1fc8087fec,54.21869,-135.19842,14.11768,6.085,-5.10408,-8.60693,-1.93669,6.91357,-3.14654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
