PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,15:02:49.53,1,1,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.24894,-0.814204,5.770335,2126.167558,114.292586,9:45,5.6999,-3.55789,5.63275,-33.00553,10.17875,-18.63737,2.18584,0.29121,73.26658,-6.972973,2.46298,0.472971,,,,,,,,,,,,11.40225,5.95426,3.07707,50,5.60971,-11.1927,-118.51388,-2.75571,15.787,28.24438,-23.93007,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,802d1ee0-40f2-11f1-b981-fd23983ba6ba,79.69296,,,8.98236,,,,,,,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:02:49.53,2026-04-25T15:02:49.5374336-07:00,2026-04-25T22:02:49.5374336Z,,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,7a8475e2-e0e2-4cbd-9fb3-92221f5c1b09,54.86329,-119.66729,14.12219,5.70229,-1.77848,-11.96503,3.54731,-11.83739,7.8935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-25,15:03:10.16,1,2,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.06639,2.061075,1.774672,2290.376322,296.296105,4:00,5.74337,-3.29779,5.38095,-56.53086,-2.93335,10.29363,2.96634,-0.77582,66.1416,-8.316083,3.603862,0.526919,,,,,,,,,,,,-4.45453,-1.54122,3.13154,50,5.88892,-3.71887,-107.07567,2.01888,-5.00691,23.96939,-33.90641,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,8c813fa0-40f2-11f1-b981-fd23983ba6ba,71.53367,,,7.92479,,,,,,,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:03:10.16,2026-04-25T15:03:10.1691904-07:00,2026-04-25T22:03:10.1691904Z,,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,8172c5c4-00ad-4594-81a5-0e5169688d2a,55.11563,-108.21477,11.9847,5.75469,3.63022,-16.9532,3.30262,-3.48093,-2.50345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,15:03:33.71,1,3,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,2,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.84255,-0.236432,7.008802,2197.900973,111.2662,9:45,5.72336,-3.34326,5.70839,-30.82104,10.43323,-22.70222,2.93299,1.32788,75.05686,-5.987916,2.990335,0.462281,,,,,,,,,,,,13.7128,5.83839,2.76705,50,5.68466,-13.87407,-120.68218,-1.49775,19.86923,27.32167,-23.71446,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,9a7b9650-40f2-11f1-b981-fd23983ba6ba,81.53578,,,8.78569,,,,,,,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:03:33.71,2026-04-25T15:03:33.7196544-07:00,2026-04-25T22:03:33.7196544Z,,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,c9510450-631d-4a52-a373-24f1a6562be1,54.78968,-121.76171,13.66083,5.72533,-0.56075,-11.85723,3.33074,-14.65913,9.93461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,15:03:53.54,1,4,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.58575,0.520121,2.164046,2281.925187,315.231384,4:30,5.87353,-3.25193,5.45292,-55.09731,-0.78449,3.01689,1.76938,-0.97363,65.69515,-9.603392,2.701531,0.530423,42.68588,68.951984,178.960618,,,,,66.86663,29.78123,171.721941,3.129933,-0.68575,0.01654,3.05873,50,5.88212,-4.13362,-106.39806,-0.76215,-0.75767,24.39873,-32.15577,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,a652e5f0-40f2-11f1-b981-fd23983ba6ba,71.06105,43.85362,,7.8906,,,,1.08027,1.88619,0.95545,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:03:53.54,2026-04-25T15:03:53.5446528-07:00,2026-04-25T22:03:53.5446528Z,Popup,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,56822abf-1782-4e84-8e0e-5c8d2bb7c89b,55.04419,-107.54856,12.19937,5.8823,0.75411,-16.07789,3.25281,-4.09789,-0.37884,12.669817,1.08062,-22.49564,-0.623,0.33898,0.245,-0.28701,0.12806,-0.02657,0.0021,1.8862,58.42992,-22.70629,2.17253,-0.54252,0.18379,-0.07204,0.01719,-0.00162,0.95541,0.40898,1.91766,-0.63961,0.14279,-0.03307,0.00936,-0.00219,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2026-04-25,15:04:26.17,1,5,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.25051,0.428568,3.34966,2128.123559,222.799873,1:30,5.85708,-3.197,5.52321,-45.34278,6.58296,4.08481,2.4799,0.27873,66.93125,-7.972576,4.075915,0.518636,94.55989,33.533262,38.640476,3052.664521,83.22063,65.42737,71.93252,363.99654,246.42174,47.336125,5.124097,-0.76815,3.76063,2.9024,50,5.86484,-6.51651,-108.66961,-0.58113,-0.88549,25.41989,-27.83891,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,b9c40290-40f2-11f1-b981-fd23983ba6ba,72.67609,89.51438,,8.31926,,,,1.84207,2.6795,-0.18552,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:04:26.17,2026-04-25T15:04:26.1727232-07:00,2026-04-25T22:04:26.1727232Z,FlyBall,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,bdc5c8ee-195f-45d7-99f5-9dffcc828da5,54.97199,-109.8265,12.70994,5.86246,0.68584,-13.91946,3.19805,-6.47621,-0.44275,,1.84297,90.27636,-19.19988,4.30846,-0.72487,0.08005,-0.00623,0.00062,-4E-05,2.68144,76.57195,-19.41392,1.43039,-0.12542,-0.04386,0.0216,-0.00342,0.00019,-0.1846,72.17143,-7.76418,1.45176,-0.25833,0.04853,-0.00914,0.00118,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-04-25,15:05:01.61,1,6,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,1,2,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.63657,0.494051,6.043216,1947.65217,120.043068,10:00,5.82773,-3.39428,5.72756,-28.53269,12.70001,-19.26844,3.91275,0.64953,74.94219,-4.857474,2.623795,0.46216,,,,,,,,,,,,11.60068,6.73666,2.89954,50,5.852,-11.94417,-120.59824,0.15019,16.81363,26.92388,-22.41019,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,cee9ad00-40f2-11f1-b981-fd23983ba6ba,81.55714,,,8.69438,,,,,,,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:05:01.61,2026-04-25T15:05:01.6196608-07:00,2026-04-25T22:05:01.6196608Z,,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,d1b0a2b8-e39b-4104-bb7a-a9e3ca9a65e7,54.7689,-121.65825,13.46194,5.82872,1.0325,-11.20509,3.38282,-12.60613,8.40682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,15:05:22.07,1,7,"Hanson, Colten",1000177213,Left,CLU_KIN,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,2,2,FourSeamFastBall,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.28236,-0.223214,6.00058,2057.766022,124.561277,10:15,5.72527,-3.50681,5.66611,-26.36458,15.48678,-20.09426,3.31893,0.43449,74.34679,-5.19706,2.437409,0.465614,62.8982,42.562812,-32.95748,4607.797722,86.24865,55.19133,-68.27258,169.88539,169.88539,-40.693172,3.868909,12.15221,8.37528,3.01059,50,5.69009,-11.77471,-120.05109,-1.27211,17.36607,27.74719,-20.2054,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,db1e85f0-40f2-11f1-b981-fd23983ba6ba,80.95209,56.83609,,8.93556,,,,0.14858,3.19877,-0.46435,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:05:22.07,2026-04-25T15:05:22.0781568-07:00,2026-04-25T22:05:22.0781568Z,Popup,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,1c9ce801-0156-45c9-b08d-cf1859fb9cf9,54.83117,-121.16257,13.8736,5.72484,-0.46274,-10.1027,3.49618,-12.47034,8.68304,151.225445,0.14462,57.13405,-12.5472,4.38108,-2.49861,1.34822,-0.46159,0.08298,-0.00589,3.2002,62.35987,-20.12342,1.22474,0.09822,-0.151,0.04547,-0.00442,-1E-05,-0.46676,-36.89803,2.51384,0.53482,-0.71136,0.37679,-0.10449,0.01391,-0.00067,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-25,15:05:55.89,2,1,"Hanson, Colten",1000177213,Left,CLU_KIN,"Savas, Peter",1000276389,Right,POM_COL,Undefined,1,Top,1,0,0,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,74.37639,-0.365525,3.265248,2210.813333,311.98086,4:30,5.96655,-3.29759,5.48665,-53.42444,0.47595,2.20335,1.17198,-0.05574,65.67277,-10.206935,3.657591,0.528405,,,,,,,,,,,,0.28299,1.02713,3.00952,50,5.89895,-6.20444,-107.29249,-2.35403,0.31348,27.13184,-31.03626,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,ef431410-40f2-11f1-b981-fd23983ba6ba,71.33243,,,8.70362,,,,,,,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:05:55.89,2026-04-25T15:05:55.8931456-07:00,2026-04-25T22:05:55.8931456Z,,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,cf9dfb87-2bb2-47a9-944f-e5c37e7b0904,55.00858,-108.55165,13.56592,5.97477,-0.91366,-15.51813,3.2978,-6.21899,0.15674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,15:06:10.88,2,2,"Hanson, Colten",1000177213,Left,CLU_KIN,"Savas, Peter",1000276389,Right,POM_COL,Undefined,1,Top,1,1,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.73587,-0.560826,5.302186,2153.277727,121.526905,10:00,5.68954,-3.4556,5.7173,-31.54077,10.34875,-14.39501,2.53644,0.29828,74.71753,-6.429038,2.742011,0.465826,,,,,,,,,,,,8.96764,5.878,3.01996,50,5.62318,-10.50594,-119.51838,-2.1841,12.80697,25.76036,-23.77951,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,f82c6b80-40f2-11f1-b981-fd23983ba6ba,80.91525,,,8.01834,,,,,,,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:06:10.88,2026-04-25T15:06:10.8825088-07:00,2026-04-25T22:06:10.8825088Z,,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,09f6c5bc-8af1-4895-8e64-0f1bccdc6e10,54.7814,-120.54453,12.88018,5.69132,-1.23686,-11.88976,3.44862,-11.0161,6.40349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,15:06:27.92,2,3,"Hanson, Colten",1000177213,Left,CLU_KIN,"Savas, Peter",1000276389,Right,POM_COL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Single,0,0,,75.34005,0.226864,4.804428,2111.528375,99.711126,9:15,5.57432,-3.67036,5.4465,-44.97766,6.28583,-25.24907,2.03934,-1.26555,67.7923,-8.062221,0.323302,0.515318,64.86739,29.931934,-14.339188,2774.588846,107.17507,38.34394,-24.7687,209.8008,209.8008,-12.56279,3.308195,14.45536,3.57276,3.26355,50,5.56354,-8.2071,-108.8685,-0.9688,16.99673,22.73127,-27.97317,CLU_KIN,POM_COL,SparkyAnderson,D3,SOUTH,20260425-SparkyAnderson-2,025dfa60-40f3-11f1-b981-fd23983ba6ba,73.14401,38.36887,,7.54775,,,,2.58565,2.2316,1.26339,1043e661-1074-4593-ad60-58af8e256306,2026-04-25,22:06:27.92,2026-04-25T15:06:27.9265280-07:00,2026-04-25T22:06:27.9265280Z,FlyBall,v3,643-144569,643-145631,11935,"Gonzalez, Eric",10139776,Right,CLU_KIN,c994ec86-f970-4567-8902-79e129c5cb74,55.05516,-109.91893,11.36564,5.57844,0.32386,-13.98658,3.66095,-8.99253,8.49837,181.859273,2.58582,79.87558,-10.27522,2.25195,-0.43903,0.10448,-0.03234,0.00758,-0.00073,2.23171,47.46533,-16.72439,0.73493,0.17373,-0.22688,0.10377,-0.02185,0.00174,1.26348,-20.42266,2.74933,-0.43049,0.10867,-0.04873,0.01918,-0.004,0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
