PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-27,18:05:27.87,1,1,"Marsh, Quinten",834654,Left,STA_CAR,"Story, Zach",1000546157,Right,CAL_AGO,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.05197,-1.533425,2.265283,1947.895439,123.12587,10:00,6.09969,-1.38177,5.96415,-24.53234,11.44678,-15.77721,2.63204,-0.595,80.56074,-6.118831,-0.570294,0.431714,,,,,,,,,,,,8.69308,6.65851,1.21059,50,5.96432,-4.39578,-127.8169,-4.21273,14.372,26.4982,-21.16569,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,589ee3b0-429e-11f1-9ac8-9fd72369dfff,87.30872,,,7.49123,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:05:27.87,2026-04-27T18:05:27.8700032-07:00,2026-04-28T01:05:27.8700032Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,17a56ce3-4eb9-4f79-9241-91e618f159f8,54.53485,-128.75361,13.2491,6.10001,-3.46453,-10.58285,1.37496,-4.90383,7.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-27,18:05:44.91,1,2,"Marsh, Quinten",834654,Left,STA_CAR,"Story, Zach",1000546157,Right,CAL_AGO,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.8751,-1.502094,1.987258,1554.804352,84.852144,8:45,6.03018,-1.5164,5.49245,-45.70243,0.00736,-16.12895,0.81532,-1.00073,72.64717,-9.811465,-0.893842,0.486604,,,,,,,,,,,,8.79619,0.80024,1.35393,50,5.86732,-3.35739,-114.47608,-4.52721,11.63278,21.80427,-31.11578,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,62d04b80-429e-11f1-9ac8-9fd72369dfff,77.46014,,,6.22793,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:05:44.91,2026-04-27T18:05:44.9156608-07:00,2026-04-28T01:05:44.9156608Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,72282bb8-e119-4230-ada1-1d6ad6299252,55.00969,-115.42633,10.90214,6.03507,-3.17115,-15.55789,1.51129,-3.86436,5.81639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-27,18:06:04.75,1,3,"Marsh, Quinten",834654,Left,STA_CAR,"Story, Zach",1000546157,Right,CAL_AGO,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.22908,-1.90027,1.899539,1430.137462,70.14459,8:15,5.9589,-1.50915,5.65376,-49.90507,-4.39303,-16.5478,0.02623,-1.11588,72.46304,-10.981971,-1.069412,0.485551,,,,,,,,,,,,9.12375,-1.28087,1.35927,50,5.76571,-3.19012,-114.90075,-5.45812,12.01253,24.29656,-33.86046,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,6e9af0f0-429e-11f1-9ac8-9fd72369dfff,77.62822,,,6.76604,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:06:04.75,2026-04-27T18:06:04.7569408-07:00,2026-04-28T01:06:04.7569408Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,f76293bf-d352-4fe5-bf08-39efe843a615,54.84835,-115.92144,12.14828,5.96512,-4.03566,-16.93023,1.50389,-3.69476,6.00626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-27,18:06:22.13,1,4,"Marsh, Quinten",834654,Left,STA_CAR,"Story, Zach",1000546157,Right,CAL_AGO,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.06991,-0.039638,1.7503,1272.381535,81.782808,8:45,5.92061,-1.62336,5.64389,-46.90073,-0.24264,-12.65343,1.97523,-1.04459,71.2411,-8.639962,-0.514221,0.491626,,,,,,,,,,,,7.00378,0.29937,1.48317,50,5.88719,-2.98592,-113.29404,-1.59508,9.00873,22.70028,-31.78896,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,78fe3e30-429e-11f1-9ac8-9fd72369dfff,76.66893,,,6.82881,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:06:22.13,2026-04-27T18:06:22.1394944-07:00,2026-04-28T01:06:22.1394944Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,e6d15eba-b47d-428d-b1d9-4cb6268a264c,54.8568,-114.26304,11.35014,5.92632,-0.23813,-15.89448,1.61884,-3.37047,4.50437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-27,18:06:43.61,1,5,"Marsh, Quinten",834654,Left,STA_CAR,"Story, Zach",1000546157,Right,CAL_AGO,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,79.12435,0.196775,1.862518,1313.071221,78.781646,8:45,5.95279,-1.69119,5.46134,-46.47916,-0.97748,-12.34579,2.26381,-0.97606,72.50134,-8.286229,-0.338691,0.485495,70.66757,70.17741,18.500707,,,,,90.78511,90.08455,41.354602,5.315633,6.80843,-0.16933,1.53601,50,5.93801,-3.25519,-114.84977,-1.17549,9.05237,22.17596,-32.39922,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,85cc70f0-429e-11f1-9ac8-9fd72369dfff,77.63707,115.93965,,6.62301,,,,2.14591,2.39466,0.97128,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:06:43.61,2026-04-27T18:06:43.6169728-07:00,2026-04-28T01:06:43.6169728Z,Popup,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,cf5f688b-5f32-4bc1-9814-ba21ff2bcc85,55.04002,-115.81885,11.08798,5.95844,0.24033,-16.19961,1.6869,-3.65077,4.52618,190.627841,2.12978,33.64846,-15.38677,6.77302,-2.68012,0.84354,-0.16848,0.01812,-0.0008,2.38571,97.74337,-26.80325,4.84754,-2.36827,0.99303,-0.24612,0.03098,-0.00154,0.97361,11.09363,1.52207,-1.29251,0.70403,-0.27111,0.06291,-0.00765,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-04-27,18:07:23.03,2,1,"Marsh, Quinten",834654,Left,STA_CAR,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.17054,-2.987656,2.926452,1984.705581,126.246807,10:15,6.02836,-1.57992,5.88858,-23.6258,11.88111,-14.54182,1.27921,-0.07201,81.18389,-7.399116,0.317606,0.428872,,,,,,,,,,,,8.38819,7.34162,1.3525,50,5.77345,-6.0015,-129.176,-7.51958,14.06179,28.88512,-19.86673,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,9d416290-429e-11f1-9ac8-9fd72369dfff,87.88736,,,7.98665,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:07:23.03,2026-04-27T18:07:23.0368768-07:00,2026-04-28T01:07:23.0368768Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,87cd587d-16c9-413d-b97c-f388190fa3ff,54.61157,-130.20311,14.44256,6.02827,-6.81314,-9.93336,1.5748,-6.50152,7.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-27,18:07:39.27,2,2,"Marsh, Quinten",834654,Left,STA_CAR,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.63693,-0.461839,1.763899,1444.590822,89.079128,9:00,6.05261,-1.57805,5.59543,-44.68396,1.35036,-12.70473,1.89753,-0.98937,71.82861,-8.650463,-0.507875,0.488329,,,,,,,,,,,,6.96933,1.28709,1.43523,50,5.98407,-3.02122,-114.09394,-2.38886,9.10596,22.7124,-30.49236,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,a6f70ab0-429e-11f1-9ac8-9fd72369dfff,77.18662,,,6.80832,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:07:39.27,2026-04-27T18:07:39.2710656-07:00,2026-04-28T01:07:39.2710656Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,cc41813a-140b-4c54-a2f6-2c4a02942a3b,54.90408,-115.06604,11.3562,6.05839,-1.08378,-15.24618,1.57288,-3.41096,4.55298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-27,18:07:55.35,2,3,"Marsh, Quinten",834654,Left,STA_CAR,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,1,1,1,ChangeUp,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.30153,1.105021,2.350795,2029.711698,284.72344,3:30,5.74401,-1.8124,5.61123,-51.65113,-0.53,7.90583,2.47217,1.04187,68.52797,-8.325855,3.761298,0.514602,,,,,,,,,,,,-3.3939,-0.18744,1.60603,50,5.80472,-4.70805,-107.87212,0.48781,-3.99985,18.72963,-32.39496,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,b094e510-429e-11f1-9ac8-9fd72369dfff,73.24578,,,5.77356,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:07:55.35,2026-04-27T18:07:55.3519616-07:00,2026-04-28T01:07:55.3519616Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,5427b594-6c0f-4107-8b2c-de1724ec7866,54.89069,-108.71796,9.36481,5.74966,1.9508,-16.19748,1.81457,-4.52742,-1.99992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-27,18:08:13.85,2,4,"Marsh, Quinten",834654,Left,STA_CAR,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.28499,-0.609635,2.150968,1377.886682,68.86895,8:15,5.956,-1.51323,5.59393,-50.31715,-4.4315,-15.9154,1.19327,-0.83023,71.69797,-9.815275,-0.69761,0.48754,,,,,,,,,,,,8.81898,-1.56425,1.33937,50,5.87108,-3.69146,-114.88756,-2.91669,11.51901,25.79648,-34.21722,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,bb97cdb0-429e-11f1-9ac8-9fd72369dfff,77.31154,,,7.58702,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:08:13.85,2026-04-27T18:08:13.8550000-07:00,2026-04-28T01:08:13.8550000Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,6f78f400-5989-4aec-b168-51e4e7107d6b,54.90576,-115.98386,12.89824,5.96413,-1.46253,-17.10861,1.50665,-4.18099,5.7595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8553,,,1.080371,,,,0.03571,5.9533,2.93243,63.10196,4.94556,-61.67873,0.06084,62.56831,-3.94084,5.97906,14.36025,-14.21976,2.89699,-65.28787,5.15867,High,High,High,,,High,High,High
10,2026-04-27,18:08:43.81,3,1,"Marsh, Quinten",834654,Left,STA_CAR,"Mault, Kai",1000352952,Right,CAL_AGO,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.58779,-0.774922,1.928257,1927.459237,107.30343,9:30,6.03385,-1.73949,6.09896,-29.43923,6.29981,-16.18489,2.86342,-1.30415,80.19357,-6.278175,-0.989679,0.430272,,,,,,,,,,,,8.88504,3.88992,1.59902,50,5.95902,-3.64424,-128.53655,-2.71472,14.67153,29.8717,-25.75075,STA_CAR,CAL_AGO,KleinField,D1,ACC,20260427-KleinField-1,cd6af1c0-429e-11f1-9ac8-9fd72369dfff,87.60147,,,8.39422,,,,,,,e55d71f2-3124-49ef-a313-5b7fc9c40b5b,2026-04-28,01:08:43.81,2026-04-27T18:08:43.8109696-07:00,2026-04-28T01:08:43.8109696Z,,v3,471454,471260,90f0da215eaa456e86f68477d51e323e,"Stoll, Nolan",837514,Right,STA_CAR,23946e88-9626-46c8-b204-3c935721d336,54.3985,-129.55472,14.93585,6.03659,-1.83701,-12.87537,1.73176,-4.14431,7.33576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
