PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,12:00:18.04,1,1,"Berry, Owen",1000217833,Right,LEB_VAL,"Anderosky, JT",10297669,Left,DES_UNI,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.72017,-2.037935,-3.034218,2348.121983,232.19741,1:45,5.58221,1.66983,6.16637,-24.55741,15.59351,18.17954,1.64988,0.37945,75.51831,-6.696678,0.243099,0.456057,47.94799,33.010563,-144.545468,2302.885294,,,,104.41254,36.89439,-145.366158,2.075671,-10.45327,9.1667,-1.44905,50,5.41512,5.73751,-121.30432,-5.00984,-15.30659,27.55206,-18.75141,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,059f0a70-4189-11f1-a91c-135e1a664937,82.64849,20.25454,,8.20186,,,,2.80532,1.87873,-0.4395,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:00:18.04,2026-04-26T12:00:18.0430000-04:00,2026-04-26T16:00:18.0430000Z,LineDrive,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,0a6e2c0a-524f-4e92-920d-a764d08aa5e6,54.33259,-122.28443,13.77603,5.58146,-4.34279,-9.37571,-1.66284,6.28201,-7.65329,,2.80532,-48.03726,2.14188,0.14796,0.13626,-0.23151,0.18762,-0.06834,0.0092,1.87875,38.31079,-21.24481,1.55859,-0.24604,-0.01913,0.0304,-0.00572,5E-05,-0.4395,-34.20684,3.29211,-0.41439,0.18709,-0.16282,0.1242,-0.04672,0.00651,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-04-26,12:00:37.23,1,2,"Berry, Owen",1000217833,Right,LEB_VAL,"Anderosky, JT",10297669,Left,DES_UNI,Undefined,1,Top,0,0,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,85.60842,-1.154015,-2.403895,2387.510865,239.041815,2:00,5.51676,1.49001,6.11854,-25.09277,12.92946,19.42466,2.35768,0.88493,77.91968,-5.878538,1.096894,0.443803,90.03005,22.328089,-8.47641,3245.834769,107.57303,39.44969,-22.97865,323.74807,322.43661,-18.078734,4.022318,-10.81292,7.3987,-1.31603,50,5.41519,4.46395,-124.28073,-3.25537,-16.79302,26.54136,-20.68347,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,110ee5b0-4189-11f1-a91c-135e1a664937,84.93058,49.24422,,7.68874,,,,2.53476,2.4759,-0.86435,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:00:37.23,2026-04-26T12:00:37.2330000-04:00,2026-04-26T16:00:37.2330000Z,LineDrive,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,28851711-284d-4568-b7ca-b4e9fc65a2f3,54.38203,-125.21306,13.27068,5.51678,-2.52882,-10.34174,-1.4832,5.05385,-8.39651,143.489944,2.53427,120.82617,-21.5411,4.8327,-1.06749,0.24422,-0.05226,0.00764,-0.00049,2.47689,50.13274,-13.53214,-0.42014,0.49814,-0.21722,0.06033,-0.00876,0.0005,-0.86452,-17.9957,-5.20738,2.04096,-0.57124,0.12385,-0.02083,0.00234,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-26,12:01:14.88,2,1,"Berry, Owen",1000217833,Right,LEB_VAL,"Fischl, Owen",1000554312,Left,DES_UNI,Undefined,1,Top,0,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.53095,0.645689,-1.401791,1326.801289,220.232684,1:15,5.35332,1.83348,5.83812,-34.79088,13.36481,9.92378,3.05441,1.35733,69.53439,-5.857458,0.377336,0.499454,,,,,,,,,,,,-5.45713,7.12382,-1.72493,50,5.38574,2.34604,-111.03227,0.24834,-6.75826,21.3563,-23.3517,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,278ea1e0-4189-11f1-a91c-135e1a664937,75.46736,,,6.99657,,,,,,,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:01:14.88,2026-04-26T12:01:14.8870000-04:00,2026-04-26T16:01:14.8870000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,c0a58122-b688-41e2-b2bd-ab6184bf7fd1,54.6582,-111.92466,10.67815,5.35497,1.22411,-11.67585,-1.82886,2.62844,-3.37913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,12:01:33.57,2,2,"Berry, Owen",1000217833,Right,LEB_VAL,"Fischl, Owen",1000554312,Left,DES_UNI,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.19708,1.774133,-0.489194,2365.619652,43.839238,7:30,5.39768,1.95823,5.78657,-51.33692,-1.56362,-3.03606,2.77073,1.25011,68.81352,-7.666646,-1.033439,0.507773,,,,,,,,,,,,1.39937,-0.7961,-1.91611,50,5.51328,1.04329,-109.17641,1.79098,1.68148,20.01918,-33.13067,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,32aeaf70-4189-11f1-a91c-135e1a664937,74.2309,,,6.38356,,,,,,,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:01:33.57,2026-04-26T12:01:33.5750000-04:00,2026-04-26T16:01:33.5750000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,b12309a4-05f3-4553-9b38-8ff40585ea70,54.71305,-110.03722,10.00959,5.40564,3.21559,-16.56534,-1.95942,0.97099,0.84074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,12:02:12.32,2,3,"Berry, Owen",1000217833,Right,LEB_VAL,"Fischl, Owen",1000554312,Left,DES_UNI,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.17292,-1.293239,-2.652068,2417.195113,242.717638,2:00,5.49619,1.74563,5.85987,-27.14206,11.82729,20.29044,2.03137,0.97083,77.24924,-6.37242,0.98688,0.449296,,,,,,,,,,,,-11.12213,6.84811,-1.54194,50,5.37553,4.87815,-123.48894,-3.64938,-16.99975,26.92719,-21.70698,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,49c4b830-4189-11f1-a91c-135e1a664937,83.89216,,,7.92368,,,,,,,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:02:12.32,2026-04-26T12:02:12.3210000-04:00,2026-04-26T16:02:12.3210000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,1b9b9a8e-f249-4bf9-968e-6455d0a307fa,54.63834,-124.49623,13.46359,5.49685,-2.83737,-10.85349,-1.73631,5.51408,-8.49988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,12:02:28.59,2,4,"Berry, Owen",1000217833,Right,LEB_VAL,"Fischl, Owen",1000554312,Left,DES_UNI,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.14685,0.488947,-1.074659,2240.863838,232.914849,1:45,5.71653,1.58712,5.70859,-23.9658,15.18985,18.31584,4.17502,2.11207,77.0344,-4.028131,2.200874,0.450369,,,,,,,,,,,,-9.56441,7.95426,-1.5083,50,5.74285,1.53867,-123.52858,0.31244,-14.6276,26.95386,-20.00898,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,5371adc0-4189-11f1-a91c-135e1a664937,83.6923,,,8.11245,,,,,,,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:02:28.59,2026-04-26T12:02:28.5940000-04:00,2026-04-26T16:02:28.5940000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,1c4651f2-bb22-47fb-b019-def82eee940b,54.7885,-124.56905,13.47693,5.71588,1.08482,-10.00449,-1.5786,2.10333,-7.3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,12:02:46.06,2,5,"Berry, Owen",1000217833,Right,LEB_VAL,"Fischl, Owen",1000554312,Left,DES_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.62739,-0.956558,-2.498124,2332.461985,238.595846,2:00,5.46611,1.76194,5.97203,-25.96427,14.11745,20.90824,2.41467,1.18683,76.08377,-5.837823,1.258995,0.455664,72.93014,51.897512,-131.822949,4398.036507,,,,,46.16821,,,-11.57638,7.93563,-1.57611,50,5.37594,4.49097,-121.37704,-2.80243,-17.14309,25.38393,-20.42241,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,5dd8a480-4189-11f1-a91c-135e1a664937,82.71984,48.76389,,7.54362,,,,2.28053,2.39389,-1.11183,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:02:46.06,2026-04-26T12:02:46.0600000-04:00,2026-04-26T16:02:46.0600000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,d130a4f2-cd15-4baf-ab27-2a3a03d8893d,54.5288,-122.3205,12.69197,5.46599,-2.04338,-10.2112,-1.75487,5.12814,-8.57155,,2.28053,-44.01371,-2.71676,3.19388,-1.09518,0.32429,-0.08265,0.01936,-0.00256,2.39389,84.17088,-33.77448,5.36332,-1.13373,0.21625,-0.04261,0.00915,-0.00124,-1.11183,-49.18699,8.93018,-1.30913,0.17386,0.0006,-0.00458,0.00177,-0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-26,12:03:27.33,2,6,"Berry, Owen",1000217833,Right,LEB_VAL,"Fischl, Owen",1000554312,Left,DES_UNI,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,FlyBall,HomeRun,0,2,,76.72203,0.037542,-1.962922,2379.71993,106.282955,9:30,5.30562,1.87157,5.93762,-44.98936,2.69473,-3.83768,1.59136,-0.26994,70.19758,-8.262971,-2.65259,0.497002,99.07758,31.123164,19.136909,,103.04281,62.21954,38.49805,390.39301,371.062,23.082074,5.55752,1.3965,1.77142,-1.7127,50,5.28304,3.95255,-111.38671,-1.27299,1.74002,21.54828,-29.96691,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,767db1b0-4189-11f1-a91c-135e1a664937,75.83962,95.5502,,6.52445,,,,3.06438,1.80335,0.1491,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:03:27.33,2026-04-26T12:03:27.3350000-04:00,2026-04-26T16:03:27.3350000Z,FlyBall,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,159cfaeb-ffd4-484c-ac83-3cbcd5ba0c45,54.56291,-112.26595,10.77414,5.31004,-0.05023,-14.98345,-1.87253,3.88155,0.87001,197.808985,3.07019,117.40644,-24.0261,5.06933,-0.53456,-0.07233,0.0344,-0.00445,0.0002,1.79927,75.1775,-16.57467,0.8588,-0.20328,0.04456,-0.00065,-0.00091,8E-05,0.14933,40.77805,-3.52839,0.21874,-0.00179,0.00517,-0.00219,0.00031,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-26,12:04:20.28,3,1,"Berry, Owen",1000217833,Right,LEB_VAL,"Brace, Kevin",1000553919,Right,DES_UNI,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.34374,0.633517,-0.421031,2403.138557,92.55821,9:00,5.38199,1.72842,6.22748,-45.51341,1.63024,-4.70429,2.17376,0.94793,70.39019,-7.795155,-1.271794,0.494177,,,,,,,,,,,,2.32851,1.10551,-1.69469,50,5.4068,0.97698,-111.03219,-0.08287,2.91179,19.55949,-30.79163,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,9611a5e0-4189-11f1-a91c-135e1a664937,76.2731,,,5.95355,,,,,,,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:04:20.28,2026-04-26T12:04:20.2860000-04:00,2026-04-26T16:04:20.2860000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,acc9a583-3578-4618-a036-4843f4339ac4,54.27313,-111.78241,9.77975,5.38733,1.09817,-15.39581,-1.73002,0.8653,1.4559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,12:04:33.57,3,2,"Berry, Owen",1000217833,Right,LEB_VAL,"Brace, Kevin",1000553919,Right,DES_UNI,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.42414,0.192051,-2.783342,2336.329846,105.043632,9:30,5.28749,1.64253,6.07698,-45.07164,2.68945,-4.27343,1.70943,-1.29094,70.06595,-8.135743,-3.55225,0.497403,,,,,,,,,,,,1.38209,1.81331,-1.42494,50,5.27868,5.54363,-110.91112,-0.95645,1.71222,20.84326,-29.92759,LEB_VAL,DES_UNI,McGillField,D3,Team,20260426-McGillField-2,9dfd8a80-4189-11f1-a91c-135e1a664937,75.77845,,,6.35818,,,,,,,b55b95be-da56-4c46-a695-ef28a11f7056,2026-04-26,16:04:33.57,2026-04-26T12:04:33.5740000-04:00,2026-04-26T16:04:33.5740000Z,,v3,643-145169,643-144775,,"Santora, Joey",10311165,Right,LEB_VAL,ac10062f-4301-40b1-a9b6-773bc49c4929,54.42204,-111.73905,10.42163,5.29306,0.23233,-14.96379,-1.64379,5.47561,0.85611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
