PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,17:01:41.58,1,1,"Vest, Jack",10055054,Right,ETS_BUC,"Gillen, Patrick",804322,Left,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.00147,-2.577133,-1.696854,2465.274383,213.669646,1:00,6.00715,0.91432,5.88508,-14.38068,20.15371,12.52768,2.41295,0.38212,81.41722,-5.376534,0.550702,0.422958,73.52347,18.73657,-169.769382,1453.186714,-107.97998,16.11386,-20.98085,165.5257,60.73001,-169.051876,1.962825,-6.97126,11.56331,-0.78457,50,5.79097,3.34808,-131.73662,-6.30552,-11.9719,33.9248,-12.31612,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,75176d30-4345-11f1-8b57-ebe78b26462a,89.11624,17.66133,,9.58425,,,,0.99946,2.35363,-0.40329,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:01:41.58,2026-04-28T17:01:41.5852544-04:00,2026-04-28T21:01:41.5852544Z,LineDrive,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,44e30dce-be6c-448d-ac17-43fa6dc8f20a,54.61054,-132.91863,16.9624,6.00319,-5.8764,-6.15806,-0.90849,3.7652,-5.98595,325.242799,0.9995,-100.49989,9.92423,-1.08125,0.62183,-0.50695,0.30424,-0.09569,0.0117,2.35364,34.63739,-21.00616,1.78466,-0.23962,-0.01862,0.04142,-0.01289,0.00123,-0.40328,-18.13875,0.74025,0.21927,0.0837,-0.13193,0.08855,-0.02796,0.00334,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-04-28,17:02:03.05,1,2,"Vest, Jack",10055054,Right,ETS_BUC,"Gillen, Patrick",804322,Left,NCA_BUL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.49871,-0.885601,-1.915082,2047.700788,268.487456,3:00,5.53207,1.57114,5.67995,-38.64809,1.53772,12.98398,1.48533,0.86725,77.11171,-7.956536,0.409375,0.456255,,,,,,,,,,,,-7.15406,1.3448,-1.41822,50,5.43285,3.5431,-121.32386,-3.20093,-10.71137,22.7304,-30.16056,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,8203fd60-4345-11f1-8b57-ebe78b26462a,82.61265,,,6.387,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:02:03.05,2026-04-28T17:02:03.0593536-04:00,2026-04-28T21:02:03.0593536Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,c2d8a398-5347-4f0f-aed9-1bf8cc46c03f,54.82175,-122.22389,11.3652,5.53595,-2.00669,-15.08028,-1.56691,3.96723,-5.35569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-28,17:02:21.06,1,3,"Vest, Jack",10055054,Right,ETS_BUC,"Gillen, Patrick",804322,Left,NCA_BUL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.99152,-0.3445,-3.03172,2071.923674,265.914157,2:45,5.54526,1.41105,5.65291,-37.59337,2.27973,14.88493,2.09072,-0.17874,77.26728,-7.236861,-0.372732,0.454477,90.76454,-24.386691,38.752511,,,,,6.57945,2.90559,27.981323,0.039353,-8.4463,1.56697,-1.16392,50,5.49183,5.86534,-121.93175,-2.02722,-12.75169,23.3393,-29.80835,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,8ca42c90-4345-11f1-8b57-ebe78b26462a,82.93594,2.16697,,6.72424,,,,2.08259,2.16697,0.09489,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:02:21.06,2026-04-28T17:02:21.0656768-04:00,2026-04-28T21:02:21.0656768Z,GroundBall,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,d8d58526-366d-418e-8e9e-a4a1543352f8,54.84899,-122.8564,11.66965,5.54875,-0.84628,-14.90417,-1.4063,6.37053,-6.37585,,2.0815,94.72522,,,,,,,,2.16761,-55.06488,,,,,,,,0.09401,76.03185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-04-28,17:02:57.41,2,1,"Vest, Jack",10055054,Right,ETS_BUC,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75169,-1.038082,-1.172736,2546.841957,203.031453,12:45,6.09051,0.91138,5.78622,-15.43296,18.82875,7.51296,3.83836,0.44627,82.33533,-3.996919,0.172767,0.421285,,,,,,,,,,,,-4.15717,10.22902,-0.81921,50,5.99576,2.36186,-131.68486,-2.82779,-7.25221,29.66484,-14.32948,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,a25e27c0-4345-11f1-8b57-ebe78b26462a,89.47018,,,8.41636,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:02:57.41,2026-04-28T17:02:57.4134784-04:00,2026-04-28T21:02:57.4134784Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,b6fff221-efa6-4178-a8ff-3ec8fa46d746,54.71048,-132.74176,14.83242,6.08742,-2.31726,-7.16474,-0.90796,2.62024,-3.6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,17:03:14.53,2,2,"Vest, Jack",10055054,Right,ETS_BUC,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.16008,0.0488,-1.244874,2096.948319,282.371886,3:30,5.62932,1.39147,5.94153,-41.5764,-0.87567,10.34945,2.2099,1.09897,75.62008,-7.630419,0.617318,0.459169,,,,,,,,,,,,-5.67855,-0.0261,-1.29798,50,5.61012,2.21207,-120.72321,-1.28409,-8.2829,26.05157,-32.21211,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,aca11bc0-4345-11f1-8b57-ebe78b26462a,82.0884,,,7.53999,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:03:14.53,2026-04-28T17:03:14.5384960-04:00,2026-04-28T21:03:14.5384960Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,4ca032a7-5cd1-44e2-8e44-c9dc8ccf584a,54.55712,-121.70264,13.02578,5.63563,-0.07304,-16.10605,-1.38699,2.52347,-4.14145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-28,17:03:32.40,2,3,"Vest, Jack",10055054,Right,ETS_BUC,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,84.85366,-1.162178,-2.07956,1993.730508,271.657524,3:00,5.60912,1.36175,5.50451,-38.30667,0.78791,11.96304,1.3291,0.4129,78.55619,-8.135281,0.055148,0.450018,102.09052,-8.381044,8.308074,,,,,10.8387,10.4821,5.575817,0.059937,-6.62693,1.00177,-1.18857,50,5.4814,3.98698,-123.27111,-3.87547,-10.27035,22.8554,-30.62155,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,b735b230-4345-11f1-8b57-ebe78b26462a,83.75763,1.30902,,6.29746,,,,1.99563,1.30902,-0.23073,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:03:32.40,2026-04-28T17:03:32.4060160-04:00,2026-04-28T21:03:32.4060160Z,GroundBall,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,d9e21c3b-9cd9-41d2-941e-a72400afd248,54.99753,-124.19423,11.4277,5.61295,-2.63867,-15.31077,-1.35798,4.4018,-5.13517,180,1.99461,146.6848,,,,,,,,1.30918,-21.84015,,,,,,,,-0.23088,21.42011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-04-28,17:04:08.65,3,1,"Vest, Jack",10055054,Right,ETS_BUC,"Michelson, Owen",1000088233,Right,NCA_BUL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.05504,-1.253085,-2.61054,2592.113048,212.048613,1:00,6.26616,0.78999,5.8172,-15.45749,18.1367,10.58473,3.81153,-0.75689,82.79461,-4.230587,-0.71597,0.417161,,,,,,,,,,,,-6.19819,9.98245,-0.5823,50,6.15444,5.5982,-133.34627,-3.36032,-10.99125,32.72001,-14.47212,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,ccda0280-4345-11f1-8b57-ebe78b26462a,90.35469,,,9.26044,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:04:08.65,2026-04-28T17:04:08.6554112-04:00,2026-04-28T21:04:08.6554112Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,19286182-2805-4061-9c04-e4ebe81fd643,54.67829,-134.48931,16.36,6.26299,-2.85475,-7.23606,-0.78457,5.98217,-5.49563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-28,17:04:25.51,3,2,"Vest, Jack",10055054,Right,ETS_BUC,"Michelson, Owen",1000088233,Right,NCA_BUL,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.96385,-2.287332,-3.366606,2015.748127,261.805883,2:45,5.47048,1.36381,6.01993,-34.69411,4.30878,20.49521,0.45587,-0.05018,77.37434,-8.705585,0.322662,0.44949,,,,,,,,,,,,-11.66997,3.29457,-1.11127,50,5.27202,6.44527,-123.12757,-6.05062,-17.71302,27.02155,-27.17342,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,d6dc4400-4345-11f1-8b57-ebe78b26462a,83.85602,,,7.58951,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:04:25.51,2026-04-28T17:04:25.5183360-04:00,2026-04-28T21:04:25.5183360Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,f2769057-fe1c-4d8f-bee5-5511d0c5d7d9,54.48085,-124.10704,13.51077,5.47349,-5.06564,-13.58671,-1.35653,7.08733,-8.85651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-28,17:04:44.19,3,3,"Vest, Jack",10055054,Right,ETS_BUC,"Michelson, Owen",1000088233,Right,NCA_BUL,Undefined,1,Top,2,2,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.5888,-0.271541,-3.503512,2167.323226,251.733585,2:30,5.495,1.48987,5.81309,-33.23049,4.89811,11.37697,2.47282,-0.82391,78.76517,-6.396713,-1.46813,0.444423,,,,,,,,,,,,-6.70859,2.93803,-1.20921,50,5.45297,7.13742,-124.20364,-1.72246,-10.5396,23.54061,-27.55822,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,e2172c90-4345-11f1-8b57-ebe78b26462a,84.81203,,,6.82364,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:04:44.19,2026-04-28T17:04:44.1928192-04:00,2026-04-28T21:04:44.1928192Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,05cec289-a1c9-4e78-9ca1-9e859fbed649,54.6867,-125.08877,11.7703,5.49825,-0.68627,-13.77911,-1.48503,7.53371,-5.2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-28,17:05:01.47,3,4,"Vest, Jack",10055054,Right,ETS_BUC,"Michelson, Owen",1000088233,Right,NCA_BUL,Undefined,1,Top,2,2,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.35312,-0.902539,-3.158851,1993.540972,259.284584,2:45,5.48518,1.46863,5.85513,-34.7101,5.05721,19.39934,1.75276,0.14728,76.59817,-7.332896,0.320199,0.453873,,,,,,,,,,,,-10.97516,3.23792,-1.22366,50,5.39148,5.98115,-122.30213,-3.07221,-16.43367,26.69019,-27.32578,ETS_BUC,NCA_BUL,EastTennesseeState,D1,SOCON,20260428-EastTennesseeState-1,ec760d00-4345-11f1-8b57-ebe78b26462a,83.04623,,,7.75495,,,,,,,335a94ea-7955-492f-9bdd-982450235612,2026-04-28,21:05:01.47,2026-04-28T17:05:01.4725632-04:00,2026-04-28T21:05:01.4725632Z,,v3,4844,1570,c0bae5a913134ddcb59a05c6e8808993,"Juarez, Gabe",1000242087,Right,ETS_BUC,c7c157ba-3c82-4431-af14-40bc5d9e6c17,54.64527,-123.31171,13.3451,5.48814,-2.03859,-13.66289,-1.46166,6.60277,-8.21683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
