PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,15:07:11.42,1,1,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.54577,0.960391,-0.17992,1611.54255,253.22423,2:30,4.63058,1.69,5.43839,-31.84254,5.98071,16.038,2.87642,2.85803,79.33691,-4.895914,2.674618,0.44264,,,,,,,,,,,,-8.09398,3.11244,-1.68536,50,4.69366,-0.30561,-125.70172,0.9544,-12.98039,24.92784,-27.18257,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,d7f59ce0-433d-11f1-8a34-b95cd046e611,85.15369,,,7.20885,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:07:11.42,2026-04-28T15:07:11.4293760-05:00,2026-04-28T20:07:11.4293760Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,81a07100-e996-4048-a4c2-4a388f9ec5be,55.06004,-126.7012,12.46392,4.63354,2.04428,-13.59128,-1.68354,0.21484,-6.49019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-28,15:07:27.32,1,2,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,1,0,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.94412,0.838589,-2.611309,1760.024244,255.678283,2:30,4.36958,1.73057,5.63165,-31.97443,5.83323,17.61536,2.48833,0.76045,78.46945,-5.095167,0.532608,0.442549,,,,,,,,,,,,-9.6813,3.10142,-1.51953,50,4.42085,4.97458,-125.99527,0.72045,-15.36636,28.61197,-27.25141,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,e1695a00-433d-11f1-8a34-b95cd046e611,85.17125,,,8.47467,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:07:27.32,2026-04-28T15:07:27.3258496-05:00,2026-04-28T20:07:27.3258496Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,351048cd-7e96-46b3-af23-b000261a91ee,54.86469,-127.09518,14.30598,4.37302,1.76805,-13.62571,-1.72212,5.5653,-7.68318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-28,15:07:45.58,1,3,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,1,1,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.93813,0.753595,-2.08053,1699.503333,257.090991,2:30,4.32706,1.38483,5.39368,-32.44687,4.50555,14.40253,2.3299,0.63438,80.06547,-5.213963,0.479937,0.437515,,,,,,,,,,,,-7.80485,2.41973,-1.20946,50,4.37173,3.9871,-127.55504,0.46936,-12.81203,27.12737,-28.20192,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,ec4a3bb0-433d-11f1-8a34-b95cd046e611,86.15119,,,7.87267,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:07:45.58,2026-04-28T15:07:45.5833088-05:00,2026-04-28T20:07:45.5833088Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,34fbff95-825c-4846-8860-caa649b7cb37,55.1039,-128.63592,13.56368,4.33064,1.59305,-14.10096,-1.37849,4.49759,-6.40601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-28,15:08:02.92,1,4,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,1,2,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.30069,1.990588,0.782892,1627.576905,235.302755,1:45,4.5447,1.50406,5.51447,-28.44978,8.81953,11.04552,4.03612,3.15661,79.51612,-3.283853,2.749573,0.439387,,,,,,,,,,,,-5.31815,4.24914,-1.57972,50,4.69933,-2.21787,-126.65166,3.40107,-8.62258,26.30326,-25.28474,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,f69c4ae0-433d-11f1-8a34-b95cd046e611,85.78417,,,7.78457,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:08:02.92,2026-04-28T15:08:02.9235712-05:00,2026-04-28T20:08:02.9235712Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,21d3b36b-6019-40a7-a443-509cf6a66b8e,54.98203,-127.68215,13.15163,4.54669,4.39165,-12.64237,-1.49945,-1.88006,-4.31129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,15:08:21.45,1,5,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,2,2,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.03011,-0.29082,-1.724999,1708.100318,257.008005,2:30,4.35192,1.44749,5.45926,-31.47769,4.98347,16.8578,1.45644,1.23719,80.95462,-6.063912,1.278122,0.434597,75.52926,47.788946,-70.293406,4300.678326,,,,,73.41531,,,-9.00847,2.90071,-1.30764,50,4.30459,3.12503,-127.88355,-1.80494,-14.98182,25.32114,-27.34989,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,01ac52e0-433e-11f1-8a34-b95cd046e611,86.72965,65.06143,,7.07549,,,,1.71419,1.48796,-1.23059,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:08:21.45,2026-04-28T15:08:21.4557696-05:00,2026-04-28T20:08:21.4557696Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,7e747b5f-f978-4826-af6e-f2584a2e68cf,55.04112,-128.87783,12.66057,4.35438,-0.73099,-13.67495,-1.4419,3.71332,-7.49091,,1.71419,25.09711,-9.74118,2.6822,-0.62635,0.11399,-0.00592,-0.00734,0.00216,1.48796,82.04902,-23.89032,2.45702,-0.47968,0.08724,-0.01917,0.00471,-0.00068,-1.23059,-70.06733,6.52739,-1.05772,0.15391,-0.02216,0.00666,-0.00221,0.00044,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
6,2026-04-28,15:08:47.60,1,6,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.73319,0.541018,-0.332637,1326.371206,260.934589,2:45,4.42003,1.523,5.49214,-38.78431,3.73984,14.9352,1.69412,2.45643,74.76496,-6.578943,2.330257,0.469342,,,,,,,,,,,,-7.59662,2.16398,-1.50411,50,4.44133,0.07418,-118.66981,-0.21542,-10.80061,23.33929,-29.09737,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,11482490-433e-11f1-8a34-b95cd046e611,80.30912,,,6.96823,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:08:47.60,2026-04-28T15:08:47.6090880-05:00,2026-04-28T20:08:47.6090880Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,1e366858-7866-4dfd-be94-f0ef04670536,55.00575,-119.65026,11.66965,4.4247,1.00693,-14.54868,-1.51676,0.5279,-5.40031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-28,15:09:05.64,1,7,"Kutz, Ryan",801705,Right,LIP_BIS,"Smelser, Landon",831388,Left,TEN_TEC,Undefined,1,Top,0,3,2,Sinker,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,87.1521,0.251393,-1.973449,1755.187712,248.474106,2:15,4.24591,1.54076,5.78111,-29.46328,8.17323,17.15493,2.02467,1.13351,78.20542,-5.261361,1.098976,0.441546,96.30588,2.55245,4.588294,4575.488822,,,,72.84624,55.46134,3.193444,0.536961,-9.4343,4.47087,-1.38857,50,4.24915,3.62816,-126.32063,-0.43209,-14.92857,30.69638,-25.09948,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,1c00e4d0-433e-11f1-8a34-b95cd046e611,85.36466,2.66414,,8.94668,,,,2.28751,2.17386,-1.09701,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:09:05.64,2026-04-28T15:09:05.6432128-05:00,2026-04-28T20:09:05.6432128Z,GroundBall,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,f2984a7f-cb79-4a9c-b188-7c1856d0de99,54.71566,-127.4614,15.34819,4.24787,0.50069,-12.54974,-1.53371,4.18295,-7.46429,29.082797,2.30577,140.19847,-16.89364,,,,,,,2.18883,5.91556,-18.65738,,,,,,,-1.09245,11.1735,-2.9601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2026-04-28,15:11:02.86,2,1,"Kutz, Ryan",801705,Right,LIP_BIS,"Jimenez, Jorsixt",1000338045,Right,TEN_TEC,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.73243,4.087371,1.029356,2210.296158,50.18,7:45,4.44723,1.68445,5.52804,-61.19098,-8.62504,-12.40997,3.17606,1.61265,67.0964,-7.093109,-1.181215,0.521823,,,,,,,,,,,,6.60323,-5.14937,-1.76514,50,4.76157,-1.4686,-106.82387,5.69265,7.57785,19.57938,-38.08345,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,61e69210-433e-11f1-8a34-b95cd046e611,72.23217,,,6.63603,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:11:02.86,2026-04-28T15:11:02.8615680-05:00,2026-04-28T20:11:02.8615680Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,19aace55-8327-4372-b712-1d5d3fe50353,54.97352,-107.73159,9.78969,4.45673,7.45824,-19.04173,-1.68891,-1.81992,3.78892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-28,15:11:20.46,2,2,"Kutz, Ryan",801705,Right,LIP_BIS,"Jimenez, Jorsixt",1000338045,Right,TEN_TEC,Undefined,1,Top,0,1,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.79385,0.600764,-2.419485,1739.498314,249.414808,2:15,4.53105,1.80197,5.52539,-30.68045,7.20524,15.77839,2.5365,0.8536,78.74246,-5.079563,0.391503,0.443005,,,,,,,,,,,,-8.61682,3.85701,-1.60205,50,4.56314,4.61873,-125.83579,0.23197,-13.7206,27.18777,-26.03248,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,6c63cff0-433e-11f1-8a34-b95cd046e611,85.08349,,,8.0514,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:11:20.46,2026-04-28T15:11:20.4636160-05:00,2026-04-28T20:11:20.4636160Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,892589b8-875f-434d-8f0d-e2bd35a7e530,54.97093,-126.90525,13.59388,4.53387,1.25598,-13.01624,-1.79435,5.15844,-6.8603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-28,15:11:55.60,2,3,"Kutz, Ryan",801705,Right,LIP_BIS,"Jimenez, Jorsixt",1000338045,Right,TEN_TEC,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.85367,1.563586,-2.115401,2294.203248,47.713399,7:30,4.55449,1.5985,5.41186,-57.81039,-9.79662,-12.30217,1.20317,-1.40939,71.14337,-8.898993,-4.303728,0.498717,,,,,,,,,,,,5.63138,-4.94611,-1.40145,50,4.65291,4.59212,-111.62031,1.08727,7.12264,19.61444,-38.42994,LIP_BIS,TEN_TEC,Lipscomb,D1,ASUN,20260428-Lipscomb-1,815e72c0-433e-11f1-8a34-b95cd046e611,75.57879,,,5.7103,,,,,,,d3514004-296d-491c-97b1-5c865f6e9885,2026-04-28,20:11:55.60,2026-04-28T15:11:55.6064256-05:00,2026-04-28T20:11:55.6064256Z,,v3,471517,471458,13324,"Scharff, Simon",10054985,Right,LIP_BIS,beb2737a-55a5-48ea-906e-9506409962d8,55.09073,-112.51131,9.80722,4.56387,2.833,-19.21497,-1.60271,4.26856,3.56132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
