PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,18:05:25.72,1,1,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.33316,-0.255064,0.096195,1787.156843,148.673738,11:00,6.00652,-0.84627,5.14188,-23.21887,13.41796,-7.49489,3.83143,-1.38027,81.06972,-4.543875,-1.230472,0.435642,,,,,,,,,,,,3.75654,7.08563,0.84329,50,5.96502,0.12688,-128.25822,-1.41334,6.29029,25.22329,-20.30917,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,b9dc3160-4356-11f1-8251-8b1bab5c0ff8,86.52149,,,7.26344,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:05:25.72,2026-04-28T18:05:25.7249792-05:00,2026-04-28T23:05:25.7249792Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,92ca35d8-6046-44f4-8601-52317689ae73,55.35917,-129.30786,12.61164,6.00625,-0.56819,-10.15458,0.84346,-0.13488,3.14514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-28,18:05:42.30,1,2,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.4502,-2.425236,0.846262,1948.860901,159.052683,11:15,5.82571,-0.44557,5.35629,-18.55903,17.69674,-6.35366,2.00294,-0.18129,81.40352,-5.885478,-0.283018,0.433371,,,,,,,,,,,,3.41193,9.85378,0.37415,50,5.59448,-1.61441,-128.3653,-6.05279,5.73166,24.87883,-15.62081,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,c3c25f60-4356-11f1-8251-8b1bab5c0ff8,86.975,,,7.04668,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:05:42.30,2026-04-28T18:05:42.3040000-05:00,2026-04-28T23:05:42.3040000Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,0d25fdc4-77b1-428e-8dc1-b5528d21ef22,55.14513,-129.35864,12.43941,5.8237,-5.42909,-7.81041,0.44318,-1.84326,2.86583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-28,18:06:03.71,1,3,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.94014,-1.506202,0.107436,1905.388439,162.962219,11:30,5.98001,-0.54,5.34376,-16.33005,18.73336,-5.41607,3.20588,-0.89055,82.59816,-4.576213,-0.854797,0.426185,76.81335,16.280119,171.442414,4643.870536,-108.44775,10.62174,18.41081,147.09626,51.48619,170.638833,1.617285,2.70043,10.05906,0.53407,50,5.83253,0.01179,-130.5501,-3.95053,4.694,25.63166,-14.68905,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,d08e2120-4356-11f1-8251-8b1bab5c0ff8,88.44143,14.08208,,7.34198,,,,2.6649,2.8977,0.89555,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:06:03.71,2026-04-28T18:06:03.7199872-05:00,2026-04-28T23:06:03.7199872Z,LineDrive,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,2b0d2eff-0a21-40d8-8046-b29d5fbbb4c2,55.15418,-131.55816,12.81583,5.97654,-3.37283,-7.34453,0.53724,-0.17281,2.347,16.555994,2.6649,-106.93734,11.03503,-1.1038,0.0195,0.21796,-0.16141,0.05838,-0.00843,2.89771,31.58156,-24.04119,2.74133,-0.43027,-0.08577,0.13315,-0.05375,0.00806,0.89555,16.09256,-0.05273,-0.93287,0.13041,0.14043,-0.14786,0.05901,-0.00896,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-28,18:06:25.70,1,4,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.06835,1.300312,-0.542606,818.057067,84.360225,8:45,5.95445,-0.83205,5.05945,-44.664,1.14453,-5.57922,3.45899,-1.8087,72.05827,-6.862306,-1.529114,0.48713,,,,,,,,,,,,2.56843,0.65913,0.88827,50,6.04313,1.33765,-115.90958,1.01667,3.42773,25.50841,-31.29439,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,dda89f20-4356-11f1-8251-8b1bab5c0ff8,77.37661,,,8.01009,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:06:25.70,2026-04-28T18:06:25.7092608-05:00,2026-04-28T23:06:25.7092608Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,26fcc0cf-6377-4d79-8c73-1cff6a881553,55.43873,-117.10037,12.7542,5.96157,2.47756,-15.6472,0.82956,1.17764,1.71386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,18:06:41.15,1,5,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.58018,-4.366825,2.674294,2125.744761,163.337207,11:30,5.91489,-0.63477,5.05058,-16.09674,18.79977,-5.25693,0.44215,1.45142,83.16732,-7.379862,1.746689,0.42517,,,,,,,,,,,,3.44118,11.03914,0.38429,50,5.48561,-5.93127,-132.26699,-10.66384,6.04621,30.36478,-12.77803,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,e6d12270-4356-11f1-8251-8b1bab5c0ff8,88.65271,,,8.41286,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:06:41.15,2026-04-28T18:06:41.1582464-05:00,2026-04-28T23:06:41.1582464Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,ae007b16-cb14-4bc1-81af-0df54acd6763,55.45065,-133.51245,15.18239,5.91225,-10.13973,-6.38902,0.63265,-6.17926,3.02311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-28,18:07:06.71,1,6,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.21834,-2.054134,0.679035,1993.216557,162.957862,11:30,5.94797,-0.82279,5.10022,-15.66961,19.74092,-5.6991,2.70549,-0.6578,82.35799,-5.005551,-0.328873,0.42829,81.35375,56.959015,58.96002,4080.98593,,,,,58.98119,,,3.05244,10.77028,0.76346,50,5.74245,-1.28915,-130.84099,-5.21666,5.28645,27.84868,-13.52123,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,f60e8070-4356-11f1-8251-8b1bab5c0ff8,88.00687,71.90999,,7.86035,,,,1.99116,1.93539,0.83116,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:07:06.71,2026-04-28T18:07:06.7188736-05:00,2026-04-28T23:07:06.7188736Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,72d432f0-af35-4cf3-bcf5-55278eeece23,55.4018,-131.98572,13.92434,5.94546,-4.66087,-6.76061,0.82092,-1.50645,2.64323,,1.99116,33.54581,-15.97451,5.24589,-1.41593,0.34944,-0.08361,0.0166,-0.00192,1.93539,100.02252,-33.19529,4.79177,-0.89659,0.13962,-0.01955,0.00165,-1E-05,0.83116,55.74147,0.06737,-2.21152,0.92842,-0.29939,0.08332,-0.01889,0.00232,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
7,2026-04-28,18:07:33.89,1,7,"Targac, Titan",1000133872,Left,TEX_BOB,"Krowka, Karson",1000114100,Right,TEX_ISL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.86698,-3.731629,0.356386,1962.209473,163.669406,11:30,5.83526,-0.65452,5.21592,-17.01544,19.51674,-5.35764,0.90331,-0.76587,81.10052,-6.919078,-0.593551,0.43502,,,,,,,,,,,,2.79673,11.20989,0.62587,50,5.47788,-0.55992,-128.67594,-8.94956,4.67279,27.56711,-13.44467,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,0642c190-4357-11f1-8251-8b1bab5c0ff8,86.6453,,,7.76646,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:07:33.89,2026-04-28T18:07:33.8997760-05:00,2026-04-28T23:07:33.8997760Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,7543e4f0-14b0-405d-b431-9966150cfa9a,55.28533,-129.80331,13.78355,5.83264,-8.39973,-6.72233,0.65267,-0.75102,2.33639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-28,18:08:13.36,2,1,"Targac, Titan",1000133872,Left,TEX_BOB,"Smith-Johnson, Christian",1000093678,Right,TEX_ISL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.70113,-2.641722,2.040673,1928.229661,145.80437,10:45,5.85771,-0.71894,4.75489,-20.86899,16.75375,-10.45245,1.60992,0.34617,80.14979,-6.511968,0.204186,0.441465,,,,,,,,,,,,5.81922,9.46178,0.52384,50,5.57467,-4.07606,-128.26838,-6.68667,9.57035,29.71321,-16.61316,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,1dc91850-4357-11f1-8251-8b1bab5c0ff8,85.3803,,,8.55134,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:08:13.36,2026-04-28T18:08:13.3676032-05:00,2026-04-28T23:08:13.3676032Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,9d0b5af9-c15d-4a9b-a9fd-d410e965d596,55.74562,-129.59251,14.8566,5.85616,-5.94633,-8.30658,0.71499,-4.50255,4.78518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-28,18:08:39.95,2,2,"Targac, Titan",1000133872,Left,TEX_BOB,"Smith-Johnson, Christian",1000093678,Right,TEX_ISL,Undefined,1,Top,0,0,1,ChangeUp,Splitter,InPlay,Undefined,Bunt,Sacrifice,1,0,,80.10385,0.08193,2.152781,825.538762,56.203502,7:45,5.81927,-0.92889,4.53188,-51.8031,-5.51138,-10.6091,1.58042,0.23801,73.03054,-9.194715,0.29251,0.489692,,,,,,,,,,,,5.89851,-2.38327,0.71507,50,5.77816,-3.90223,-116.01361,-1.84382,7.95192,23.89757,-35.38698,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,2dcafed0-4357-11f1-8251-8b1bab5c0ff8,76.97171,,,7.0733,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:08:39.95,2026-04-28T18:08:39.9578112-05:00,2026-04-28T23:08:39.9578112Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,5991066f-ba3e-45fb-b44b-f32aed1e961e,55.97187,-117.2373,11.94878,5.82618,-0.03181,-17.69349,0.92531,-4.30941,3.97596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-28,18:09:19.56,3,1,"Targac, Titan",1000133872,Left,TEX_BOB,"Flaggert, Jarrett",813171,Right,TEX_ISL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.53639,2.778783,1.772174,1823.796326,354.155677,5:45,5.86595,-0.77062,4.07432,-72.27079,-16.56627,1.88099,2.51509,1.0884,67.39714,-10.001791,2.099001,0.537176,,,,,,,,,,,,-0.37524,-8.20709,0.56932,50,6.09869,-3.37346,-106.43806,2.37886,-0.42783,19.30736,-41.5318,TEX_BOB,TEX_ISL,TexasStateUniversity,D1,SBELT,20260428-TexasStateUniversity-1,45596be0-4357-11f1-8251-8b1bab5c0ff8,70.16775,,,6.13926,,,,,,,b71f23b9-7fa6-42b8-91bd-76a10302d7be,2026-04-28,23:09:19.56,2026-04-28T18:09:19.5674112-05:00,2026-04-28T23:09:19.5674112Z,,v3,471452,4764,,"Munguia, Austin",830898,Right,TEX_BOB,816eece6-6371-4716-96de-2b4b6d111808,56.43197,-107.59846,9.65368,5.88071,4.87499,-20.7659,0.7713,-3.34775,-0.21392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
