PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,18:07:05.97,1,1,"McBean, Alito",830544,Left,SAN_AZT,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.37946,-2.270645,1.491111,2253.648725,132.749444,10:30,6.26551,-1.68953,5.11907,-21.52737,15.96379,-16.03918,2.33075,-1.62117,80.44561,-6.243306,-1.347691,0.440693,,,,,,,,,,,,8.3626,8.8815,1.56223,50,6.03535,-2.57495,-126.77108,-5.7867,13.70096,24.2733,-17.62294,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,bd9fe060-4367-11f1-967f-2f87af666e37,85.52996,,,6.93385,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:07:05.97,2026-04-28T18:07:05.9784704-07:00,2026-04-29T01:07:05.9784704Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,85e8adcd-6f96-4d1b-8017-a23d441d4cbf,55.38214,-127.79746,12.13665,6.26428,-5.04152,-8.81147,1.68336,-3.15429,6.85048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-28,18:07:24.42,1,2,"McBean, Alito",830544,Left,SAN_AZT,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,1,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,80.98961,-1.33211,3.243186,2249.869025,262.491296,2:45,6.21986,-1.7242,4.51384,-42.51762,1.9291,5.4167,1.40553,1.81985,75.53791,-8.892244,4.189792,0.479834,,,,,,,,,,,,-1.88839,1.56563,1.37898,50,6.03933,-6.88672,-117.42824,-4.38522,-2.67006,19.60825,-29.96033,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,c88f6810-4367-11f1-967f-2f87af666e37,78.55307,,,5.4517,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:07:24.42,2026-04-28T18:07:24.4297728-07:00,2026-04-29T01:07:24.4297728Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,165e3b2f-60ba-41c5-b896-588d01f56e12,55.99006,-118.42425,9.80413,6.22343,-2.86338,-14.98017,1.72534,-6.7511,-1.33503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-28,18:07:55.37,2,1,"McBean, Alito",830544,Left,SAN_AZT,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.09348,-1.027096,1.383403,2362.163722,145.925212,10:45,6.30287,-1.64514,5.16182,-18.11308,18.76131,-11.92068,3.8263,-1.33614,80.71031,-4.41823,-0.726851,0.437053,,,,,,,,,,,,6.28882,9.9565,1.52547,50,6.19357,-2.54149,-127.84258,-2.89439,10.45296,25.2856,-15.62484,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,db020070-4367-11f1-967f-2f87af666e37,86.24235,,,7.38317,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:07:55.37,2026-04-28T18:07:55.3723392-07:00,2026-04-29T01:07:55.3723392Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,fc6dba4a-bbe7-444c-94b7-fc080dd4572f,55.33813,-128.89407,12.6428,6.30042,-2.24464,-7.81242,1.6402,-2.97617,5.22648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-28,18:08:13.30,2,2,"McBean, Alito",830544,Left,SAN_AZT,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,0,1,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.95306,-0.857542,2.20514,2363.447392,151.508111,11:00,6.27656,-1.70946,5.28113,-25.9884,12.01075,-5.83697,3.30482,-0.12383,79.20631,-5.665288,1.169917,0.443668,,,,,,,,,,,,3.54532,6.633,1.51257,50,6.17955,-4.59133,-126.04085,-2.80847,5.68213,26.49958,-21.54316,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,e5b25c40-4367-11f1-967f-2f87af666e37,84.95635,,,7.74675,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:08:13.30,2026-04-28T18:08:13.3061120-07:00,2026-04-29T01:08:13.3061120Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,4afde24a-cb13-426c-a784-67e7049fbbfc,55.21745,-127.13306,13.24979,6.277,-1.92054,-10.77158,1.70663,-4.82553,2.84107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,18:08:31.10,2,3,"McBean, Alito",830544,Left,SAN_AZT,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.7071,2.606185,-0.761754,2332.70276,317.382929,4:30,6.20923,-1.64204,4.78057,-65.72941,-15.59316,15.9582,3.20414,-1.03431,69.74782,-9.199748,2.050694,0.509621,,,,,,,,,,,,-8.03083,-7.88284,1.70357,50,6.4122,0.80446,-111.12609,2.59133,-9.90662,22.42443,-41.89808,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,f058f410-4367-11f1-967f-2f87af666e37,73.96172,,,6.95928,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:08:31.10,2026-04-28T18:08:31.1058432-07:00,2026-04-29T01:08:31.1058432Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,7bd7b8f3-119d-44a5-a636-5dd76fa84b3f,55.72403,-112.27521,11.21221,6.2244,4.73837,-20.94904,1.64933,1.31212,-4.95331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-28,18:08:50.15,2,4,"McBean, Alito",830544,Left,SAN_AZT,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.29578,-1.031053,1.094375,2341.1833,132.440983,10:30,6.32536,-1.70162,5.11673,-23.68336,12.96347,-12.98556,3.38017,-1.75267,81.26704,-5.389174,-1.203768,0.435702,,,,,,,,,,,,6.71571,7.05028,1.60904,50,6.21014,-1.85009,-128.19226,-3.17663,11.25986,24.6206,-20.35327,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,fba1e660-4367-11f1-967f-2f87af666e37,86.50967,,,7.02874,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:08:50.15,2026-04-28T18:08:50.1500416-07:00,2026-04-29T01:08:50.1500416Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,e2f7ece3-f389-4a20-8122-ed68acd2115c,55.38373,-129.22212,12.3103,6.32521,-2.32527,-10.17663,1.69628,-2.32109,5.62993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-28,18:09:09.16,2,5,"McBean, Alito",830544,Left,SAN_AZT,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.36213,-1.748211,2.515893,2384.571552,132.299378,10:30,6.25838,-1.71651,5.30283,-25.22466,11.3119,-11.18434,2.51301,-0.2851,81.11553,-6.392379,0.531027,0.435046,104.60936,33.502018,-13.284082,4244.003403,107.88942,74.61661,-21.44461,,354.92767,,,6.34524,6.47717,1.49646,50,6.08112,-5.14417,-128.16989,-4.82628,10.58515,25.78333,-21.36883,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,06f69880-4368-11f1-967f-2f87af666e37,86.64008,92.99716,,7.24661,,,,2.96935,2.76752,0.31043,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:09:09.16,2026-04-28T18:09:09.1622400-07:00,2026-04-29T01:09:09.1622400Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,25938344-3398-4ced-a4ba-94ab10d264d2,55.19959,-129.21163,12.89166,6.25868,-3.9629,-10.68441,1.71294,-5.57185,5.29258,190.313698,2.96934,124.51509,-29.85946,7.41581,-0.82659,-1.17997,1.34321,-0.6318,0.11388,2.76754,84.68459,-15.36394,-0.00721,-1.04839,2.37265,-2.25374,1.03192,-0.18493,0.31044,-29.39804,10.87732,-2.99916,0.19384,0.83452,-0.88808,0.41403,-0.07451,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-28,18:09:56.31,3,1,"McBean, Alito",830544,Left,SAN_AZT,"Olazaba, Esteban",1000239358,Right,CAL_FUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,89.59335,-2.251731,3.08539,2405.089066,141.283948,10:45,6.27632,-1.82237,5.41705,-21.69655,13.90359,-10.21107,2.35469,0.21992,81.83302,-6.283827,1.271427,0.429435,94.40516,-23.540741,30.191275,,,,,6.31672,6.31672,22.966507,0.042058,6.03677,7.98276,1.5554,50,6.06098,-6.54359,-129.79501,-5.86456,10.28219,27.56026,-18.57734,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,23127cf0-4368-11f1-967f-2f87af666e37,87.77222,2.33004,,7.76033,,,,1.19319,2.33004,-0.22487,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:09:56.31,2026-04-28T18:09:56.3171328-07:00,2026-04-29T01:09:56.3171328Z,GroundBall,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,8e309874-3ae6-4b32-87ae-156841af80fb,55.08395,-130.87006,13.78013,6.27561,-5.13991,-9.28867,1.81847,-6.94467,5.1411,,1.19185,109.91606,,,,,,,,2.33071,-55.40088,,,,,,,,-0.22564,63.95027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-04-28,18:10:36.32,4,1,"McBean, Alito",830544,Left,SAN_AZT,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.52268,0.827498,0.939025,2390.488871,316.352244,4:30,6.14451,-1.64224,5.03298,-63.89767,-14.96052,15.96776,1.60062,0.57447,70.41755,-10.676752,3.769572,0.50349,,,,,,,,,,,,-7.58111,-7.15394,1.53914,50,6.17231,-2.49838,-112.34757,-0.71104,-9.47408,24.57173,-41.11433,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,3af87fe0-4368-11f1-967f-2f87af666e37,74.86235,,,7.10513,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:10:36.32,2026-04-28T18:10:36.3233280-07:00,2026-04-29T01:10:36.3233280Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,336a841b-8ce8-4a27-92ed-a1cec5f7aafe,55.47051,-113.53773,12.28586,6.15852,1.28037,-20.55717,1.64904,-2.03949,-4.73704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-28,18:10:57.00,4,2,"McBean, Alito",830544,Left,SAN_AZT,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.74814,0.267475,1.417967,2458.22551,319.748375,4:45,6.18354,-1.83828,4.92221,-64.87897,-16.10013,15.0965,1.02992,0.76063,70.9147,-11.355201,4.089641,0.502675,,,,,,,,,,,,-6.97611,-7.5254,1.68684,50,6.15536,-3.41517,-112.67506,-1.88191,-8.78461,24.38186,-41.65038,SAN_AZT,CAL_FUL,TonyGwynnStadium,D1,MW,20260428-TonyGwynnStadium-1,474e9c70-4368-11f1-967f-2f87af666e37,74.98374,,,6.83344,,,,,,,a6523c8a-0695-4177-a295-1a47a00afae8,2026-04-29,01:10:57.00,2026-04-28T18:10:57.0050560-07:00,2026-04-29T01:10:57.0050560Z,,v3,471432,471254,7a268ffec45f4d43a9e4d2cda32a3166,"Adams, Gage",805917,Right,SAN_AZT,dc85b39b-a4d7-4015-9165-b3b483557053,55.58195,-113.87654,12.19093,6.19753,0.17052,-20.82519,1.84447,-2.98229,-4.3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
