PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,18:02:30.20,1,1,"Clement, Madden",824011,Left,VIR_TEC,"Aycock, Cameron",1000114445,Left,JMU_DUK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.13468,-2.565976,3.05757,2098.638353,158.522965,11:15,6.23782,-1.21845,5.78063,-15.60721,19.89934,-7.36713,2.54473,1.01521,81.29081,-5.542936,1.74082,0.42887,62.0647,56.609519,-115.706448,4922.895053,,,,,34.3615,,,4.64445,11.24564,0.97054,50,6.01649,-6.58755,-129.16077,-6.24361,7.82718,27.49705,-13.2221,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,f3d23b20-434d-11f1-ba33-a989fdc0c941,87.88776,45.92023,,7.84387,,,,1.76704,2.5807,-1.01406,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:02:30.20,2026-04-28T18:02:30.2090752-04:00,2026-04-28T22:02:30.2090752Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,a75603dc-f085-400e-a8e2-c91c5daaa489,54.71885,-130.16149,13.74853,6.23496,-5.76241,-6.61105,1.21547,-6.87241,3.91359,34.801895,1.76704,-21.73034,-4.73076,1.46317,0.94246,-2.93367,3.92112,-2.91715,0.95847,2.5807,76.00293,-23.5808,2.29721,-0.45154,0.12869,-0.08203,0.03157,0.00083,-1.01406,-45.13829,6.88163,-1.35734,-0.17892,0.91946,-1.25198,0.94867,-0.31908,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-28,18:02:48.78,1,2,"Clement, Madden",824011,Left,VIR_TEC,"Aycock, Cameron",1000114445,Left,JMU_DUK,Undefined,1,Top,0,0,1,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.50257,-0.464045,2.638415,2368.644114,336.782686,5:15,6.00699,-1.73793,5.68869,-60.48338,-15.55615,7.29079,0.53373,1.3305,73.25611,-11.409919,3.945716,0.482421,,,,,,,,,,,,-2.91575,-7.42493,1.51117,50,5.92973,-5.59367,-115.40077,-2.98925,-3.8896,23.63367,-42.07892,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,feee7820-434d-11f1-ba33-a989fdc0c941,78.13182,,,6.24646,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:02:48.78,2026-04-28T18:02:48.7843840-04:00,2026-04-28T22:02:48.7843840Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,1b8fe2fc-a8ef-4031-bf5d-7d724ee17874,54.81551,-116.3828,11.81684,6.01762,-1.2408,-21.03946,1.74024,-5.43205,-1.9448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-28,18:03:06.61,1,3,"Clement, Madden",824011,Left,VIR_TEC,"Aycock, Cameron",1000114445,Left,JMU_DUK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.00205,-2.344291,2.514588,2278.897896,153.901978,11:15,6.18856,-1.48962,5.7505,-14.26831,19.76387,-9.13591,2.81376,0.09156,83.01463,-5.075354,0.88129,0.419871,71.17796,56.457607,-135.353655,4657.134971,,,,,53.39057,,,5.39,11.08434,1.28649,50,5.98517,-5.40034,-131.96312,-5.81919,9.48926,28.50566,-12.6598,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,0987c980-434e-11f1-ba33-a989fdc0c941,89.77139,64.45458,,7.98743,,,,1.66497,2.96354,-0.10286,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:03:06.61,2026-04-28T18:03:06.6192384-04:00,2026-04-28T22:03:06.6192384Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,2059e2e4-4636-40aa-ad46-b9b976cf6c15,54.74944,-132.98511,14.25283,6.18567,-5.36531,-6.3299,1.4862,-5.74055,4.74463,30.607236,1.66498,-41.04004,-2.7925,1.58452,-0.05007,-0.70431,0.72771,-0.28233,0.02536,2.96354,87.00988,-28.63312,3.51981,-0.58771,-0.11026,0.1513,-0.02083,-0.01482,-0.10287,-40.53541,8.16479,-1.77933,0.17212,0.30013,-0.29855,0.09181,0.00168,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-04-28,18:03:25.78,1,4,"Clement, Madden",824011,Left,VIR_TEC,"Aycock, Cameron",1000114445,Left,JMU_DUK,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.88069,-0.122415,2.274565,2476.516037,338.918913,5:15,6.15652,-1.53011,5.53167,-57.8992,-12.36068,5.295,1.21707,1.03849,73.01561,-10.58747,3.220905,0.485692,,,,,,,,,,,,-2.03961,-5.82701,1.32884,50,6.10699,-4.75431,-114.5687,-2.23859,-2.70531,21.57683,-39.90292,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,15003040-434e-11f1-ba33-a989fdc0c941,77.60563,,,5.86508,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:03:25.78,2026-04-28T18:03:25.7843712-04:00,2026-04-28T22:03:25.7843712Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,9d7950b4-4ced-432e-a5fe-fe982e5e260e,54.9722,-115.50133,10.78842,6.16648,-0.51386,-19.95146,1.53181,-4.63738,-1.35265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,18:04:01.79,2,1,"Clement, Madden",824011,Left,VIR_TEC,"Moody, Reece",1000361026,Right,JMU_DUK,Undefined,1,Top,1,0,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,77.39231,-0.312945,2.352563,2325.203089,335.46078,5:15,6.10848,-1.70407,5.51209,-60.32196,-12.7828,6.51441,0.78876,1.03997,71.50691,-11.206083,3.516799,0.496246,,,,,,,,,,,,-2.61673,-6.01252,1.49429,50,6.04015,-4.86037,-112.35878,-2.64409,-3.32317,21.60693,-39.80973,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,2a71b0c0-434e-11f1-ba33-a989fdc0c941,75.95514,,,5.8854,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:04:01.79,2026-04-28T18:04:01.7924096-04:00,2026-04-28T22:04:01.7924096Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,72dabb82-1b23-4c23-97d0-ad71e3163962,54.99192,-113.31467,10.80346,6.11817,-0.8829,-19.90487,1.70606,-4.71335,-1.66158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-28,18:04:22.16,2,2,"Clement, Madden",824011,Left,VIR_TEC,"Moody, Reece",1000361026,Right,JMU_DUK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.53539,-2.337355,1.764206,2285.174299,157.388482,11:15,6.09248,-1.65412,5.87129,-12.1317,21.36446,-8.43729,2.9082,-0.71801,83.37569,-4.693401,0.251414,0.416552,,,,,,,,,,,,4.79225,11.89528,1.5161,50,5.89604,-3.71624,-132.7768,-5.723,8.53442,29.06872,-10.9899,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,368a7630-434e-11f1-ba33-a989fdc0c941,90.48681,,,8.1597,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:04:22.16,2026-04-28T18:04:22.1610496-04:00,2026-04-28T22:04:22.1610496Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,36781f18-57bb-4a63-adeb-dcea96122603,54.62659,-133.78586,14.53436,6.08808,-5.34151,-5.49495,1.65024,-4.01249,4.26721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-28,18:04:37.88,2,3,"Clement, Madden",824011,Left,VIR_TEC,"Moody, Reece",1000361026,Right,JMU_DUK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.77242,-2.438059,2.685591,2277.299016,160.557869,11:15,6.20054,-1.49617,5.82406,-11.80095,22.31619,-7.48296,2.94664,0.37882,82.77851,-4.733402,1.346615,0.420395,,,,,,,,,,,,4.59181,12.43654,1.28103,50,5.99412,-5.85213,-131.61365,-5.90584,8.04343,28.2847,-10.38919,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,3fedb890-434e-11f1-ba33-a989fdc0c941,89.65953,,,7.99391,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:04:37.88,2026-04-28T18:04:37.8859520-04:00,2026-04-28T22:04:37.8859520Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,3070f1fc-4a7f-4fea-bf05-97c765500d81,54.67554,-132.61465,14.14235,6.19662,-5.53817,-5.19459,1.49317,-6.13678,4.02172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-28,18:05:17.96,3,1,"Clement, Madden",824011,Left,VIR_TEC,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,91.16267,-4.364052,3.513971,2301.106224,145.24504,10:45,6.17388,-1.54413,5.98227,-14.64898,19.07446,-12.46914,0.89253,0.67803,83.46932,-7.154248,1.277342,0.417962,,,,,,,,,,,,7.3928,11.34851,1.27323,50,5.81979,-7.57412,-131.88918,-10.49595,13.03522,27.77799,-12.16403,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,57cfc3e0-434e-11f1-ba33-a989fdc0c941,90.18139,,,7.69335,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:05:17.96,2026-04-28T18:05:17.9630592-04:00,2026-04-28T22:05:17.9630592Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,3813ee9e-4551-4b08-80a2-476af38f309b,54.51803,-132.83734,13.889,6.17097,-10.08075,-6.08201,1.53935,-8.01906,6.51761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-28,18:05:39.56,3,2,"Clement, Madden",824011,Left,VIR_TEC,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.92249,-1.988319,2.923448,2358.586843,155.161722,11:15,6.17467,-1.54305,5.77788,-12.59119,21.82068,-9.52871,3.27215,0.38548,82.04203,-4.447943,1.220234,0.422207,,,,,,,,,,,,5.70205,12.02914,1.30704,50,6.00264,-6.28902,-131.64804,-4.8787,9.89607,30.83681,-11.2971,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,64b660a0-434e-11f1-ba33-a989fdc0c941,89.27475,,,8.88046,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:05:39.56,2026-04-28T18:05:39.5648512-04:00,2026-04-28T22:05:39.5648512Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,a23d140c-254c-4242-8370-1161763e3e7f,54.71763,-132.74849,15.41841,6.16954,-4.47555,-5.64855,1.53777,-6.64217,4.94804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-28,18:05:57.80,3,3,"Clement, Madden",824011,Left,VIR_TEC,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.28365,-3.004375,2.374004,1944.826187,146.012157,10:45,6.07767,-1.71582,5.71948,-25.09954,16.68536,-10.30733,1.18247,-0.3621,75.28005,-7.682844,0.530111,0.465244,,,,,,,,,,,,5.93587,9.77449,1.52384,50,5.81081,-4.53518,-119.22521,-7.02124,8.51807,23.57187,-18.14751,VIR_TEC,JMU_DUK,VATech,D1,ACC,20260428-VATech-1,6f9b6100-434e-11f1-ba33-a989fdc0c941,81.01645,,,7.00359,,,,,,,c0c33df0-efe3-426c-b072-6b7c1f62837d,2026-04-28,22:05:57.80,2026-04-28T18:05:57.8039808-04:00,2026-04-28T22:05:57.8039808Z,,v3,2293,471327,b1fc3cbdd370407ca35b62a833a39f86,"Cooke, Henry",805714,Right,VIR_TEC,d6a60bca-bff5-42df-82c7-26e51e91c904,54.77935,-120.16641,11.78594,6.07669,-6.29662,-9.07375,1.71171,-4.8753,4.25904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
