PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,18:32:44.27,1,1,"Asher, Brenden",1000361642,Right,ORA_GOL,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.20409,-0.955657,-0.487616,2143.058965,213.94852,1:15,6.15591,0.76995,5.81487,-17.08832,16.87355,10.5728,3.84318,1.19761,82.58331,-4.214054,1.407495,0.419437,,,,,,,,,,,,-5.49044,9.21938,-0.73607,50,6.06756,0.64918,-132.33019,-2.71894,-9.64655,30.6511,-15.97589,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,8e58add0-435a-11f1-b384-b5f87457f56b,89.86428,,,8.62079,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:32:44.27,2026-04-28T18:32:44.2795008-05:00,2026-04-28T23:32:44.2795008Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,253aec81-e5f3-462e-ae3c-dad0d6782fa2,54.67989,-133.40977,15.32555,6.15342,-2.15625,-7.98794,-0.76492,0.98894,-4.82327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-28,18:32:57.88,1,2,"Asher, Brenden",1000361642,Right,ORA_GOL,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.74263,-2.060536,-2.257827,2057.954023,238.845944,2:00,6.06175,0.55366,5.57097,-25.17694,9.13178,13.33887,2.03666,-0.44483,83.30562,-6.706315,0.122622,0.421574,,,,,,,,,,,,-7.39532,5.50138,-0.36819,50,5.86757,4.60439,-131.66645,-5.64861,-13.01136,27.36731,-22.4949,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,96705d60-435a-11f1-b384-b5f87457f56b,89.40887,,,7.43701,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:32:57.88,2026-04-28T18:32:57.8803712-05:00,2026-04-28T23:32:57.8803712Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,9d7018b1-faf8-4482-9945-1bfd2111dc77,54.92831,-132.68687,13.68366,6.06255,-4.80988,-11.24745,-0.54891,5.08953,-6.50568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-28,18:33:13.57,1,3,"Asher, Brenden",1000361642,Right,ORA_GOL,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,1,1,Slider,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.56547,-1.98609,-2.050523,2128.244194,240.11435,2:00,6.01567,0.89092,5.73362,-28.64557,11.93284,18.34599,1.7771,0.50942,76.12392,-7.311139,1.234851,0.458478,,,,,,,,,,,,-9.99119,7.08071,-0.73165,50,5.83262,3.60294,-121.18636,-5.11745,-14.73681,25.48817,-21.73011,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,9fcbd790-435a-11f1-b384-b5f87457f56b,82.21202,,,7.44155,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:33:13.57,2026-04-28T18:33:13.5727616-05:00,2026-04-28T23:33:13.5727616Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,6e2514f4-ef74-4c4c-a1e1-abb6f755f74c,54.76469,-122.18436,12.74409,6.01634,-4.26659,-10.86505,-0.88402,4.17998,-7.36841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-28,18:33:33.71,1,4,"Asher, Brenden",1000361642,Right,ORA_GOL,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.74721,2.886699,1.802607,2701.526019,33.507983,7:00,6.03764,0.59872,5.57937,-62.22161,-13.92119,-10.25327,3.55209,1.42833,70.12666,-8.449417,-0.02814,0.500204,,,,,,,,,,,,5.66524,-7.27678,-0.74714,50,6.24606,-3.10312,-111.32605,3.49803,7.06514,21.15544,-41.24895,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,abd5f700-435a-11f1-b384-b5f87457f56b,75.35419,,,6.62055,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:33:33.71,2026-04-28T18:33:33.7184768-05:00,2026-04-28T23:33:33.7184768Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,35e3490c-aab8-4fd6-bc80-71c0d5981520,54.92236,-112.25755,10.57772,6.05205,5.31428,-20.62448,-0.60366,-3.41421,3.53257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,18:33:49.02,1,5,"Asher, Brenden",1000361642,Right,ORA_GOL,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.22105,-1.997483,-2.163941,2040.692744,221.906497,1:30,6.04591,0.53784,5.59099,-20.08017,13.81268,11.4517,2.50538,-0.52933,83.67573,-5.741969,-0.120653,0.419011,99.65859,-0.379207,14.625817,2177.29058,,,,39.66999,38.90587,15.96692,0.277784,-6.39721,7.85595,-0.35983,50,5.86143,4.49411,-132.37258,-5.3072,-11.38812,27.38628,-18.18913,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,b4ecc710-435a-11f1-b384-b5f87457f56b,89.95571,2.41575,,7.54532,,,,0.53822,2.41575,0.57839,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:33:49.02,2026-04-28T18:33:49.0248704-05:00,2026-04-28T23:33:49.0248704Z,GroundBall,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,4467db7a-5f74-4ee5-b7f7-ac9e21f9abbb,54.9077,-133.38406,13.69314,6.04504,-4.6354,-9.09456,-0.53358,4.91471,-5.69406,331.243048,0.54052,141.31616,-21.49375,,,,,,,2.42039,-1.18962,-27.14667,,,,,,,0.5772,36.96426,0.88632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-04-28,18:34:16.29,2,1,"Asher, Brenden",1000361642,Right,ORA_GOL,"Indomenico, Remo",826694,Left,OKL_COW,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.2747,-1.473003,-2.528243,2095.601126,230.873161,1:45,6.04295,0.79363,5.90295,-20.54281,13.103,14.75174,2.96206,-0.3255,83.19761,-5.337107,0.118484,0.417481,,,,,,,,,,,,-8.22508,7.45721,-0.59855,50,5.91274,5.19699,-132.42121,-4.07346,-14.565,28.99632,-18.96882,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,c5268670-435a-11f1-b384-b5f87457f56b,90.28536,,,8.07709,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:34:16.29,2026-04-28T18:34:16.2901504-05:00,2026-04-28T23:34:16.2901504Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,b2e609f5-9e13-4c6d-87c7-a82524e3946d,54.59399,-133.42336,14.49816,6.0422,-3.41787,-9.48441,-0.78686,5.70038,-7.2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-28,18:34:29.23,2,2,"Asher, Brenden",1000361642,Right,ORA_GOL,"Indomenico, Remo",826694,Left,OKL_COW,Undefined,1,Top,1,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.57545,-1.418907,-1.908331,2065.327152,231.707058,1:45,6.05345,0.51733,5.67125,-21.92395,11.68386,13.44335,2.90258,-0.14222,83.73113,-5.505705,0.494768,0.417245,,,,,,,,,,,,-7.37126,6.65288,-0.36493,50,5.91992,3.83277,-132.92266,-4.05475,-13.18354,28.5817,-20.27533,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,cce0acb0-435a-11f1-b384-b5f87457f56b,90.33639,,,7.84433,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:34:29.23,2026-04-28T18:34:29.2357632-05:00,2026-04-28T23:34:29.2357632Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,bef85791-c4a1-409f-80e0-c31a73aafdc4,54.8272,-133.9566,14.29085,6.05333,-3.32129,-10.13766,-0.5122,4.30968,-6.59177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-28,18:34:46.54,2,3,"Asher, Brenden",1000361642,Right,ORA_GOL,"Indomenico, Remo",826694,Left,OKL_COW,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.40925,-0.221653,-0.813675,2065.656351,221.027091,1:15,6.14478,0.74838,5.69157,-18.93867,14.99879,12.04635,4.35996,0.99387,82.78413,-3.805198,1.340399,0.419287,,,,,,,,,,,,-6.30134,8.00693,-0.68734,50,6.11448,1.33017,-132.62399,-1.12287,-11.13094,30.54186,-18.03033,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,d73294d0-435a-11f1-b384-b5f87457f56b,89.89659,,,8.62513,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:34:46.54,2026-04-28T18:34:46.5457152-05:00,2026-04-28T23:34:46.5457152Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,9443735a-cda6-463a-b772-c2a79fb85d5e,54.80336,-133.72558,15.27093,6.14325,-0.47255,-9.01516,-0.74255,1.73164,-5.56547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-28,18:34:59.70,2,4,"Asher, Brenden",1000361642,Right,ORA_GOL,"Indomenico, Remo",826694,Left,OKL_COW,Undefined,1,Top,1,1,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.50851,-3.03916,-1.831092,2124.25859,240.52495,2:00,5.98197,0.76737,5.67118,-27.19328,12.67068,19.97017,0.87828,0.7238,77.00498,-8.081752,1.74252,0.454424,,,,,,,,,,,,-10.78796,7.76843,-0.62599,50,5.70819,3.10883,-122.46241,-7.38146,-16.22686,26.33117,-20.48906,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,df0cc630-435a-11f1-b384-b5f87457f56b,82.94548,,,7.50353,,,,,,,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:34:59.70,2026-04-28T18:34:59.7029888-05:00,2026-04-28T23:34:59.7029888Z,,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,73eaa0a0-7296-4415-93f9-d09047b296ef,54.82789,-123.49611,13.16558,5.98218,-6.57711,-10.24453,-0.76054,3.74586,-8.11343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-28,18:35:12.96,2,5,"Asher, Brenden",1000361642,Right,ORA_GOL,"Indomenico, Remo",826694,Left,OKL_COW,Undefined,1,Top,1,2,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.6322,-1.973046,-1.300303,2083.539923,229.639872,1:45,6.06975,0.64597,5.48259,-21.36501,13.25513,14.2741,2.44212,0.61868,82.79134,-5.948986,1.243447,0.423483,103.27341,17.583848,3.89042,1507.883636,109.93216,31.38909,3.84979,336.47802,323.36689,-1.144954,3.349261,-7.58437,7.58422,-0.542,50,5.88238,2.34411,-131.49162,-5.27567,-13.25086,28.42721,-18.92344,ORA_GOL,OKL_COW,ONEOKField,D1,SUM,20260428-ONEOKField-2,e6f0bb90-435a-11f1-b384-b5f87457f56b,89.00584,39.40686,,7.84086,,,,1.17637,2.41403,-0.60488,3dddad42-9234-4e26-a307-b9c3df748a4b,2026-04-28,23:35:12.96,2026-04-28T18:35:12.9680896-05:00,2026-04-28T23:35:12.9680896Z,LineDrive,v3,471403,4245,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,ceaafbe2-b2cb-4bf0-8e26-9f184f3eed4c,55.01564,-132.57152,14.21361,6.06914,-4.5568,-9.46172,-0.6406,2.84749,-6.62543,154.497457,1.17617,144.06554,-25.4661,6.3561,-1.24981,0.18527,-0.01635,8E-05,9E-05,2.41439,45.74366,-13.72292,-0.65048,0.30134,-0.02332,-0.01438,0.00448,-0.00039,-0.60492,9.79869,-6.58481,1.684,-0.37262,0.06451,-0.00736,0.00033,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
