PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-29,18:05:11.77,1,1,"Scheider, Calen",10083489,Right,BRA_BRA,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.83304,-1.424439,-2.214344,2041.534562,266.751167,3:00,5.08214,1.3692,5.60701,-32.66195,1.85008,12.05812,1.0294,0.30603,82.70931,-7.422777,-0.059538,0.422821,,,,,,,,,,,,-6.81268,1.68803,-1.18786,50,4.93905,4.56165,-131.72945,-4.50339,-11.86706,30.24621,-29.23364,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,e0513790-441f-11f1-a20a-15e6fb012f7d,89.14513,,,8.12373,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:05:11.77,2026-04-29T18:05:11.7794816-05:00,2026-04-29T23:05:11.7794816Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,88ffde2a-f48a-4b43-85dc-fd84bac3e056,54.8922,-132.84799,15.1231,5.0856,-3.42229,-14.61682,-1.36468,5.00051,-5.93353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-29,18:05:27.64,1,2,"Scheider, Calen",10083489,Right,BRA_BRA,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.78165,-0.448686,-2.290436,1984.56366,259.065918,2:45,5.05482,1.44879,5.69787,-30.77049,3.79362,13.34548,2.07215,0.4254,82.12649,-6.144332,0.09649,0.42314,,,,,,,,,,,,-7.47796,2.43654,-1.26483,50,4.99817,4.6659,-131.61882,-2.16267,-12.95198,31.22958,-27.95391,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,e9c9d6b0-441f-11f1-a20a-15e6fb012f7d,89.07797,,,8.65515,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:05:27.64,2026-04-29T18:05:27.6419584-05:00,2026-04-29T23:05:27.6419584Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,96b1127d-2d32-4a1d-867d-a1f4abd1e524,54.79937,-132.7527,15.61479,5.05826,-1.14773,-13.97696,-1.44277,5.13615,-6.47599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-29,18:05:45.38,1,3,"Scheider, Calen",10083489,Right,BRA_BRA,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.32231,0.823785,-0.471889,1334.08962,255.425126,2:30,5.07606,1.34457,5.64524,-33.32549,4.1291,10.78579,3.06743,1.8032,78.82006,-5.351764,1.455796,0.440478,,,,,,,,,,,,-5.5665,2.25539,-1.3113,50,5.12515,0.56628,-126.62721,0.62862,-8.91103,29.24796,-28.56354,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,f4643980-441f-11f1-a20a-15e6fb012f7d,85.57173,,,8.50225,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:05:45.38,2026-04-29T18:05:45.3868544-05:00,2026-04-29T23:05:45.3868544Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,1e117614-fb28-4f71-955a-e9d7e2315187,54.85027,-127.7426,14.62398,5.08041,1.7179,-14.28177,-1.33937,0.90611,-4.45552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-29,18:06:02.77,1,4,"Scheider, Calen",10083489,Right,BRA_BRA,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.50728,0.839976,-0.300404,2360.981337,68.839026,8:15,4.90539,1.40981,5.35588,-46.94652,-3.65815,-13.2278,1.78101,0.02576,74.20296,-7.721079,-2.654036,0.47354,,,,,,,,,,,,6.56418,-1.69284,-1.37295,50,4.94734,1.16429,-118.25906,0.05635,9.19289,24.88336,-34.5448,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,fec38f20-441f-11f1-a20a-15e6fb012f7d,79.59708,,,7.30432,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:06:02.77,2026-04-29T18:06:02.7746816-05:00,2026-04-29T23:06:02.7746816Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,ee627e4a-4519-4ab0-abe5-d17c2f583494,55.14376,-119.33647,12.44168,4.91252,1.55208,-17.2724,-1.41474,0.76625,4.59645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-29,18:06:23.34,1,5,"Scheider, Calen",10083489,Right,BRA_BRA,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.58851,-1.6406,-3.67654,1973.233647,254.830951,2:30,5.09114,1.27692,6.04365,-27.77372,5.62961,16.61706,1.2542,-0.74686,83.38041,-6.806505,-0.689294,0.415974,,,,,,,,,,,,-9.67221,3.71351,-0.99913,50,4.94811,7.82747,-132.76101,-4.76685,-17.14682,30.20234,-25.59079,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,0af6ba60-4420-11f1-a20a-15e6fb012f7d,90.61246,,,8.2081,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:06:23.34,2026-04-29T18:06:23.3426432-05:00,2026-04-29T23:06:23.3426432Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,05f88734-c15c-40c0-83e0-5ce9a633abb6,54.45575,-133.77083,15.10117,5.09319,-3.91123,-12.7954,-1.27042,8.40078,-8.57341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-29,18:06:40.55,1,6,"Scheider, Calen",10083489,Right,BRA_BRA,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.04587,-1.532117,-1.9592,1908.733049,251.268219,2:30,5.01645,1.55058,6.07341,-27.21954,6.38697,15.5954,1.3293,1.03662,83.12082,-6.599493,0.851552,0.417237,,,,,,,,,,,,-8.61272,4.07146,-1.40709,50,4.88339,3.86526,-132.19313,-4.46249,-15.168,29.43137,-25.00378,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,153f2ca0-4420-11f1-a20a-15e6fb012f7d,90.33813,,,7.92505,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:06:40.55,2026-04-29T18:06:40.5556224-05:00,2026-04-29T23:06:40.5556224Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,9b75986a-518d-4e0f-88c4-278126ffd22a,54.42562,-133.1748,14.71569,5.01832,-3.6285,-12.50189,-1.54446,4.37118,-7.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-29,18:07:17.14,2,1,"Scheider, Calen",10083489,Right,BRA_BRA,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.26426,-1.070445,-3.271243,1930.319479,275.775794,3:15,5.07509,1.37214,6.04871,-34.2651,-0.21724,12.39942,1.22698,-0.6262,83.02284,-7.38343,-1.040038,0.419968,,,,,,,,,,,,-7.3054,0.47429,-1.12406,50,4.97313,6.98066,-131.05137,-3.65971,-12.73228,27.13412,-31.34745,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,2b089120-4420-11f1-a20a-15e6fb012f7d,89.75075,,,7.24142,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:07:17.14,2026-04-29T18:07:17.1493376-05:00,2026-04-29T23:07:17.1493376Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,ba43ed7c-a715-41d8-8a5d-2ee4b1ec5a0c,54.45212,-131.96996,13.56706,5.07906,-2.59848,-15.67372,-1.36768,7.4117,-6.36614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-29,18:08:19.16,2,2,"Scheider, Calen",10083489,Right,BRA_BRA,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.02747,-0.922469,-1.868222,1905.04831,267.451645,3:00,5.04429,1.56428,6.03867,-32.79234,1.935,15.83729,1.45694,1.15363,81.49769,-7.011744,0.985652,0.424138,,,,,,,,,,,,-8.75882,1.64976,-1.42701,50,4.95479,3.5938,-130.63165,-3.24639,-14.90722,31.3829,-29.36621,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,500abfc0-4420-11f1-a20a-15e6fb012f7d,88.86832,,,8.52977,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:08:19.16,2026-04-29T18:08:19.1661568-05:00,2026-04-29T23:08:19.1661568Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,d35d6676-8d78-4849-823e-8fbc2640046d,54.4597,-131.69869,15.69145,5.0482,-2.24792,-14.6831,-1.55782,4.10065,-7.45361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-29,18:08:39.77,2,3,"Scheider, Calen",10083489,Right,BRA_BRA,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,0,2,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.87669,2.802411,-2.145173,2331.588835,68.66994,8:15,4.95266,1.61827,5.32588,-45.52676,-2.63311,-10.28071,3.79237,-1.25233,74.54414,-5.505159,-3.966683,0.471376,,,,,,,,,,,,4.49796,-1.69642,-1.41661,50,5.17372,4.87646,-118.61377,4.1639,6.37385,23.81888,-34.57796,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,5c5591b0-4420-11f1-a20a-15e6fb012f7d,79.96251,,,7.33255,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:08:39.77,2026-04-29T18:08:39.7724160-05:00,2026-04-29T23:08:39.7724160Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,898d215e-fa1a-4bf5-b29b-f89df2151627,55.17282,-119.64802,11.90944,4.96032,5.66532,-17.28898,-1.62235,4.5997,3.18692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-29,18:09:01.29,2,4,"Scheider, Calen",10083489,Right,BRA_BRA,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,0,3,0,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.27736,1.300558,-2.23216,1976.086935,270.467847,3:00,5.06086,1.68169,5.87253,-32.55427,0.95984,8.32587,3.55711,0.3012,83.50174,-4.711759,-0.739551,0.416663,,,,,,,,,,,,-4.8617,0.45713,-1.50588,50,5.1473,4.80394,-132.54268,1.8183,-8.66166,27.92371,-31.35965,BRA_BRA,EIU_PAN,DozerPark,D1,MVC,20260429-DozerPark-1,691f7eb0-4420-11f1-a20a-15e6fb012f7d,90.46261,,,7.77562,,,,,,,1f759f92-acaa-48de-bc6c-7ae55e65e231,2026-04-29,23:09:01.29,2026-04-29T18:09:01.2987392-05:00,2026-04-29T23:09:01.2987392Z,,v3,471245,471287,819756ebbd764deaa273384c4a68ede3,"Schumacher, Jaxon",1000539971,Right,BRA_BRA,9979c95b-42af-41d7-915c-bd3be54eccf4,54.62668,-133.51386,13.96185,5.06509,2.90898,-15.67982,-1.6782,5.10519,-4.33083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
