PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-29,18:05:01.52,1,1,"Roman, Ty",10111173,Left,LOU_CAJ,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.97659,-2.446803,3.492258,1882.722073,141.9851,10:45,5.96728,-1.80304,5.36216,-16.86891,17.49812,-12.85367,2.26141,0.4047,83.57304,-5.605072,1.213232,0.421932,,,,,,,,,,,,7.3417,9.73308,1.49847,50,5.73528,-7.45408,-131.81618,-6.20581,13.0091,26.15628,-14.92755,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,da3976b0-441f-11f1-a552-49d8187a9e18,89.33301,,,7.40355,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:05:01.52,2026-04-29T18:05:01.5286272-05:00,2026-04-29T23:05:01.5286272Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,7c66c505-0d05-45d8-984c-e4c157243a6b,55.13745,-132.83169,13.07814,5.96497,-5.62625,-7.46378,1.79768,-7.95915,6.50455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-29,18:05:14.42,1,2,"Roman, Ty",10111173,Left,LOU_CAJ,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,90.28678,-1.984242,3.0489,1979.633585,144.297259,10:45,6.04361,-1.74758,5.42132,-17.78698,16.84379,-11.37792,2.69933,0.16289,83.27669,-5.303568,1.028073,0.423548,81.77517,17.717372,-17.971155,3461.396799,101.32346,25.34963,-42.8198,241.74142,228.41522,-29.214628,2.808732,6.51402,9.29697,1.485,50,5.85501,-6.47365,-130.99454,-5.14492,11.44014,24.89014,-15.84642,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,e1ea0000-441f-11f1-a552-49d8187a9e18,88.99217,26.02791,,7.01009,,,,0.80764,2.71348,-0.20298,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:05:14.42,2026-04-29T18:05:14.4266752-05:00,2026-04-29T23:05:14.4266752Z,LineDrive,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,6f4a519b-e63a-4817-994d-58f548b48aef,55.0797,-131.9562,12.44507,6.04196,-4.53268,-7.92321,1.74365,-6.91566,5.72007,121.993011,0.80766,108.67348,-17.67825,3.11128,-0.5004,0.00653,0.02863,-0.00906,0.00101,2.71346,36.49979,-15.13832,0.7257,-0.10645,0.07364,-0.03463,0.00924,-0.001,-0.20301,-35.24716,-5.32753,2.01959,-0.56068,0.11254,-0.01611,0.00121,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-29,18:05:50.22,2,1,"Roman, Ty",10111173,Left,LOU_CAJ,"Rijo-Berger, Nico",1000179738,Right,NIC_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.62234,0.259935,1.706592,1895.014485,128.864924,10:15,6.05559,-1.7318,5.23906,-23.05584,11.98989,-13.43288,4.37868,-1.24673,82.26558,-4.024727,-0.674358,0.426078,,,,,,,,,,,,7.16028,6.25386,1.58507,50,6.06272,-3.2773,-131.39908,-0.24814,12.45797,29.10044,-21.29311,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,f7400940-441f-11f1-a552-49d8187a9e18,88.46373,,,8.35676,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:05:50.22,2026-04-29T18:05:50.2298112-05:00,2026-04-29T23:05:50.2298112Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,663de2ef-4220-43ba-b9cd-bfbc6b9122ef,55.25825,-132.55849,14.55022,6.05571,0.60021,-10.64656,1.72553,-3.77365,6.22898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-29,18:06:05.25,2,2,"Roman, Ty",10111173,Left,LOU_CAJ,"Rijo-Berger, Nico",1000179738,Right,NIC_COL,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.10287,-1.104162,1.962126,2403.895086,292.24164,3:45,5.87486,-2.1228,4.78097,-50.70042,-3.28603,11.29666,0.60247,0.67918,72.82783,-10.140833,3.951806,0.495594,,,,,,,,,,,,-5.1228,-1.025,1.91609,50,5.71948,-4.34063,-113.38175,-4.04326,-6.71726,19.31384,-33.51809,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,003dfa20-4420-11f1-a552-49d8187a9e18,76.05502,,,5.27503,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:06:05.25,2026-04-29T18:06:05.2543488-05:00,2026-04-29T23:06:05.2543488Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,f65cb651-d7a1-4253-8d00-021071095eeb,55.7224,-114.35237,9.65692,5.88035,-2.35881,-16.75904,2.12574,-4.00305,-3.35863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-29,18:06:19.77,2,3,"Roman, Ty",10111173,Left,LOU_CAJ,"Rijo-Berger, Nico",1000179738,Right,NIC_COL,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.13876,-0.330972,2.40443,1901.90467,126.042015,10:15,6.09465,-1.75354,5.39164,-22.40816,12.70808,-15.90406,3.91683,-0.82406,82.14467,-4.502719,-0.421556,0.426506,,,,,,,,,,,,8.64225,6.8139,1.55021,50,6.04958,-4.76074,-130.74522,-1.54933,14.93841,27.9294,-20.39602,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,08ddc570-4420-11f1-a552-49d8187a9e18,88.3749,,,7.99409,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:06:19.77,2026-04-29T18:06:19.7780992-05:00,2026-04-29T23:06:19.7780992Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,5218d103-7da7-4a7b-ba8f-8b6b2a0a2f36,55.10721,-131.8317,13.9647,6.09442,-0.75591,-10.19801,1.74671,-5.34185,7.4692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-29,18:06:35.81,2,4,"Roman, Ty",10111173,Left,LOU_CAJ,"Rijo-Berger, Nico",1000179738,Right,NIC_COL,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.51518,-1.122571,2.364162,1930.639546,156.654322,11:15,5.9886,-1.9505,5.44372,-15.66765,18.24938,-7.41453,3.63085,-0.35352,83.6111,-4.087167,1.046112,0.41916,,,,,,,,,,,,4.36666,9.8065,1.74668,50,5.87878,-5.13884,-132.75022,-3.10248,7.80655,27.92744,-14.64239,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,1270a350-4420-11f1-a552-49d8187a9e18,89.92367,,,7.90407,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:06:35.81,2026-04-29T18:06:35.8103552-05:00,2026-04-29T23:06:35.8103552Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,cae2ec7e-40b9-47f4-8e20-94ccf28b43a9,55.05458,-133.80936,13.96372,5.98591,-2.54717,-7.32119,1.94718,-5.4349,3.90327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-29,18:07:09.70,3,1,"Roman, Ty",10111173,Left,LOU_CAJ,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.90335,-2.948097,3.13407,1890.646766,151.76871,11:00,6.04576,-1.59377,5.23139,-15.77434,18.45627,-9.28044,1.95335,0.58189,83.54839,-5.92226,1.492021,0.421094,,,,,,,,,,,,5.51831,10.39938,1.31202,50,5.76237,-6.83472,-132.93891,-7.37401,9.83368,29.62022,-13.64225,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,26a006e0-4420-11f1-a552-49d8187a9e18,89.51081,,,8.35496,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:07:09.70,2026-04-29T18:07:09.7075712-05:00,2026-04-29T23:07:09.7075712Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,dbed146a-cb6d-40e5-aeda-23067d9aeaab,55.26574,-134.10704,14.81011,6.04257,-6.836,-6.82112,1.58921,-7.22253,4.91684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-29,18:07:27.11,3,2,"Roman, Ty",10111173,Left,LOU_CAJ,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.92292,-1.382316,3.031342,2044.718309,143.554297,10:45,6.02428,-1.71534,5.2776,-14.13268,19.82883,-13.82072,3.54619,-0.01732,83.67611,-4.074106,0.583569,0.419435,,,,,,,,,,,,7.74981,10.62697,1.44891,50,5.88804,-6.40062,-133.19998,-3.65966,13.90818,28.89787,-13.1023,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,30ff5c80-4420-11f1-a552-49d8187a9e18,89.86475,,,8.24681,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:07:27.11,2026-04-29T18:07:27.1106048-05:00,2026-04-29T23:07:27.1106048Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,9248c5c7-4766-4348-98d4-2326546e05d1,55.22107,-134.32792,14.44893,6.02091,-3.14825,-6.55115,1.70934,-6.94349,6.95409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-29,18:07:46.04,3,3,"Roman, Ty",10111173,Left,LOU_CAJ,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.25682,0.250005,1.437847,1913.270829,138.569723,10:30,6.07607,-1.72549,5.39359,-19.72446,15.04804,-12.35768,4.66674,-1.40747,82.70176,-3.435231,-0.758873,0.424414,,,,,,,,,,,,6.55489,7.80701,1.60594,50,6.08472,-2.72171,-131.05981,-0.10525,11.46169,26.31901,-18.52291,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,3c44cc60-4420-11f1-a552-49d8187a9e18,88.81065,,,7.55506,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:07:46.04,2026-04-29T18:07:46.0402176-05:00,2026-04-29T23:07:46.0402176Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,2b92624c-2d46-47e3-8f8b-21227cd7e305,55.10507,-132.08102,13.1595,6.07487,0.61346,-9.26146,1.72018,-3.16644,5.73085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-29,18:08:03.80,3,4,"Roman, Ty",10111173,Left,LOU_CAJ,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,1,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.52171,0.67337,-0.295029,2431.070139,291.861706,3:45,5.98368,-1.8103,4.77477,-51.6029,-4.74134,15.15481,2.32183,-0.82709,72.80512,-8.576385,2.37458,0.492697,,,,,,,,,,,,-7.53969,-2.105,1.82582,50,6.00544,-0.04704,-114.06647,-0.58921,-10.00636,19.544,-34.96772,LOU_CAJ,NIC_COL,LouisianaLafayette,D1,SBELT,20260429-LouisianaLafayette-2,46edae20-4420-11f1-a552-49d8187a9e18,76.50231,,,5.71659,,,,,,,20b1f1ca-b1b4-42b2-b38a-235de3cc6066,2026-04-29,23:08:03.80,2026-04-29T18:08:03.8057472-05:00,2026-04-29T23:08:03.8057472Z,,v3,5075,471383,,"Brown, Colt",1000134926,Right,LOU_CAJ,994337fc-76ee-425a-89b5-0d902ad99180,55.72827,-115.04375,9.772,5.99118,1.15933,-17.48386,1.81567,0.45333,-5.00318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
