PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-29,18:05:38.09,1,1,"Franco, Noah",813957,Left,TCU_HFG,"Laracuente, Harold",838396,Right,ARL_MAV,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.04416,-3.399128,4.478786,2348.722704,115.289233,9:45,5.85926,-2.64403,6.29914,-21.04269,9.45556,-18.03666,0.96034,-0.01176,87.4737,-7.33298,1.225925,0.397474,,,,,,,,,,,,10.59497,6.0967,2.32276,50,5.59812,-10.03289,-137.66735,-8.89176,20.44851,28.936,-20.40727,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,effa0190-441f-11f1-8f27-d518cdc14e71,94.82992,,,7.57045,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:05:38.09,2026-04-29T18:05:38.0912640-05:00,2026-04-29T23:05:38.0912640Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,967fcdf6-9998-4b34-99e3-60a9c32df4c1,54.20553,-138.54848,14.468,5.85943,-8.27034,-10.20364,2.63776,-10.65556,10.22426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-29,18:05:51.58,1,2,"Franco, Noah",813957,Left,TCU_HFG,"Laracuente, Harold",838396,Right,ARL_MAV,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,94.59065,-2.68243,3.753234,2333.062449,133.369983,10:30,5.99532,-2.49807,6.3418,-16.26241,14.3582,-14.2217,2.16331,-0.2227,87.01278,-5.767993,1.185475,0.398271,99.18357,8.052048,-25.555301,2686.521202,,,,106.04101,105.89491,-28.043731,0.83125,8.42067,8.47178,2.23127,50,5.79176,-8.41829,-137.22825,-6.92736,16.16507,28.45944,-15.91089,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,f8055510-441f-11f1-8f27-d518cdc14e71,94.64027,5.50211,,7.57787,,,,1.73775,2.05572,0.28754,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:05:51.58,2026-04-29T18:05:51.5810304-05:00,2026-04-29T23:05:51.5810304Z,GroundBall,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,0b4f9ef6-23a0-4b8a-a9d8-a27fc49f6a32,54.16244,-138.08878,14.22972,5.99395,-6.44625,-7.95545,2.49321,-8.90708,8.08254,44.761094,1.83617,128.32279,-21.71231,,,,,,,2.18401,18.24658,-25.27667,,,,,,,0.31719,-62.63917,2.70937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-29,18:06:29.20,2,1,"Franco, Noah",813957,Left,TCU_HFG,"Harp, Hank",821427,Right,ARL_MAV,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.67748,-2.190956,4.410158,2341.200438,120.174477,10:00,5.95038,-2.94281,5.90484,-18.91336,12.43213,-19.61493,2.33334,-0.47527,86.34822,-5.747219,0.900364,0.402957,78.05982,13.394523,155.944031,1604.621279,-103.10046,8.59807,38.34443,143.8451,46.93648,160.761993,1.585316,11.27205,7.28713,2.59889,50,5.76286,-9.6934,-137.10378,-5.89488,21.43654,30.5642,-18.3158,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,0e76b960-4420-11f1-8f27-d518cdc14e71,93.53957,11.63879,,8.32926,,,,0.47769,2.45492,0.14966,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:06:29.20,2026-04-29T18:06:29.2009472-05:00,2026-04-29T23:06:29.2009472Z,LineDrive,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,471bccf8-c260-4d2a-82d5-b30f7076531e,54.59826,-138.12505,15.2821,5.94961,-5.28288,-9.1579,2.93476,-10.40968,10.71827,,0.27241,-99.88331,8.92583,,,,,,,2.72317,24.15995,-16.41568,,,,,,,0.4954,42.29241,-8.12815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-29,18:06:49.11,2,2,"Franco, Noah",813957,Left,TCU_HFG,"Harp, Hank",821427,Right,ARL_MAV,Undefined,1,Top,0,0,1,Splitter,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,,83.61122,-0.175646,3.189718,1162.178741,73.412811,8:30,6.01101,-2.67325,5.94562,-39.84884,0.26984,-3.4639,2.5271,-6E-05,76.46554,-7.518869,2.568075,0.455874,,,,,,,,,,,,2.72295,0.54858,2.42087,50,5.97449,-6.62546,-121.29887,-1.68937,4.03517,24.91438,-31.3611,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,1a57a5f0-4420-11f1-8f27-d518cdc14e71,82.68174,,,7.14568,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:06:49.11,2026-04-29T18:06:49.1162112-05:00,2026-04-29T23:06:49.1162112Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,0a4925b7-ee43-4793-8923-73ff8655249a,54.5574,-122.23136,12.45719,6.01575,-0.5156,-15.68055,2.67167,-6.77648,2.01759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-29,18:07:25.84,3,1,"Franco, Noah",813957,Left,TCU_HFG,"Melendez, Xavier",830165,Right,ARL_MAV,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.05116,5.366958,-0.919847,2307.391147,297.292725,4:00,5.79499,-2.98613,5.52052,-50.72676,-5.04264,12.5452,6.60137,-2.80085,71.82719,-3.906216,1.310449,0.486468,,,,,,,,,,,,-6.43126,-3.38327,3.05837,50,6.23092,1.30885,-114.30867,8.96304,-8.51257,20.99455,-36.65222,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,304449e0-4420-11f1-8f27-d518cdc14e71,77.48188,,,7.22397,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:07:25.84,2026-04-29T18:07:25.8487808-05:00,2026-04-29T23:07:25.8487808Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,0cce6d9e-046a-4c83-8575-aeee1959bfb7,54.98109,-115.21989,10.49728,5.80738,10.55385,-18.32611,2.99354,1.67832,-4.25628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-29,18:07:57.74,3,2,"Franco, Noah",813957,Left,TCU_HFG,"Melendez, Xavier",830165,Right,ARL_MAV,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.88503,1.743793,1.050714,2555.774651,289.917264,3:45,5.83986,-2.91859,5.71507,-48.34199,-4.89051,17.53623,3.4367,-0.47826,73.54337,-7.130019,4.187277,0.474432,,,,,,,,,,,,-8.50221,-2.50646,2.82007,50,5.95652,-2.86176,-117.35351,1.9144,-11.71213,24.73566,-35.62678,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,43431cb0-4420-11f1-8f27-d518cdc14e71,79.44755,,,7.34166,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:07:57.74,2026-04-29T18:07:57.7420800-05:00,2026-04-29T23:07:57.7420800Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,aea76652-d0cd-47dc-a733-b15abd5bc03e,54.78739,-118.35829,12.36783,5.84936,3.36159,-17.81339,2.92665,-2.386,-5.85606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-29,18:08:26.34,3,3,"Franco, Noah",813957,Left,TCU_HFG,"Melendez, Xavier",830165,Right,ARL_MAV,Undefined,1,Top,1,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.50164,1.234665,1.648548,2646.896846,283.898868,3:30,5.81813,-2.66731,5.61525,-46.24416,-2.52469,15.75343,3.11751,0.1846,73.77267,-7.224143,4.459727,0.475892,62.76773,70.282652,-179.72997,5249.763498,,,,,15.03392,,,-7.57382,-1.30473,2.51576,50,5.89348,-3.97127,-116.88048,0.96396,-10.42303,23.08977,-33.96961,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,544fe380-4420-11f1-8f27-d518cdc14e71,79.2037,40.17439,,6.72897,,,,1.65061,3.02517,-0.16582,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:08:26.34,2026-04-29T18:08:26.3433216-05:00,2026-04-29T23:08:26.3433216Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,c0b8f5ef-cf9f-4dd1-9e7b-1b5e72841532,54.8896,-117.84246,11.54488,5.82384,2.37923,-16.98481,2.67217,-3.53701,-5.21152,1.480846,1.65061,-31.0586,-4.14517,2.55502,-0.77675,0.1968,-0.04532,0.00807,-0.00028,3.02517,86.66162,-29.2438,3.75866,-0.70469,0.11211,-0.02227,0.00786,-0.00283,-0.16582,-0.14638,0.60407,0.04951,-0.03409,0.00969,-0.00221,0.00054,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-29,18:08:50.56,3,4,"Franco, Noah",813957,Left,TCU_HFG,"Melendez, Xavier",830165,Right,ARL_MAV,Undefined,1,Top,1,1,2,Splitter,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.25595,-1.384544,3.906627,814.716348,81.475988,8:45,5.79811,-2.9025,5.76835,-39.32416,-0.64252,-12.2693,1.22925,-0.28341,78.50918,-8.573077,1.711522,0.447635,,,,,,,,,,,,7.35036,0.39469,2.58632,50,5.65921,-7.94682,-123.61623,-4.36675,11.38982,24.31618,-31.56247,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,62b8da80-4420-11f1-8f27-d518cdc14e71,84.20354,,,6.74677,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:08:50.56,2026-04-29T18:08:50.5646592-05:00,2026-04-29T23:08:50.5646592Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,eb311677-6d27-4ace-922f-df4b781632a1,54.73591,-124.54434,12.15809,5.80289,-3.16207,-15.78123,2.89794,-8.38155,5.69491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-29,18:09:19.17,4,1,"Franco, Noah",813957,Left,TCU_HFG,"McAfee, Xander",830171,Right,ARL_MAV,Undefined,1,Top,2,0,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.61744,-2.158584,4.535872,2512.944529,300.270992,4:00,5.86782,-2.86992,5.49916,-40.32569,-1.76591,4.84146,0.48092,1.78526,79.81903,-9.421594,5.395376,0.446929,,,,,,,,,,,,-1.33874,-0.11524,2.46892,50,5.6505,-10.03545,-124.04848,-6.14703,-2.10515,22.68542,-32.35525,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,73c6b2c0-4420-11f1-8f27-d518cdc14e71,84.33651,,,5.79841,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:09:19.17,2026-04-29T18:09:19.1745024-05:00,2026-04-29T23:09:19.1745024Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,988f33af-1770-434e-8356-46aad2e31576,55.00678,-124.96075,11.34271,5.87153,-4.84592,-16.17763,2.87078,-9.95079,-1.05257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-29,18:10:01.85,5,1,"Franco, Noah",813957,Left,TCU_HFG,"Dygert, Caylon",822848,Right,ARL_MAV,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.8379,-0.63957,2.028815,2104.483851,130.067308,10:15,5.95312,-2.63888,6.20122,-17.2443,14.32891,-15.76808,3.92529,-2.07922,85.07345,-3.934961,-0.816453,0.404418,,,,,,,,,,,,8.67725,7.90441,2.49338,50,5.89616,-4.12535,-136.22104,-2.03264,16.18361,31.99645,-17.43183,TCU_HFG,ARL_MAV,TCU,D1,BIG12,20260429-TCU-1,8d31cf10-4420-11f1-8f27-d518cdc14e71,93.20166,,,8.76445,,,,,,,12185cb6-5930-41e6-b53d-76ac47e55114,2026-04-29,23:10:01.85,2026-04-29T18:10:01.8554880-05:00,2026-04-29T23:10:01.8554880Z,,v3,5045,471465,0133bdb66c9145bcb720c8b41409d4b5,"Dallimore, Brady",834396,Right,TCU_HFG,401fd375-b21c-4ab5-bff0-2129d791ea31,54.29869,-137.22703,15.99822,5.95145,-1.48457,-8.71592,2.63108,-4.63418,8.0918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
