PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-09,13:02:12.14,1,1,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Fisher, Ashton",1000274880,Right,RAN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.77107,-2.629607,-1.776969,2201.772175,191.313991,12:30,6.68979,0.67179,6.96888,-14.94115,18.48954,3.47839,3.04951,-0.6555,81.86866,-5.540896,-1.140174,0.416144,,,,,,,,,,,,-2.35437,10.92823,-0.56274,50,6.5211,3.91486,-130.39069,-6.30452,-4.03607,28.50262,-13.43979,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,6f5675f0-343e-11f1-b0c1-212727428e96,90.57537,,,7.90241,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:02:12.14,2026-04-09T13:02:12.1485824-05:00,2026-04-09T18:02:12.1485824Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,9b0abb89-24ef-43e3-af09-48564c396948,53.53285,-131.16068,14.25131,6.68651,-5.94145,-6.7199,-0.66997,4.02389,-2.01803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-09,13:02:26.90,1,2,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Fisher, Ashton",1000274880,Right,RAN_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.28288,-2.398122,-0.648193,2326.19954,192.282714,12:30,6.66386,0.76353,7.0468,-12.24095,19.25871,3.96776,3.46388,0.50533,84.10182,-4.813739,0.079678,0.403947,,,,,,,,,,,,-2.28559,11.26024,-0.72519,50,6.51366,1.36495,-134.13298,-5.84003,-4.14679,30.13251,-11.74444,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,781e89c0-343e-11f1-b0c1-212727428e96,93.31038,,,8.18106,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:02:26.90,2026-04-09T13:02:26.9085696-05:00,2026-04-09T18:02:26.9085696Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,1c66e58a-7d7d-458c-ad99-4e121e9ee38e,53.45464,-134.90683,15.06626,6.65977,-5.53842,-5.87222,-0.76161,1.47144,-2.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-09,13:02:44.43,1,3,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Fisher, Ashton",1000274880,Right,RAN_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.65311,0.05763,-0.038386,2266.553651,188.161877,12:15,6.77752,0.81599,6.68337,-17.9808,15.60867,2.09268,5.33184,0.95526,82.09885,-3.395325,0.342835,0.417131,,,,,,,,,,,,-1.10642,8.51855,-0.81411,50,6.77375,0.0063,-130.43111,-0.32853,-1.91058,26.81466,-17.46406,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,829203a0-343e-11f1-b0c1-212727428e96,90.36105,,,7.55426,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:02:44.43,2026-04-09T13:02:44.4381696-05:00,2026-04-09T18:02:44.4381696Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,4db42335-f5a0-4742-b91c-39303125ab60,53.81911,-131.21391,13.40733,6.7759,0.1813,-8.73203,-0.81511,0.06208,-0.95529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-09,13:03:01.88,1,4,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Fisher, Ashton",1000274880,Right,RAN_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.09924,-2.327812,-2.300382,2324.901455,190.661378,12:15,6.63599,0.50544,7.04103,-16.09761,15.97989,2.82768,3.1768,-1.34998,83.8485,-5.429532,-1.782268,0.407635,,,,,,,,,,,,-2.11307,9.45819,-0.36673,50,6.48892,5.21769,-132.44797,-5.76268,-3.77356,26.87783,-15.28341,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,8cfec6c0-343e-11f1-b0c1-212727428e96,92.46616,,,7.25074,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:03:01.88,2026-04-09T13:03:01.8826752-05:00,2026-04-09T18:03:01.8826752Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,355cc7ea-ba86-43f2-97cb-98df395776a6,53.46289,-133.14885,13.43891,6.63399,-5.36414,-7.64171,-0.50407,5.31609,-1.88678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-09,13:03:20.60,1,5,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Fisher, Ashton",1000274880,Right,RAN_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.62605,-2.246643,0.347917,2273.307692,218.331092,1:15,6.71236,0.71634,6.9872,-18.86237,12.86792,9.4317,3.09619,1.81873,84.44053,-5.844007,2.076909,0.405423,,,,,,,,,,,,-4.93193,7.76182,-0.74027,50,6.56735,-1.15719,-133.32655,-5.71763,-8.92092,27.3511,-18.13435,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,98227dd0-343e-11f1-b0c1-212727428e96,92.97064,,,7.18552,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:03:20.60,2026-04-09T13:03:20.6092800-05:00,2026-04-09T18:03:20.6092800Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,d040701c-8097-461f-8798-9def663dd513,53.51717,-134.04614,13.67555,6.7115,-5.24053,-9.06718,-0.71291,-0.92248,-4.46046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-09,13:03:42.73,1,6,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Fisher, Ashton",1000274880,Right,RAN_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.06709,-3.503943,-0.751763,2258.599585,191.350776,12:30,6.66705,0.48508,7.1619,-12.7915,18.64355,3.54162,2.42086,0.09877,84.34506,-6.008446,-0.10057,0.403533,85.17081,13.874422,1.703169,970.68407,109.60805,17.29443,9.27297,208.10961,208.10961,7.9044,2.205855,-2.12685,11.34127,-0.44203,50,6.45741,1.63173,-133.81022,-8.45007,-3.85239,29.13876,-11.63164,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,a54efd30-343e-11f1-b0c1-212727428e96,93.40619,17.29612,,7.72203,,,,1.53546,2.43858,-0.09565,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:03:42.73,2026-04-09T13:03:42.7386880-05:00,2026-04-09T18:03:42.7386880Z,LineDrive,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,3ea732b5-4546-4d04-9483-76124d8af421,53.34312,-134.53626,14.56938,6.66435,-8.16025,-5.81582,-0.48388,1.72772,-1.92619,242.777891,1.53548,121.21751,-16.37106,2.23696,-0.30427,-0.06023,0.05764,-0.01865,0.00233,2.43857,29.9551,-16.14562,1.18571,-0.20246,0.08277,-0.03528,0.01005,-0.00125,-0.09566,3.60463,7.39266,-2.32147,0.61151,-0.12076,0.01509,-0.00044,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-09,13:04:17.95,2,1,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Kelley, Sammy",10035731,Left,RAN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,1,0,,88.53915,-2.571605,-0.864143,2172.009083,212.141319,1:00,6.67427,0.81906,6.88657,-21.00497,13.02422,7.56485,2.57874,0.66199,81.88757,-6.554167,0.520376,0.419853,21.04775,-10.618894,-38.201414,4811.819755,,,,12.03084,11.8611,-29.339224,0.285678,-4.29559,7.91272,-0.76698,50,6.50362,1.68392,-128.83774,-6.33697,-7.27499,24.86623,-18.77316,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,ba4e5af0-343e-11f1-b0c1-212727428e96,89.77533,2.83174,,6.65158,,,,3.76212,2.83174,-0.63375,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:04:17.95,2026-04-09T13:04:17.9590144-05:00,2026-04-09T18:04:17.9590144Z,GroundBall,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,8d36d51f-4474-4ee7-8522-dacbc4fe34b7,53.61998,-129.53452,12.43312,6.67382,-5.81092,-9.38658,-0.81702,1.88778,-3.6375,204.376746,3.76232,23.83432,-1.02638,,,,,,,2.83242,-5.71952,-14.6938,,,,,,,-0.63389,-18.75763,1.19828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-09,13:05:00.75,3,1,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Torres, Jeremiah",10135897,Right,RAN_COL,Undefined,1,Top,1,0,0,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.01211,-2.557679,-3.031735,1681.761213,208.574174,1:00,6.71208,1.01897,6.2439,-32.16884,8.56123,4.02626,1.66719,-1.44468,76.18424,-8.502447,-2.30468,0.459334,,,,,,,,,,,,-2.84008,5.47307,-0.7948,50,6.50528,6.15734,-119.05091,-6.28613,-4.11757,20.67365,-24.23919,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,d3df4ec0-343e-11f1-b0c1-212727428e96,82.05884,,,5.82786,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:05:00.75,2026-04-09T13:05:00.7512576-05:00,2026-04-09T18:05:00.7512576Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,6db68260-8f61-4575-8d8c-3bcc4f67f02c,54.26023,-119.78843,10.33682,6.71411,-5.42141,-12.11959,-1.01707,6.30423,-2.05878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-09,13:05:16.47,3,2,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Torres, Jeremiah",10135897,Right,RAN_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.39541,-3.003566,-2.549182,2334.580904,191.169012,12:15,6.64071,0.86209,6.99025,-17.84584,14.62005,2.70807,2.4169,-1.232,83.86641,-6.400717,-2.053495,0.410095,,,,,,,,,,,,-2.06205,8.83319,-0.70606,50,6.44926,5.75347,-131.4022,-7.3463,-3.65154,24.5008,-16.53203,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,dd31ef50-343e-11f1-b0c1-212727428e96,91.91137,,,6.52899,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:05:16.47,2026-04-09T13:05:16.4752896-05:00,2026-04-09T18:05:16.4752896Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,a18a929d-646c-45ed-b0d7-b2bb2ea94856,53.51475,-132.05593,12.2504,6.63938,-6.9052,-8.26602,-0.86087,5.8509,-1.82577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-09,13:05:34.85,3,3,"McMurtry, Joseph",1000497664,Right,TEM_LEO,"Torres, Jeremiah",10135897,Right,RAN_COL,Undefined,1,Top,1,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.7022,-2.196281,-2.666918,1633.281111,211.883507,1:00,6.59363,1.11158,6.38913,-34.74817,6.04835,3.0354,1.67443,-1.09052,75.89276,-8.625667,-2.116849,0.459709,,,,,,,,,,,,-2.25496,4.10394,-0.92084,50,6.41941,5.42013,-118.69387,-5.57921,-3.24584,20.80539,-26.26679,TEM_LEO,RAN_COL,DSSComplex,JUCO,NJCAA,20260409-DSSComplex-1,e8287be0-343e-11f1-b0c1-212727428e96,81.99199,,,5.80944,,,,,,,677f0a84-7baa-4eb2-8314-1802c8d36f0c,2026-04-09,18:05:34.85,2026-04-09T13:05:34.8511232-05:00,2026-04-09T18:05:34.8511232Z,,v3,643-147599,643-147532,,"Leon-Padilla, Elias",1000394694,Right,TEM_LEO,054154dd-82c6-4e76-8c7a-9d14788b4bc4,54.11537,-119.41306,10.4027,6.59658,-4.67123,-13.1334,-1.11014,5.53234,-1.62292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
