PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,15:07:02.99,1,1,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Malone, Dylan",10149210,Right,WES_TEX1,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.99947,-1.047398,-1.767627,2256.960442,161.745406,11:30,6.39778,1.43752,5.92874,-33.00392,5.83717,-1.50146,2.67508,-0.32818,77.59513,-7.161589,-2.037412,0.448556,,,,,,,,,,,,0.24575,3.68095,-1.2954,50,6.29542,3.86712,-123.37373,-3.33781,0.37617,26.11853,-26.5396,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,c57ca1d0-3519-11f1-b417-0f63a8bd7a04,84.03056,,,7.40433,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:07:02.99,2026-04-10T15:07:02.9980000-05:00,2026-04-10T20:07:02.9980000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,bf498304-9fad-476e-8ac3-18ce24092e35,54.56906,-124.33725,13.05927,6.40049,-2.35875,-13.2698,-1.43781,3.85324,0.18808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,15:07:25.98,1,2,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Malone, Dylan",10149210,Right,WES_TEX1,Undefined,1,Top,0,0,1,Fastball,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,85.81591,-2.203799,-3.05514,1030.236259,235.761058,1:45,6.51544,1.32879,5.72255,-32.84132,5.63863,6.40823,1.72205,-0.98554,78.48593,-8.24342,-1.90887,0.446466,89.9232,-6.073247,30.646633,,,,,15.37129,11.98017,34.486527,0.113612,-4.16575,3.89583,-1.07751,50,6.31089,6.37242,-124.3452,-5.91775,-6.48672,26.19917,-26.10768,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,d32bbeb0-3519-11f1-b417-0f63a8bd7a04,84.42398,1.58697,,7.32998,,,,-0.16234,1.58697,1.10033,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:07:25.98,2026-04-10T15:07:25.9810000-05:00,2026-04-10T20:07:25.9810000Z,GroundBall,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,b2e727d7-263d-4ae7-9de4-e7dc62e9127c,54.77534,-125.34731,13.09958,6.51815,-4.91913,-13.05384,-1.32599,6.62054,-3.24336,180,-0.16451,112.94854,,,,,,,,1.58724,-13.96838,,,,,,,,1.09904,66.92172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-10,15:07:36.38,2,1,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Fuentes, Caven",10086524,Left,WES_TEX1,Undefined,1,Top,1,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,ae9200f0-4653-11f1-884b-477523de84f2,,,,,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:07:36.38,2026-04-10T15:07:36.3820000-05:00,2026-04-10T20:07:36.3820000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,c7c69b93-c6dc-4e34-9729-6df41fb0295c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-04-10,15:07:46.38,2,2,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Fuentes, Caven",10086524,Left,WES_TEX1,Undefined,1,Top,1,1,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,ae9200f1-4653-11f1-884b-477523de84f2,,,,,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:07:46.38,2026-04-10T15:07:46.3820000-05:00,2026-04-10T20:07:46.3820000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,c1ac2477-c3f0-4e36-bc0d-83e841db7773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-10,15:07:57.38,2,3,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Fuentes, Caven",10086524,Left,WES_TEX1,Undefined,1,Top,1,2,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,ae9200f2-4653-11f1-884b-477523de84f2,,,,,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:07:57.38,2026-04-10T15:07:57.3820000-05:00,2026-04-10T20:07:57.3820000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,1003f6dc-7e3e-46ca-9564-37cb315ef55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-04-10,15:08:07.38,2,4,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Fuentes, Caven",10086524,Left,WES_TEX1,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.45216,-2.736509,-1.559385,2190.682714,217.823083,1:15,6.6524,0.85059,6.46946,-15.89402,15.92895,11.62213,2.81187,0.38662,85.08517,-5.766422,0.549656,0.406015,85.17256,-26.989765,21.014855,,,,,5.45096,5.13354,14.148457,0.054658,-6.50028,9.36044,-0.74554,50,6.45205,3.19369,-134.34755,-6.86,-11.9469,27.58038,-14.97044,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,ebd75b90-3519-11f1-b417-0f63a8bd7a04,92.83518,3.10799,,7.36699,,,,-0.41098,3.10799,-0.856,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:08:07.38,2026-04-10T15:08:07.3820000-05:00,2026-04-10T20:08:07.3820000Z,GroundBall,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,fecc0e69-bb6a-4602-90c9-6da46a6c32a5,54.02983,-135.1723,13.79019,6.6505,-6.41233,-7.48522,-0.84639,3.55094,-5.97345,,-0.41372,104.2219,,,,,,,,3.10949,-56.86232,,,,,,,,-0.85705,40.03805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2026-04-10,15:08:49.54,3,1,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Torres, Marcelo",1000509770,Right,WES_TEX1,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,82.16439,-1.082455,-0.759235,2513.457545,66.393856,8:15,6.48449,1.27412,5.79623,-42.53435,-0.64354,-4.71303,1.93291,0.17513,75.03881,-8.888867,-1.605655,0.465834,,,,,,,,,,,,2.17465,0.41898,-1.20885,50,6.37013,1.76564,-119.25843,-3.67811,3.09834,25.22693,-31.57709,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,04fe6a00-351a-11f1-b417-0f63a8bd7a04,80.91396,,,7.12558,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:08:49.54,2026-04-10T15:08:49.5420000-05:00,2026-04-10T20:08:49.5420000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,f222ced5-9094-42ef-b9b1-32fba4cb4453,54.70195,-120.24892,12.61346,6.49021,-2.43828,-15.78854,-1.27579,1.64399,1.54917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,15:09:05.20,4,1,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Llamozas, Sebastian",10113358,Right,WES_TEX1,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,,81.72628,0.211543,-0.962532,2649.073438,75.262315,8:30,6.47256,1.32915,5.80936,-44.10593,-1.54213,-11.59579,2.99382,-0.53232,74.08155,-7.914067,-3.043116,0.46956,,,,,,,,,,,,5.58004,-0.38161,-1.24341,50,6.46406,2.45431,-118.5661,-1.04063,7.80906,26.24156,-32.70812,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,0e5d66a0-351a-11f1-b417-0f63a8bd7a04,80.27175,,,7.64474,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:09:05.20,2026-04-10T15:09:05.2040000-05:00,2026-04-10T20:09:05.2040000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,75e72808-8743-45f1-9b72-b52bf5b33e41,54.68778,-119.59912,13.12078,6.47969,0.24695,-16.35406,-1.33398,2.1469,3.90453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,15:09:25.96,5,1,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Stewart, Easton",1000390734,Right,WES_TEX1,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.38724,-0.858007,-1.515801,2582.637788,90.434764,9:00,6.43758,1.26717,5.86049,-39.9136,1.37536,-10.03528,2.31401,-0.97764,75.71149,-8.187898,-3.317678,0.462475,,,,,,,,,,,,4.71996,1.32504,-1.13829,50,6.34468,3.55357,-119.66225,-3.10603,6.81965,23.85071,-30.25959,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,1ab8da60-351a-11f1-b417-0f63a8bd7a04,81.50156,,,6.67575,,,,,,,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:09:25.96,2026-04-10T15:09:25.9670000-05:00,2026-04-10T20:09:25.9670000Z,,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,dbb3385a-8cae-465a-9416-977ce868e660,54.63887,-120.58331,11.92536,6.44206,-1.93747,-15.12979,-1.27044,3.29021,3.40982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,15:09:53.70,6,1,"Figueroa, Rylan",1000352200,Right,ODE_COL,"Rester, Garrett",10126235,Right,WES_TEX1,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.62313,-2.769354,-1.350356,2081.272898,211.93723,1:00,6.70735,0.80195,6.57111,-15.84261,15.79808,9.24276,2.84601,0.33419,85.09318,-5.797834,0.330292,0.40485,78.51844,11.350294,44.157402,4696.48344,74.19607,12.01338,81.20871,177.18854,170.42793,49.814508,1.888937,-5.22402,9.35083,-0.71278,50,6.50996,2.80799,-134.59403,-6.93638,-9.61564,28.27676,-14.96233,ODE_COL,WES_TEX1,OdessaCollege,JUCO,NJCAA,20260410-OdessaCollege-2,2b312960-351a-11f1-b417-0f63a8bd7a04,93.10221,12.6491,,7.52996,,,,-0.18554,2.80776,-0.48629,2b6c2804-6da8-4603-a038-bdb6eab04525,2026-04-10,20:09:53.70,2026-04-10T15:09:53.7050000-05:00,2026-04-10T20:09:53.7050000Z,LineDrive,v3,643-147506,643-147630,,"Delgadillo, Jacob",10124464,Right,ODE_COL,fe785284-a806-432e-8849-1e897caaa8e0,53.92776,-135.4167,14.13838,6.70543,-6.50108,-7.48116,-0.79854,3.08774,-4.80782,,-0.18555,81.00434,-15.00412,3.065,-0.57277,0.07869,-0.00125,-0.00276,0.00048,2.80777,22.66224,-13.26219,0.26177,-0.04566,0.05901,-0.03658,0.01173,-0.00149,-0.48629,78.65491,-4.96783,0.97359,-0.16282,0.03311,-0.00987,0.00246,-0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
