PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,15:07:40.46,1,1,"Baber, Avery",1000471511,Left,ANG_COL,"Kent, Jonathon",1000391362,Right,NOR_TEX,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.37845,-0.108243,4.803438,2172.330626,128.453709,10:15,5.19386,-3.90631,5.10053,-34.4751,8.30603,-8.68839,2.21857,-0.09316,75.16005,-6.406351,3.274937,0.470758,,,,,,,,,,,,5.67016,4.58209,3.45882,50,5.15687,-9.63277,-119.09427,-1.45773,8.12787,23.28368,-25.60583,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,183a21e0-35e2-11f1-8f68-411bbb649b5b,80.06759,,,7.21841,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:07:40.46,2026-04-11T15:07:40.4649984-05:00,2026-04-11T20:07:40.4649984Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,2f26e154-b251-4b43-8281-3c6986336a84,55.40042,-120.14545,11.64184,5.19659,-0.30172,-12.80291,3.90199,-9.99972,4.06394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,15:07:59.96,1,2,"Baber, Avery",1000471511,Left,ANG_COL,"Kent, Jonathon",1000391362,Right,NOR_TEX,Undefined,1,Top,0,0,1,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,80.90907,0.434047,4.820714,2336.833284,160.762256,11:15,5.23417,-3.93159,5.00577,-38.63419,5.98331,-1.57406,2.42586,0.4988,73.77695,-6.590859,4.544519,0.480755,66.8087,-18.560797,39.145418,,,,,9.19238,7.31031,27.840718,0.080554,2.20142,3.22709,3.46874,50,5.2448,-9.79673,-116.94039,-0.48998,3.03279,23.10799,-27.7283,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,23dc30b0-35e2-11f1-8f68-411bbb649b5b,78.40255,2.52231,,7.13212,,,,2.30254,2.52231,-0.44921,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:07:59.96,2026-04-11T15:07:59.9633920-05:00,2026-04-11T20:07:59.9633920Z,GroundBall,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,bc919937-53e9-4a18-b7ba-981f8868096e,55.49675,-118.02157,11.554,5.23737,0.80739,-13.86415,3.93043,-9.93863,1.51639,180,2.29888,72.32231,,,,,,,,2.52389,-31.31222,,,,,,,,-0.45219,58.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2026-04-11,15:08:33.77,2,1,"Baber, Avery",1000471511,Left,ANG_COL,"Reiter, Cameron",1000318188,Right,NOR_TEX,Undefined,1,Top,1,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.39175,-0.15532,4.596258,2181.353857,122.999614,10:00,5.31096,-3.85399,5.10952,-34.12313,7.74796,-9.73268,2.32055,-0.32514,75.78353,-6.39957,2.882544,0.465724,,,,,,,,,,,,6.17437,4.32752,3.42772,50,5.26998,-9.26275,-120.54217,-1.56247,9.03065,24.7334,-25.84464,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,38013400-35e2-11f1-8f68-411bbb649b5b,80.933,,,7.60822,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:08:33.77,2026-04-11T15:08:33.7775616-05:00,2026-04-11T20:08:33.7775616Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,30aacb72-479b-470d-9430-1a92abaaa1a4,55.39079,-121.64325,12.3667,5.31393,-0.41192,-12.92232,3.84903,-9.66477,4.51532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-11,15:08:52.81,2,2,"Baber, Avery",1000471511,Left,ANG_COL,"Reiter, Cameron",1000318188,Right,NOR_TEX,Undefined,1,Top,1,0,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.66274,0.969972,5.53436,2009.96816,79.191421,8:45,5.24078,-3.8301,5.28653,-45.84731,-1.53307,-15.53599,2.33543,0.08884,73.7371,-7.358065,2.793863,0.479119,,,,,,,,,,,,9.32544,-0.61697,3.33586,50,5.29585,-10.65756,-116.58723,0.35222,12.82572,22.07395,-33.02261,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,435bd990-35e2-11f1-8f68-411bbb649b5b,78.67039,,,6.92564,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:08:52.81,2026-04-11T15:08:52.8154624-05:00,2026-04-11T20:08:52.8154624Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,32bf1496-92b1-42fc-b150-06311ec1af4b,55.2176,-117.57095,11.03698,5.24736,1.82386,-16.51131,3.82355,-11.22914,6.41286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,15:09:12.38,2,3,"Baber, Avery",1000471511,Left,ANG_COL,"Reiter, Cameron",1000318188,Right,NOR_TEX,Undefined,1,Top,1,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.35215,0.239423,4.319767,1891.827215,92.526881,9:00,5.16678,-3.92766,5.42397,-42.40935,2.18351,-14.64769,1.85759,-1.09425,73.04343,-7.525139,1.720794,0.480622,,,,,,,,,,,,8.64162,1.50087,3.5539,50,5.1588,-8.18272,-116.26601,-0.97151,11.7299,23.50047,-30.1368,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,4f0cb570-35e2-11f1-8f68-411bbb649b5b,78.42423,,,7.30873,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:09:12.38,2026-04-11T15:09:12.3810816-05:00,2026-04-11T20:09:12.3810816Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,b4b22ec1-982a-47e6-8ea7-eed5ad59acd5,55.07778,-117.28787,11.75023,5.17256,0.33892,-15.0684,3.9208,-8.69277,5.86495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-11,15:09:36.42,2,4,"Baber, Avery",1000471511,Left,ANG_COL,"Reiter, Cameron",1000318188,Right,NOR_TEX,Undefined,1,Top,1,1,2,Undefined,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.58351,0.610014,6.680852,2342.275698,260.200675,2:45,5.27408,-3.78148,5.10924,-45.32215,2.13827,3.42036,2.07594,2.82696,71.85739,-7.57611,7.278022,0.495835,,,,,,,,,,,,0.26539,1.18992,3.14594,50,5.29621,-13.39825,-113.25117,-0.33786,0.34225,22.05298,-30.63962,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,5d5923c0-35e2-11f1-8f68-411bbb649b5b,76.0181,,,6.72612,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:09:36.42,2026-04-11T15:09:36.4294656-05:00,2026-04-11T20:09:36.4294656Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,2f8c366d-e0b4-4048-a2c7-6d8675938ea9,55.3954,-114.29697,11.02649,5.27778,1.11513,-15.31981,3.78169,-13.41448,0.17113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-11,15:10:16.58,3,1,"Baber, Avery",1000471511,Left,ANG_COL,"Lumkins Jr, Brandon",1000471438,Left,NOR_TEX,Undefined,1,Top,1,0,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.26088,-0.005614,5.395196,2369.950663,170.607596,11:45,5.21821,-3.79376,5.05232,-34.25935,10.28599,-1.44099,2.35795,1.18998,73.55734,-6.27992,5.142647,0.480366,82.08108,41.5659,-69.870642,5140.806303,,,,,62.67023,,,2.40543,5.55331,3.27952,50,5.19088,-11.01039,-117.23078,-1.2041,3.30797,24.60273,-24.53708,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,7547d940-35e2-11f1-8f68-411bbb649b5b,78.46602,50.08341,,7.70354,,,,0.69355,2.37894,-1.13744,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:10:16.58,2026-04-11T15:10:16.5815296-05:00,2026-04-11T20:10:16.5815296Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,66a072bc-42ec-4e97-80e9-253459dbbbd5,55.44757,-118.36852,12.30137,5.22032,-0.0694,-12.26854,3.79222,-11.16336,1.65398,,0.69355,30.99733,-9.17569,3.324,-0.97881,0.27197,-0.07375,0.01724,-0.00245,2.37894,79.8734,-28.16999,3.50726,-0.68254,0.12698,-0.02433,0.00416,-0.00042,-1.13744,-84.5698,19.26075,-4.89025,1.17545,-0.28808,0.07191,-0.01573,0.00214,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2026-04-11,15:10:37.34,3,2,"Baber, Avery",1000471511,Left,ANG_COL,"Lumkins Jr, Brandon",1000471438,Left,NOR_TEX,Undefined,1,Top,1,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.2121,0.408227,3.443164,2155.229816,134.857832,10:30,5.19374,-3.95128,5.15343,-33.77155,8.78378,-7.16851,2.76447,-1.30324,74.4106,-5.83274,2.177424,0.469514,,,,,,,,,,,,4.72008,4.71437,3.63466,50,5.20673,-6.91309,-120.21068,-0.33835,6.75205,28.16901,-25.43015,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,81a48580-35e2-11f1-8f68-411bbb649b5b,80.27972,,,8.80151,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:10:37.34,2026-04-11T15:10:37.3408256-05:00,2026-04-11T20:10:37.3408256Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,c49a5080-c525-4695-830b-fea9b2872857,55.34343,-121.45635,14.08451,5.19683,0.78621,-12.71508,3.94697,-7.21167,3.37602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-11,15:10:56.79,3,3,"Baber, Avery",1000471511,Left,ANG_COL,"Lumkins Jr, Brandon",1000471438,Left,NOR_TEX,Undefined,1,Top,1,1,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.59297,0.766662,4.7413,2132.322953,103.374417,9:30,5.19827,-3.7355,5.02634,-39.61845,3.54091,-8.33221,2.62272,0.05452,74.5149,-6.460137,3.27724,0.472834,,,,,,,,,,,,5.68674,1.90099,3.28788,50,5.24012,-9.53549,-119.27423,0.15215,8.07239,26.07014,-29.47558,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,8d3d4580-35e2-11f1-8f68-411bbb649b5b,79.71597,,,8.07807,,,,,,,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:10:56.79,2026-04-11T15:10:56.7912960-05:00,2026-04-11T20:10:56.7912960Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,4f3bc130-ba40-4d71-9c91-d77dc1f06c07,55.47557,-120.4651,13.03507,5.20242,1.49857,-14.73779,3.73187,-9.90424,4.03619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-11,15:11:21.10,3,4,"Baber, Avery",1000471511,Left,ANG_COL,"Lumkins Jr, Brandon",1000471438,Left,NOR_TEX,Undefined,1,Top,1,1,2,Undefined,Slider,InPlay,Undefined,Popup,Out,1,0,,79.30303,1.376861,4.838618,2215.988774,196.580252,12:30,5.32296,-3.72598,5.00028,-39.44443,7.07115,1.64929,3.34073,0.99052,72.19695,-5.807353,5.127649,0.490875,80.15323,66.835019,-27.192719,,,,,,24.97036,,,0.60504,3.5276,3.25814,50,5.42409,-9.76581,-114.55891,1.38515,0.79966,22.24429,-27.51179,ANG_COL,NOR_TEX,AngelinaCollege,JUCO,NJCAA,20260411-AngelinaCollege-2,9bbcd1c0-35e2-11f1-8f68-411bbb649b5b,76.78627,52.87058,,7.10608,,,,2.09182,3.53659,-0.93138,76b826cc-8eb8-4bcf-957a-562fe545d2a2,2026-04-11,20:11:21.10,2026-04-11T15:11:21.1031552-05:00,2026-04-11T20:11:21.1031552Z,,v3,643-147244,643-147493,,"Haas, Colton",1000471500,Right,ANG_COL,ee776715-1ae9-4fe1-a24e-e2dbb9cda10b,55.50111,-115.62214,11.12215,5.32646,2.70016,-13.7559,3.72584,-9.80404,0.39983,299.757083,2.09182,41.13368,-3.68553,0.27099,0.0047,-0.01263,0.00197,0.001,-0.00091,3.53659,108.07989,-28.92264,3.70211,-0.8131,0.16488,-0.03389,0.00389,0.00073,-0.93138,-21.13323,7.29155,-2.04234,0.48955,-0.11577,0.02838,-0.0068,0.00118,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
