PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,18:17:05.50,1,1,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Gardner, Garrett",10120953,Right,MIS_GUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.98637,-1.575747,-0.397798,2327.613249,213.989317,1:15,5.75018,1.11318,5.87979,-17.76017,17.39694,10.83882,2.80639,1.64698,80.78287,-4.979562,1.547574,0.426754,,,,,,,,,,,,-5.77705,9.8619,-1.08773,50,5.61308,0.45592,-130.49018,-4.11541,-9.74601,32.98361,-15.53682,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,2c8a0090-35f4-11f1-b016-5fd5aff46fd9,88.3235,,,9.2035,,,,,,,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:17:05.50,2026-04-11T18:17:05.5047680-04:00,2026-04-11T22:17:05.5047680Z,,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,24f7b300-adc4-4a8c-8cf2-67515256ac5f,54.61855,-131.65242,16.4918,5.74845,-3.56794,-7.76841,-1.10984,0.79934,-4.87301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,18:17:19.59,1,2,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Gardner, Garrett",10120953,Right,MIS_GUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,89.32741,-1.91847,-2.491651,2238.91625,215.447577,1:15,5.66859,1.09205,6.26908,-18.71095,16.0704,10.59882,2.33839,-0.3232,81.17176,-5.4893,-0.57734,0.424468,106.34788,12.130171,-14.073328,1180.908314,106.44044,22.66576,-27.75487,341.72753,340.20016,-16.618047,3.198919,-6.28063,9.28347,-0.91278,50,5.51737,5.21857,-129.61566,-4.87166,-10.6024,29.03738,-16.50253,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,34f638c0-35f4-11f1-b016-5fd5aff46fd9,88.79929,29.14247,,8.15564,,,,1.47419,2.35678,0.31812,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:17:19.59,2026-04-11T18:17:19.5914752-04:00,2026-04-11T22:17:19.5914752Z,LineDrive,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,4fab3f2c-3b7f-4450-bb7f-4c6dd6aeb3c5,54.22914,-130.55967,14.51869,5.66703,-4.33516,-8.25127,-1.08804,5.56325,-5.3012,165.873602,1.47421,147.91642,-26.14575,6.17516,-1.25545,0.22813,-0.03518,0.00385,-0.0002,2.35675,32.77725,-8.18267,-2.03354,0.80317,-0.21057,0.03928,-0.00436,0.00022,0.31812,-37.08115,3.10762,-0.42732,0.0097,0.01279,-0.00367,0.00051,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-11,18:18:01.97,2,1,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Davis, Jordan",10965045,Right,MIS_GUL,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.54035,-0.894053,-1.668893,1963.264948,228.703572,1:30,5.67757,0.93007,6.23665,-21.03415,13.47505,14.0515,3.09958,0.56111,81.5484,-4.880641,0.869489,0.422804,71.43124,36.229063,-153.417825,2893.532736,-100.06431,39.83084,-45.68473,191.23409,65.78106,-157.887922,2.765821,-7.75544,7.58701,-0.81227,50,5.60045,3.21481,-130.06419,-2.6559,-13.22262,28.47529,-19.23855,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,4e3b0860-35f4-11f1-b016-5fd5aff46fd9,89.14877,40.30297,,7.99195,,,,-0.0145,2.86818,-0.50412,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:18:01.97,2026-04-11T18:18:01.9708928-04:00,2026-04-11T22:18:01.9708928Z,FlyBall,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,44b25916-0ba2-4953-ad47-e4acb862e5c3,54.26102,-130.99375,14.23764,5.6769,-2.02787,-9.61928,-0.92426,3.64645,-6.61131,17.42786,-0.01449,-75.57723,4.61122,-0.24578,0.00522,0.02834,-0.01544,0.00473,-0.00059,2.86816,61.91879,-29.31956,3.81974,-0.8694,0.20355,-0.04605,0.00844,-0.00074,-0.50411,-37.8169,4.92028,-0.36336,0.03254,0.02901,-0.01769,0.00558,-0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-11,18:18:25.34,2,2,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Davis, Jordan",10965045,Right,MIS_GUL,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.17703,-2.191277,-0.710039,2048.876329,238.128186,2:00,5.76156,1.02961,5.9072,-24.29875,9.98823,14.35225,1.70156,1.56653,82.82165,-6.705471,1.869524,0.42144,,,,,,,,,,,,-7.60737,6.04559,-0.98106,50,5.57164,1.02721,-130.98935,-5.82821,-13.22706,27.47948,-21.66247,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,5c253270-35f4-11f1-b016-5fd5aff46fd9,89.43718,,,7.35538,,,,,,,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:18:25.34,2026-04-11T18:18:25.3488640-04:00,2026-04-11T22:18:25.3488640Z,,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,4e53c986-66fd-4569-af9b-1be9e48b4ac9,54.5927,-131.94931,13.73974,5.76203,-5.07146,-10.83124,-1.02501,1.48928,-6.61353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,18:18:48.79,2,3,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Davis, Jordan",10965045,Right,MIS_GUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.08737,-2.138363,-2.003982,2181.280457,213.382068,1:00,5.68916,0.977,6.21495,-17.85123,16.44253,10.05863,2.22607,-0.03489,81.78896,-5.548981,-0.188207,0.421482,34.56067,0.094606,-62.798626,2081.133886,,,,19.25796,18.83389,-59.632947,0.374171,-5.84347,9.52886,-0.83182,50,5.5199,4.16583,-130.71522,-5.38766,-10.02159,29.80904,-15.83192,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,6a0f8390-35f4-11f1-b016-5fd5aff46fd9,89.42835,2.2497,,8.29841,,,,1.34528,2.2497,0.0149,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:18:48.79,2026-04-11T18:18:48.7902720-04:00,2026-04-11T22:18:48.7902720Z,GroundBall,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,71382912-cedb-40ae-abcd-1ed73d8f856a,54.28296,-131.68831,14.90452,5.68734,-4.87085,-7.91596,-0.97315,4.49297,-5.01079,79.646597,1.34543,23.16503,-1.9829,,,,,,,2.25095,0.03975,-16.19308,,,,,,,0.01498,-45.08524,1.70464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-11,18:19:19.47,2,4,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Davis, Jordan",10965045,Right,MIS_GUL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,83.14722,-0.315143,-1.398957,1481.263178,253.750385,2:30,5.59411,1.41765,6.11378,-34.53951,6.26654,16.28902,2.42435,1.48134,74.85983,-6.780337,1.53969,0.459763,64.65152,5.2421,-37.965903,5751.917282,,,,74.17905,70.86854,-41.722154,0.828625,-8.87044,3.78205,-1.31866,50,5.55222,2.31101,-120.61673,-1.7326,-12.79384,28.04569,-26.71917,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,7c6ee210-35f4-11f1-b016-5fd5aff46fd9,81.9824,3.73707,,8.28739,,,,1.10476,2.43913,-1.50582,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:19:19.47,2026-04-11T18:19:19.4790912-04:00,2026-04-11T22:19:19.4790912Z,GroundBall,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,5707c54f-2f78-49b2-9050-7de466af3670,54.38278,-121.63154,14.02284,5.59742,-0.76579,-13.35959,-1.41066,2.77394,-6.39692,107.081899,1.10476,74.44293,-11.76011,1.35409,-0.27312,0.00631,0.03723,-0.0277,0.00787,2.43913,8.66335,-14.69665,0.89107,-0.09134,0.0293,-0.00948,0.00429,-0.00116,-1.50582,-58.08977,0.10966,0.43442,-0.11421,-0.01142,0.05069,-0.0374,0.01067,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-11,18:23:25.06,3,1,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Saxton, Brady",10051400,Left,MIS_GUL,Undefined,1,Top,2,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.52581,-1.778604,-1.466073,2047.545658,230.169166,1:45,5.81506,1.01721,6.26507,-23.17257,12.60579,13.8191,2.24315,0.81684,80.56251,-6.129503,1.033023,0.430509,76.35606,4.482727,-169.053293,1008.034756,,,,96.48626,58.93219,-168.271796,0.953758,-7.44607,7.35272,-0.9143,50,5.67191,2.686,-127.1841,-4.64325,-12.2651,24.70912,-20.06271,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,0ecb4c20-35f5-11f1-b016-5fd5aff46fd9,87.55328,3.6929,,6.96329,,,,-0.23101,2.02143,-0.83764,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:23:25.06,2026-04-11T18:23:25.0695168-04:00,2026-04-11T22:23:25.0695168Z,GroundBall,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,db3a6a6d-68bf-4fb3-8c2e-8640b9d89e28,54.23126,-128.0035,12.35456,5.81486,-3.97794,-10.03136,-1.01011,3.09274,-6.13255,186.989879,-0.23101,-109.61472,13.40298,-2.54613,0.43858,-0.04013,-0.02877,0.02283,-0.00589,2.02143,8.75248,-11.46495,0.04489,-0.03565,0.174,-0.20557,0.12314,-0.03011,-0.83764,-21.20115,1.89645,-0.37554,0.06367,-0.0072,-0.00235,0.0022,-0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-11,18:23:45.10,3,2,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Saxton, Brady",10051400,Left,MIS_GUL,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.31901,-1.301589,-0.305328,1387.300028,259.278158,2:45,5.54997,1.4939,5.83743,-35.88939,4.84347,18.17867,1.34924,2.72501,75.8618,-7.930457,2.95968,0.45935,,,,,,,,,,,,-9.30729,3.34004,-1.47931,50,5.42321,-0.09794,-120.90979,-3.93617,-13.61562,26.16805,-27.28793,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,1ac231b0-35f5-11f1-b016-5fd5aff46fd9,82.05598,,,7.4572,,,,,,,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:23:45.10,2026-04-11T18:23:45.1030016-04:00,2026-04-11T22:23:45.1030016Z,,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,67393156-b7e2-408f-8109-ffe860c627a5,54.65941,-121.91403,13.08402,5.55417,-2.88895,-13.64397,-1.48558,0.42458,-6.80781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-11,18:23:59.34,3,3,"Osteen, Matthew",1000096969,Right,NOR_MIS,"Saxton, Brady",10051400,Left,MIS_GUL,Undefined,1,Top,2,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.9017,-1.649585,-1.466835,1979.44929,241.602768,2:00,5.77824,1.05312,6.15824,-26.12458,9.56906,15.67091,2.07634,1.00363,80.78779,-6.524228,1.362328,0.429998,77.59147,-64.076765,153.627209,,,,,0.6846,0.6846,-118.97409,0.019241,-8.53178,5.73634,-0.94972,50,5.63953,2.65066,-127.75057,-4.50549,-14.12644,25.84686,-22.67614,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,233dfa40-35f5-11f1-b016-5fd5aff46fd9,87.65715,1.97397,,7.11391,,,,0.52801,1.97397,-1.02513,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:23:59.34,2026-04-11T18:23:59.3411072-04:00,2026-04-11T22:23:59.3411072Z,GroundBall,v3,643-147492,643-147465,,"Cagle, Trae",10118653,Right,NOR_MIS,98785e67-44e1-4ed3-a1cf-ab510d718689,54.34142,-128.62594,12.92343,5.77912,-3.73751,-11.33807,-1.04759,3.12909,-7.06322,,0.52833,-44.67795,,,,,,,,1.97472,-102.59335,,,,,,,,-1.02529,22.15189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-04-11,18:26:55.69,1,1,"Barr, Wade",1000370541,Right,MIS_GUL,"Winemiller, Brody",1000060431,Right,NOR_MIS,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.1421,-3.968728,-4.452851,2363.883015,223.676412,1:30,5.93395,0.99391,5.96563,-11.15245,20.74981,18.73698,1.30778,-1.58163,85.34635,-6.153432,-1.098642,0.40652,,,,,,,,,,,,-10.98024,12.18012,-0.65098,50,5.61192,9.77207,-136.04024,-9.74323,-20.43677,31.74572,-9.50401,NOR_MIS,MIS_GUL,NortheastMissCCField,JUCO,NJCAA,20260411-NortheastMissCCField-3,8c586920-35f5-11f1-b016-5fd5aff46fd9,92.71969,,,8.79575,,,,,,,88a9d80b-4478-433f-9a09-c237ffa668cd,2026-04-11,22:26:55.69,2026-04-11T18:26:55.6977152-04:00,2026-04-11T22:26:55.6977152Z,,v3,643-147492,643-147465,,"Wallace, Landen",10965049,Right,MIS_GUL,7d876cbf-a44a-4dc7-983e-7ba48efa17bb,54.53355,-137.09409,15.87286,5.93013,-9.42773,-4.752,-0.98664,10.4505,-10.21839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
