PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:04:56.48,1,1,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Crossland, Michael",835210,Right,CSD_TRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.47932,-3.063729,-3.549246,2227.691771,201.31076,12:45,6.76454,1.44834,6.80026,-13.75768,21.64934,7.90142,2.81392,-1.13656,79.16273,-5.800813,-2.110827,0.428268,,,,,,,,,,,,-5.36469,12.86406,-1.2206,50,6.55974,7.63228,-128.02382,-7.10888,-8.69526,32.19521,-11.32355,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,ef9c35c0-45c2-11f1-be21-31f425c45b6a,88.01125,,,9.31658,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:04:56.48,2026-05-01T18:04:56.4815360-07:00,2026-05-02T01:04:56.4815360Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,bc1241da-1874-4e43-8a78-e98eba7471bc,53.69444,-128.94954,16.09761,6.75946,-6.78329,-5.66178,-1.44365,7.8823,-4.34763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,18:05:12.37,1,2,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Crossland, Michael",835210,Right,CSD_TRI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.16383,-3.130127,-3.52621,2322.651158,201.269136,12:45,6.81119,1.29987,7.12046,-11.2139,22.50454,8.23843,3.02928,-1.21612,80.51966,-5.413157,-2.017323,0.417932,,,,,,,,,,,,-5.59461,13.46375,-1.09266,50,6.62071,7.7276,-130.52017,-7.28345,-9.40839,33.90322,-9.53232,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,f921cd30-45c2-11f1-be21-31f425c45b6a,90.18805,,,9.64416,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:05:12.37,2026-05-01T18:05:12.3702784-07:00,2026-05-02T01:05:12.3702784Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,8c543091-90cd-401d-bc99-eeea0d175ddf,53.37404,-131.39367,16.95161,6.8052,-7.03785,-4.76616,-1.29488,7.97,-4.70419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:05:28.90,1,3,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Crossland, Michael",835210,Right,CSD_TRI,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.00952,0.064476,-1.678617,2545.51098,13.019189,6:30,6.89186,1.29293,5.20623,-63.53003,-14.43808,-3.73658,1.65836,-0.59759,70.32292,-11.384177,-2.343459,0.504286,,,,,,,,,,,,1.31811,-6.79544,-1.13461,50,6.84954,3.41915,-111.65496,-2.1066,1.63363,23.525,-40.59605,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,02f49a40-45c3-11f1-be21-31f425c45b6a,74.74422,,,6.6866,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:05:28.90,2026-05-01T18:05:28.9086464-07:00,2026-05-02T01:05:28.9086464Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,c617606f-6322-4655-b74a-27bec32bf1e5,55.29653,-112.76539,11.7625,6.90375,-0.19039,-20.29803,-1.29418,3.34204,0.81681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:05:45.99,1,4,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Crossland, Michael",835210,Right,CSD_TRI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.41927,-2.952217,-2.86182,2386.56296,194.039033,12:30,6.96307,1.08024,6.38738,-12.51485,22.17375,5.18197,3.19876,-1.12257,80.2184,-5.457338,-1.924995,0.4239,,,,,,,,,,,,-3.7374,13.00264,-0.87636,50,6.74418,6.31562,-130.72283,-6.98265,-6.2624,35.68052,-10.38688,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,0d468260-45c3-11f1-be21-31f425c45b6a,88.91794,,,10.20088,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:05:45.99,2026-05-01T18:05:45.9944960-07:00,2026-05-02T01:05:45.9944960Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,92102e45-9d56-4e36-8dca-314de643212e,54.10614,-131.83882,17.84026,6.9575,-6.65777,-5.19344,-1.07696,6.51149,-3.1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,18:06:17.60,2,1,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Camacho, Gabe",814761,Left,CSD_TRI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,90.13551,-5.700108,-3.069895,2358.267297,208.947727,1:00,6.67502,1.38592,6.75913,-11.75883,22.64993,11.75351,0.46409,-0.44124,80.65798,-8.050989,-0.92957,0.422188,,,,,,,,,,,,-7.37276,14.46375,-1.18913,50,6.2956,6.53818,-130.08662,-13.21173,-12.30153,33.97725,-8.04113,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,1ff2a150-45c3-11f1-be21-31f425c45b6a,89.2788,,,9.47753,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:06:17.60,2026-05-01T18:06:17.6042496-07:00,2026-05-02T01:06:17.6042496Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,cb8f9300-6584-428a-b305-41ba515212bd,53.73995,-131.05982,16.98863,6.67072,-12.98141,-4.02056,-1.38144,6.89053,-6.15076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:06:40.85,2,2,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Camacho, Gabe",814761,Left,CSD_TRI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.30326,-3.319037,-2.587837,2416.236569,198.483105,12:30,6.91462,1.16313,6.49942,-12.48426,22.63206,7.10288,2.82121,-0.62195,79.90884,-5.807859,-1.300322,0.426507,82.36564,-10.391736,43.108384,,,,,17.39122,15.79564,41.15843,0.133857,-4.63697,13.42162,-0.9849,50,6.67632,5.56419,-129.27679,-7.74599,-7.65702,33.03713,-10.01086,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,2dcdd740-45c3-11f1-be21-31f425c45b6a,88.37476,2.92473,,9.39442,,,,1.4503,2.92473,0.54699,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:06:40.85,2026-05-01T18:06:40.8523264-07:00,2026-05-02T01:06:40.8523264Z,GroundBall,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,e1ffd130-73bc-4860-a08b-e614d88140a1,53.99812,-130.29452,16.51856,6.91018,-7.4376,-5.00543,-1.15995,5.80007,-3.82851,180,1.44519,86.98392,,,,,,,,2.92601,-21.8496,,,,,,,,0.54221,81.42199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
7,2026-05-01,18:07:14.77,3,1,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Allen, J.C.",1000124468,Right,CSD_TRI,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.25231,1.201025,-1.168466,2478.312463,8.767575,6:15,6.93544,1.29114,5.18077,-63.10102,-12.98914,-2.27709,2.80748,0.0018,69.35508,-10.21098,-1.572962,0.509497,,,,,,,,,,,,0.74642,-6.29922,-1.18069,50,6.99918,2.34553,-110.53198,0.09637,0.90728,22.91535,-39.83071,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,422d2470-45c3-11f1-be21-31f425c45b6a,73.9797,,,6.89723,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:07:14.77,2026-05-01T18:07:14.7709952-07:00,2026-05-02T01:07:14.7709952Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,1fb47eb0-7b1f-4e85-afc6-6b1d77a216d7,55.32069,-111.62961,11.45768,6.94887,2.00423,-19.91536,-1.292,2.30208,0.45364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,18:07:31.53,3,2,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Allen, J.C.",1000124468,Right,CSD_TRI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.45235,-3.229043,-3.16892,2358.638667,196.235639,12:30,7.06501,0.98985,6.12386,-11.04524,24.29458,6.68552,3.15174,-1.38553,80.40852,-5.434992,-1.966965,0.427862,,,,,,,,,,,,-4.44276,13.90119,-0.75031,50,6.81117,6.87491,-129.37186,-7.50403,-7.40541,31.14288,-9.00284,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,4c0548b0-45c3-11f1-be21-31f425c45b6a,88.09487,,,9.04383,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:07:31.53,2026-05-01T18:07:31.5323904-07:00,2026-05-02T01:07:31.5323904Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,47e103c6-31a1-4e62-9402-7f62a0ade653,54.37125,-130.41988,15.57144,7.0586,-7.20107,-4.50142,-0.98586,7.12412,-3.7027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,18:07:51.34,3,3,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Allen, J.C.",1000124468,Right,CSD_TRI,Undefined,1,Top,2,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.60059,-3.510671,-2.923296,2363.345922,210.21489,1:00,6.80393,1.30456,6.91723,-13.04788,21.24285,11.59398,2.5116,-0.39355,80.32607,-6.112761,-0.805071,0.421463,87.11434,38.227527,39.644215,3740.659604,76.5019,67.45672,79.04086,269.53702,242.70146,51.375493,4.388432,-7.16662,12.88552,-1.12454,50,6.57816,6.19209,-129.76603,-8.20329,-11.94396,32.87614,-10.69893,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,57c91050-45c3-11f1-be21-31f425c45b6a,89.43228,76.45387,,9.27452,,,,1.34921,2.1627,0.52159,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:07:51.34,2026-05-01T18:07:51.3465856-07:00,2026-05-02T01:07:51.3465856Z,FlyBall,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,13dad65a-4fae-45d7-af93-ac528f4ee393,53.58025,-130.66994,16.43807,6.79966,-7.90913,-5.34947,-1.2993,6.52048,-5.97198,,1.37254,76.78673,-18.56892,2.44044,1.03185,-0.53705,0.04081,0.01526,-0.00216,2.14573,79.5081,-27.55325,7.48401,-5.10547,2.58149,-0.74918,0.11183,-0.00665,0.49187,64.77431,-5.28437,5.42849,-5.98438,3.24688,-0.92753,0.1326,-0.00747,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2026-05-01,18:09:16.51,3,4,"Kahalekai, Ka'imi",1000164796,Right,LON_DIR,"Allen, J.C.",1000124468,Right,CSD_TRI,Undefined,1,Top,2,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.16462,-3.421012,-2.479877,2230.359238,209.648032,1:00,7.00719,1.2352,5.87525,-14.56146,20.38001,10.87477,2.60957,-0.16329,81.46551,-6.229363,-0.530653,0.425444,,,,,,,,,,,,-6.31709,11.85079,-1.0408,50,6.72169,5.17657,-130.48379,-8.19296,-10.75507,30.6557,-11.99766,LON_DIR,CSD_TRI,BlairField,D1,BW,20260501-BlairField-2,8aa3b5c0-45c3-11f1-be21-31f425c45b6a,88.59563,,,8.69911,,,,,,,f4f1d8bb-45c7-47da-b546-b4dd0b089d85,2026-05-02,01:09:16.51,2026-05-01T18:09:16.5105152-07:00,2026-05-02T01:09:16.5105152Z,,v3,471255,643-146028,c834ba751d904edb864b0810257cea97,"Valdez, Damon",1000479435,Right,LON_DIR,b8483a88-f68f-4b54-b0af-f9f376da1bdd,54.62204,-131.5652,15.32785,7.00324,-7.76973,-5.99883,-1.2301,5.55596,-5.37753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
