PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:37:33.85,1,1,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.29263,-0.329054,0.015333,2137.605351,132.704756,10:30,5.52309,-0.64478,4.9263,-41.30199,3.74654,-2.10343,1.77018,-0.80557,72.66756,-7.880899,-0.356099,0.483072,,,,,,,,,,,,1.04083,2.48677,0.64513,50,5.45733,0.06124,-117.55349,-2.19112,1.4152,28.15863,-28.79277,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,5902ae50-45ae-11f1-b381-bfe21b32b225,78.02657,,,8.62507,,,,,,,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:37:33.85,2026-05-01T18:37:33.8568192-04:00,2026-05-01T22:37:33.8568192Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,8fc1ae9f-2128-45f0-afa3-cb4793a5fed2,55.5686,-118.8799,14.07931,5.52859,-0.83483,-14.39638,0.64382,-0.00543,0.7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,18:37:46.87,1,2,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.36083,-0.081628,1.248891,2095.746597,62.384368,8:00,5.39502,-0.75617,5.15492,-45.84109,0.73409,-2.65351,1.49807,0.19855,70.64231,-8.519166,0.778331,0.491189,,,,,,,,,,,,1.8313,1.03701,0.64158,50,5.35321,-2.41262,-115.97424,-1.80187,2.37717,31.14235,-30.82794,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,60c05700-45ae-11f1-b381-bfe21b32b225,76.7371,,,9.71852,,,,,,,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:37:46.87,2026-05-01T18:37:46.8716032-04:00,2026-05-01T22:37:46.8716032Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,4fb9ee1f-9b8a-49d8-8c5a-adf8bddbd1da,55.33646,-117.39848,15.57118,5.40338,-0.39201,-15.41397,0.75441,-2.52134,1.18858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:38:02.46,1,3,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.27869,-2.290636,0.949376,2239.839853,125.931428,10:15,5.66145,-0.40504,4.78586,-23.61269,15.10217,-18.55765,1.5212,-1.0516,78.19916,-6.69331,-2.316075,0.447827,,,,,,,,,,,,9.67099,8.76847,0.32798,50,5.41329,-1.24878,-127.47598,-5.96048,15.33179,35.11896,-18.27307,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,6a01e090-45ae-11f1-b381-bfe21b32b225,84.16741,,,10.07953,,,,,,,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:38:02.46,2026-05-01T18:38:02.4634880-04:00,2026-05-01T22:38:02.4634880Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,3f1b2710-af9e-443b-9b0a-85eaa9d237ad,55.71242,-129.04013,17.55948,5.66064,-5.14662,-9.13654,0.3988,-1.93164,7.6659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:38:16.59,1,4,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,2,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.05064,0.153886,1.781752,2111.822454,105.155687,9:30,5.45807,-0.73877,5.02761,-42.10368,3.39213,-5.43008,2.0947,0.49049,71.89273,-7.579797,0.822084,0.485464,,,,,,,,,,,,3.37355,2.14394,0.57293,50,5.43963,-3.40641,-117.08738,-1.20058,4.51634,29.44052,-29.30384,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,72774080-45ae-11f1-b381-bfe21b32b225,77.64206,,,9.15791,,,,,,,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:38:16.59,2026-05-01T18:38:16.5968384-04:00,2026-05-01T22:38:16.5968384Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,4e7ff31b-256e-40d2-9d71-0f279e971536,55.46704,-118.45404,14.72026,5.46379,0.15974,-14.65192,0.73593,-3.61607,2.25817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,18:38:36.65,1,5,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.83806,-1.376615,1.292914,2233.756517,143.812233,10:45,5.83882,-0.19738,4.98583,-18.50678,19.51745,-13.06572,2.99605,-0.06507,78.24056,-4.918006,-1.012783,0.443815,,,,,,,,,,,,6.9543,10.62741,0.08406,50,5.69244,-2.26627,-128.26164,-3.67783,11.14874,35.81843,-15.13679,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,7e66fa20-45ae-11f1-b381-bfe21b32b225,84.92831,,,10.5975,,,,,,,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:38:36.65,2026-05-01T18:38:36.6525952-04:00,2026-05-01T22:38:36.6525952Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,1de27762-3ab7-4c2c-9e6a-ed5df57a7d2f,55.5075,-129.79056,17.90922,5.83564,-3.03172,-7.56839,0.19096,-2.74216,5.57437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:39:01.28,1,6,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.56849,2.196588,0.232013,1938.072245,179.441469,12:00,5.57244,-0.45081,5.02151,-41.20542,4.56036,-0.02331,4.21258,-0.2338,70.78392,-5.454677,0.227901,0.486902,,,,,,,,,,,,0.1113,2.01638,0.42861,50,5.75136,-0.47454,-117.4563,3.00515,0.14755,32.76588,-29.50059,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,8d1b03e0-45ae-11f1-b381-bfe21b32b225,77.41274,,,10.78457,,,,,,,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:39:01.28,2026-05-01T18:39:01.2899328-04:00,2026-05-01T22:39:01.2899328Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,2651fe8a-e7f0-43f0-abef-0d4695ef8f73,55.46361,-118.97068,16.38294,5.58096,4.36861,-14.75029,0.4507,-0.48136,0.07378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,18:39:17.96,1,7,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,3,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.64058,-0.742098,1.003962,2276.378522,130.325388,10:15,5.67468,-0.37813,5.07296,-23.538,14.03457,-14.79048,3.01339,-0.66405,79.09211,-5.145891,-1.611107,0.441171,76.9767,30.597698,43.960308,2407.943072,74.87698,47.54373,80.58123,271.17279,258.70906,50.916784,3.871296,7.70819,7.63811,0.2953,50,5.58655,-1.55464,-128.24799,-2.49941,12.51044,32.82708,-19.77732,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,97032db0-45ae-11f1-b381-bfe21b32b225,85.43728,50.72602,,9.54847,,,,1.65449,3.10203,0.83063,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:39:17.96,2026-05-01T18:39:17.9603456-04:00,2026-05-01T22:39:17.9603456Z,FlyBall,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,41d4b018-dc83-4b14-9518-54d6b0778fd4,55.42334,-129.62874,16.41354,5.67418,-1.66754,-9.88866,0.37176,-2.08084,6.25522,,1.64522,70.23106,-15.3752,7.35284,-5.07314,2.7727,-0.9289,0.16443,-0.01162,3.10393,57.42169,-19.43431,1.24601,0.10267,-0.09713,0.02346,-0.00099,-0.00022,0.83493,67.34186,-4.00093,-1.15863,1.37637,-0.69433,0.18414,-0.02279,0.00095,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-05-01,18:39:41.51,1,8,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.21176,1.349238,1.31997,2156.750223,116.553503,10:00,5.49223,-0.63876,4.84703,-43.19766,3.69906,-3.37087,3.17037,0.33022,70.80598,-6.584255,0.72658,0.492882,83.42298,-27.704268,71.937118,,,,,7.61418,7.48294,53.835426,0.060749,2.17681,1.82291,0.51142,50,5.58942,-2.52036,-115.78912,1.15953,2.84278,29.2765,-29.79342,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,a515c750-45ae-11f1-b381-bfe21b32b225,76.47361,3.46767,,9.40578,,,,2.44561,3.46767,-0.13118,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:39:41.51,2026-05-01T18:39:41.5182336-04:00,2026-05-01T22:39:41.5182336Z,GroundBall,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,55317e09-10ab-4d17-804c-3f2440cb8c2d,55.64724,-117.20829,14.63825,5.49821,2.60376,-14.89671,0.63693,-2.65816,1.42139,180,2.44447,33.70522,,,,,,,,3.46962,-57.08188,,,,,,,,-0.13469,103.34793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,2026-05-01,18:40:09.32,1,9,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,3,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.45705,-1.190869,1.067151,2223.778345,124.123782,10:15,5.63148,-0.39696,5.35159,-26.00954,12.37839,-15.95139,2.34672,-0.72522,77.79096,-6.062958,-1.768935,0.445932,68.89255,41.598274,-166.184635,3939.528078,,,,,49.73787,,,8.40717,7.07851,0.31287,50,5.50641,-1.63972,-126.51973,-3.5246,13.20595,33.24373,-21.05515,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,b5a3e840-45ae-11f1-b381-bfe21b32b225,84.52505,38.35059,,9.6661,,,,2.161,2.47924,0.70077,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:40:09.32,2026-05-01T18:40:09.3241344-04:00,2026-05-01T22:40:09.3241344Z,,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,226f1ab0-aeaf-489f-9407-fc58240ebb94,55.14436,-127.86429,16.62187,5.63175,-2.67301,-10.52758,0.38999,-2.17385,6.60298,47.378221,2.161,-73.37486,4.94428,0.26991,-0.75926,2.02031,-2.64339,1.73227,-0.45116,2.47924,67.08307,-26.59039,3.08843,-1.92032,3.46408,-4.10505,2.45394,-0.56755,0.70077,-18.04367,7.04283,-1.1527,0.43909,-0.52903,0.58886,-0.3391,0.07465,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-05-01,18:40:27.61,1,10,"Callaway, Andrew",823910,Left,DEL_BLU,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,3,2,Sinker,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,88.60317,-1.855922,1.287999,2216.487524,141.198698,10:45,5.73406,-0.1259,5.0724,-18.48658,18.77395,-13.99579,2.4427,-0.07768,79.83592,-5.340677,-1.186129,0.439335,98.56236,46.785907,29.863394,3040.473632,95.89461,109.58275,53.8908,332.00675,307.84916,28.492715,6.132644,7.39036,10.31792,0.01547,50,5.54422,-2.23668,-128.28037,-4.7738,12.12986,30.2536,-15.23916,DEL_BLU,FLO_PAN,BobHannahStadium,D1,CUSA,20260501-BobHannahStadium-1,c084f100-45ae-11f1-b381-bfe21b32b225,85.79429,144.50718,,8.76725,,,,1.8122,2.38687,-0.01635,e86147b7-2781-4628-bb05-8af3c47019db,2026-05-01,22:40:27.61,2026-05-01T18:40:27.6177408-04:00,2026-05-01T22:40:27.6177408Z,FlyBall,v3,471283,4468,4f3708eeedcc4829856d30caf2840548,"Cockrill, LT",1000194945,Right,DEL_BLU,ddde7c49-c072-4fe0-9259-a3ba2038d183,55.42555,-129.55361,15.1268,5.73163,-4.13245,-7.61958,0.12034,-2.74717,6.06493,180.442236,1.8223,85.65665,-19.11805,4.48567,-0.6,0.02721,0.00355,-0.00046,1E-05,2.38754,105.33431,-23.73518,2.01783,-0.07137,-0.10434,0.03337,-0.00427,0.0002,-0.01073,49.18875,-10.88422,2.44287,-0.33168,0.02239,-0.00067,0.00011,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
