PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,17:03:50.18,1,1,"McKee, Tate",806156,Right,GIT_YEL,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.98838,-1.926488,-0.973346,2488.137892,224.50514,1:30,5.48959,2.04927,6.03193,-17.64891,13.22702,12.01564,2.2339,2.14913,86.65927,-5.261473,1.189749,0.399928,,,,,,,,,,,,-6.43146,7.65567,-1.97949,50,5.32944,1.80457,-137.91991,-5.20681,-12.353,31.48456,-17.46971,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,40b6a980-45a1-11f1-ba12-31fcb1c13783,94.24814,,,8.32912,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:03:50.18,2026-05-01T17:03:50.1869568-04:00,2026-05-01T21:03:50.1869568Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,da182e3d-ddeb-43db-9ac8-e829f99cd741,54.46623,-138.93573,15.74228,5.48834,-4.64317,-8.73485,-2.04415,2.20312,-6.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,17:04:04.71,1,2,"McKee, Tate",806156,Right,GIT_YEL,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,94.61384,-1.947379,-3.207214,2463.634811,215.75049,1:15,5.48334,1.93949,6.14671,-15.36304,15.71749,10.57678,2.40011,-0.14581,86.14227,-4.884602,-1.303569,0.401251,87.57286,34.221247,-25.779871,3826.207203,93.82505,59.91268,-57.4181,295.9843,209.0591,-40.489719,4.25262,-6.41485,9.00343,-1.70059,50,5.32691,7.23535,-137.22014,-5.12686,-12.1849,31.43269,-15.07216,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,495feab0-45a1-11f1-ba12-31fcb1c13783,93.93741,69.29585,,8.47157,,,,1.01822,2.32863,0.20084,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:04:04.71,2026-05-01T17:04:04.7189504-04:00,2026-05-01T21:04:04.7189504Z,FlyBall,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,08aecc88-f99a-469f-b34a-4677ec712d98,54.35275,-138.21361,15.71635,5.48142,-4.65048,-7.53608,-1.93536,7.62048,-6.09245,125.570603,1.02296,95.51501,-19.90776,3.89477,0.01691,-0.40083,0.14877,-0.02511,0.0017,2.32944,72.20894,-22.23009,1.56665,0.13226,-0.203,0.0725,-0.01191,0.00077,0.20288,-46.24141,-2.69648,1.67229,-0.22181,-0.10516,0.05538,-0.01032,0.0007,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-05-01,17:04:42.25,2,1,"McKee, Tate",806156,Right,GIT_YEL,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.05899,-3.28224,-5.418412,2482.640172,208.768078,1:00,5.51539,2.44721,6.13229,-17.03698,14.5356,7.42524,1.04493,-1.9572,86.12468,-6.495687,-4.089317,0.404414,,,,,,,,,,,,-5.29437,8.70713,-2.03589,50,5.25439,12.56691,-135.90039,-8.34935,-9.92027,29.25052,-15.85917,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,5fc6c7b0-45a1-11f1-ba12-31fcb1c13783,93.20257,,,7.93431,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:04:42.25,2026-05-01T17:04:42.2592512-04:00,2026-05-01T21:04:42.2592512Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,87722c23-36bd-41f3-bf24-4304ca4f7015,54.36591,-136.83686,14.62526,5.51357,-7.84161,-7.92959,-2.44331,12.88451,-4.96013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,17:04:57.64,2,2,"McKee, Tate",806156,Right,GIT_YEL,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,1,0,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.37999,-2.391916,-4.045035,2291.465408,249.831096,2:15,5.44414,2.78049,5.99703,-23.75277,8.03063,18.73808,1.24144,0.5874,85.27703,-6.835877,-0.681743,0.405762,,,,,,,,,,,,-10.96674,5.21425,-2.47204,50,5.2423,8.83686,-136.58913,-6.54309,-20.4283,34.01164,-22.46115,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,68ee60a0-45a1-11f1-ba12-31fcb1c13783,92.89291,,,9.10295,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:04:57.64,2026-05-01T17:04:57.6424448-04:00,2026-05-01T21:04:57.6424448Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,948b49be-2cdb-48ab-b9f3-51c1cf7d801f,54.50259,-137.70575,17.00582,5.445,-5.80568,-11.23057,-2.77317,9.50753,-10.21415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,17:05:22.40,2,3,"McKee, Tate",806156,Right,GIT_YEL,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,LineDrive,HomeRun,0,1,,84.31026,-0.075483,-1.313,2374.334316,81.053561,8:45,5.42419,2.69816,5.67717,-40.00955,-0.56602,-10.97918,2.01967,0.55899,77.80046,-7.39049,-3.276963,0.452022,106.63548,17.546274,-13.203818,2311.011519,107.69539,33.468,-22.39869,400.62181,384.49622,-7.325824,4.328214,5.26028,0.05406,-2.58031,50,5.39241,3.24859,-122.53607,-1.55736,8.0221,23.52708,-32.09158,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,77abb930-45a1-11f1-ba12-31fcb1c13783,83.38635,51.17393,,6.5098,,,,1.26469,2.01874,-0.55753,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:05:22.40,2026-05-01T17:05:22.4074240-04:00,2026-05-01T21:05:22.4074240Z,LineDrive,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,53185fa6-50c4-466d-a520-a478c2aca7f4,54.8244,-123.45889,11.76354,5.4288,-0.29861,-16.04579,-2.70156,2.93393,4.01105,203.667414,1.26475,145.17698,-24.35088,5.24081,-1.05156,0.18629,-0.02537,0.00215,-8E-05,2.01867,47.15304,-10.91152,-0.54588,0.26727,-0.06231,0.00849,-0.00032,-3E-05,-0.55764,-34.05849,11.44451,-3.00212,0.70575,-0.14205,0.02179,-0.00215,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-05-01,17:06:05.13,3,1,"McKee, Tate",806156,Right,GIT_YEL,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.69598,0.043379,-2.346479,2048.72846,264.415583,2:45,5.43908,1.99734,6.09265,-32.72037,3.0604,18.09666,2.75255,1.33372,79.98486,-6.061593,0.914349,0.430523,,,,,,,,,,,,-9.99516,1.98654,-1.82528,50,5.42568,4.49878,-128.6419,-1.0184,-16.47576,30.7507,-28.89949,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,91270220-45a1-11f1-ba12-31fcb1c13783,87.55035,,,8.71112,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:06:05.13,2026-05-01T17:06:05.1303424-04:00,2026-05-01T21:06:05.1303424Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,d872649d-bb2d-429f-a68d-3850ba7ab3c5,54.40458,-129.6905,15.37535,5.44361,-0.03292,-14.44974,-1.98827,5.0606,-8.23788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,17:06:20.10,3,2,"McKee, Tate",806156,Right,GIT_YEL,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,1,0,ChangeUp,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.39318,-0.502847,-2.722974,1998.793281,296.292274,4:00,5.32035,2.1329,6.14591,-43.8038,-6.81288,16.58052,1.20484,0.99653,78.7794,-8.599798,0.272011,0.437743,,,,,,,,,,,,-9.44339,-2.8765,-1.93345,50,5.26033,5.33926,-126.70857,-2.64752,-15.00542,31.34664,-36.74477,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,9a1f26a0-45a1-11f1-ba12-31fcb1c13783,86.10637,,,8.61378,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:06:20.10,2026-05-01T17:06:20.1064448-04:00,2026-05-01T21:06:20.1064448Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,ef990dd5-a7e5-4d6f-90db-496263181cd2,54.35282,-127.78088,15.67332,5.3294,-1.39054,-18.37238,-2.12488,5.85257,-7.50271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,17:06:35.50,3,3,"McKee, Tate",806156,Right,GIT_YEL,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,1,1,Curveball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.62525,0.063538,-1.358366,2509.267073,33.067474,7:00,5.60042,1.94661,5.47071,-47.3977,-7.84178,-5.88134,1.7101,0.18505,78.01533,-8.535162,-2.407583,0.452665,,,,,,,,,,,,2.61764,-3.70921,-1.82295,50,5.57305,3.15658,-122.9541,-1.60406,4.00714,24.37635,-37.85225,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,a347a9f0-45a1-11f1-ba12-31fcb1c13783,83.26778,,,6.60992,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:06:35.50,2026-05-01T17:06:35.5038720-04:00,2026-05-01T21:06:35.5038720Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,222504ae-7b6a-4185-a5e9-cb040ca30154,55.03198,-123.9477,12.18818,5.60699,-0.06116,-18.92612,-1.94829,2.99324,2.00357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,17:06:57.15,3,4,"McKee, Tate",806156,Right,GIT_YEL,"Stonehouse, Josh",840008,Left,XAV_MUS,Undefined,1,Top,1,1,2,Curveball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.06415,-0.356931,-1.004805,2237.523532,16.910801,6:30,5.67882,1.82254,5.53015,-43.45502,-4.64831,-1.7485,1.72385,0.73744,78.84242,-8.249766,-1.317172,0.448358,,,,,,,,,,,,0.62547,-1.89693,-1.73406,50,5.61873,2.24206,-123.66206,-2.37146,0.97584,22.91761,-35.13362,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,b0298bc0-45a1-11f1-ba12-31fcb1c13783,84.06776,,,6.22173,,,,,,,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:06:57.15,2026-05-01T17:06:57.1500000-04:00,2026-05-01T21:06:57.1500000Z,,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,da5de0e6-4202-4768-928a-4a83795d1e5c,54.97127,-124.57995,11.45881,5.68553,-0.96429,-17.56681,-1.82308,2.20297,0.48792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.18595,,,1.075146,,,,-1.90164,5.58561,1.29157,64.868,7.35837,59.91389,-1.82635,68.67253,-6.16054,5.63485,17.29682,-14.58532,1.29704,56.25226,-1.61024,High,High,High,,,High,High,High
10,2026-05-01,17:07:26.90,4,1,"McKee, Tate",806156,Right,GIT_YEL,"Fitz, Jonathan",812192,Right,XAV_MUS,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.96168,-1.349731,-3.169229,2249.392943,247.114204,2:15,5.47473,2.76404,5.98123,-25.26753,6.75607,13.7852,2.11585,0.97216,85.70437,-6.033234,-0.693337,0.407293,99.35378,6.202045,-25.410924,2172.92707,,,,107.30267,103.03237,-28.584001,0.815937,-7.92233,4.10197,-2.52118,50,5.35381,6.88747,-135.00244,-4.07369,-14.73704,27.20562,-24.5436,GIT_YEL,XAV_MUS,GeorgiaTech,D1,ACC,20260501-GeorgiaTech-1,c1da5ac0-45a1-11f1-ba12-31fcb1c13783,92.5439,4.57493,,7.2573,,,,0.64546,1.95347,-0.84166,09ea0ac5-f6f2-47c9-94f6-f5f20b6af8c0,2026-05-01,21:07:26.90,2026-05-01T17:07:26.9067776-04:00,2026-05-01T21:07:26.9067776Z,GroundBall,v3,100,471497,66cea0104edf7882c67b,"Lackey, Vahn",822518,Right,GIT_YEL,a914f641-359f-4a22-a8f6-a389bc4b23c0,54.52008,-135.91027,13.60281,5.47608,-3.25469,-12.2718,-2.75921,7.37924,-7.36852,61.962441,0.71437,129.70143,-18.59769,,,,,,,2.02084,14.61696,-21.04228,,,,,,,-0.81639,-62.59194,0.79098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
