Pitcher,ERA,W-L,IP,H,ER,BB,SO,HR,BA
Beau Elson,5.71,5-4,58.1,67,37,16,52,12,.284
Chase Hanawalt,5.82,3-5,60.1,55,39,19,57,8,.247
Aidan Dowd,7.00,2-3,45.0,58,35,22,24,5,.319
Aric Berg,3.98,1-0,20.1,17,9,11,22,4,.233
Declan Cawley,4.07,2-3,42.0,37,19,20,48,7,.237
Diego Reilly-Bell,4.50,0-0,2.0,1,1,3,2,0,.167
Robbie Stewart,5.09,5-3,40.2,35,23,21,39,5,.229
Andrew Kapica,5.18,2-3,33.0,34,19,19,31,3,.268
Will Vieira,8.00,0-0,9.0,14,8,6,10,2,.378
Mason Morello,8.64,0-0,8.1,7,8,9,1,1,.233
Caden Chavez,9.26,0-0,11.2,13,12,11,8,3,.289
Jordan Rodarte,11.68,1-0,12.1,22,16,10,6,3,.415
Ryan Egan,12.64,0-1,15.2,25,22,16,11,4,.362
Alec Murray,12.67,1-1,16.1,23,23,7,11,2,.354
A. O'Brien-Gonzalez,24.30,0-0,3.1,9,9,2,3,2,.474
Anthony Scarlata,27.00,0-0,4.1,14,13,5,4,1,.538
James Redick,38.57,0-0,2.1,6,10,8,1,1,.462
Koen Smith,45.90,0-0,3.1,9,17,13,5,0,.474
Giacomo Travaglia,18.00,0-0,1.0,2,2,2,1,0,.400
Eric Osterhus,94.50,0-0,0.2,6,7,1,2,0,.750
