PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:36:04.22,1,1,"Hays, James",805798,Right,STE_HAT,"Dempsey, Evan",805632,Left,FGCU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.90937,-2.2577,-2.010892,2466.285384,214.747187,1:15,5.89542,0.63645,5.54358,-18.14316,15.33879,9.91079,2.27112,-0.41774,84.22048,-5.653639,-0.244156,0.416463,,,,,,,,,,,,-5.54815,8.6815,-0.4689,50,5.68776,4.23121,-133.32616,-5.8711,-10.01414,27.92444,-16.50434,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,06a68b40-45ae-11f1-a9b1-ad9a5680b994,90.50604,,,7.6889,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:36:04.22,2026-05-01T18:36:04.2243072-04:00,2026-05-01T22:36:04.2243072Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,9dec8574-1015-4cba-8355-c58124afc3c0,54.95522,-134.35999,13.96222,5.89381,-5.26006,-8.25217,-0.63241,4.60196,-5.00707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,18:36:24.77,1,2,"Hays, James",805798,Right,STE_HAT,"Dempsey, Evan",805632,Left,FGCU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.64216,-3.413328,-2.961415,2523.688355,210.259198,1:00,5.84677,0.57312,5.78381,-18.26552,14.92942,8.14827,1.14096,-1.50554,84.78735,-6.815948,-1.503857,0.414675,,,,,,,,,,,,-4.8863,8.76123,-0.33374,50,5.55364,6.52155,-132.88133,-8.53603,-8.83971,25.33037,-16.32432,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,12e48bf0-45ae-11f1-a9b1-ad9a5680b994,90.89642,,,6.85481,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:36:24.77,2026-05-01T18:36:24.7763456-04:00,2026-05-01T22:36:24.7763456Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,fc4adbfd-d462-481a-8758-55f37a7988e3,54.71628,-133.77734,12.66519,5.84537,-7.95858,-8.16216,-0.56996,6.83424,-4.41986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:36:45.20,1,3,"Hays, James",805798,Right,STE_HAT,"Dempsey, Evan",805632,Left,FGCU,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.53049,-1.14409,-0.241038,1187.196001,224.373273,1:30,5.705,0.71709,5.65036,-32.60604,5.6367,4.42359,1.92058,0.8609,79.04168,-7.127444,0.550484,0.445088,,,,,,,,,,,,-2.3087,3.50772,-0.69951,50,5.58723,0.34003,-124.30661,-3.61736,-3.63874,23.21582,-26.6455,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,1f1df8c0-45ae-11f1-a9b1-ad9a5680b994,84.68537,,,6.48881,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:36:45.20,2026-05-01T18:36:45.2094976-04:00,2026-05-01T22:36:45.2094976Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,e07bee58-172b-4ff0-9d7b-1c86a08bbe79,54.84935,-125.20902,11.60791,5.70771,-2.58165,-13.32275,-0.71548,0.48146,-1.81937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:37:06.88,1,4,"Hays, James",805798,Right,STE_HAT,"Dempsey, Evan",805632,Left,FGCU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.85324,-1.188953,-0.89312,2568.368117,212.891908,1:00,5.90517,0.60994,5.48742,-16.38485,17.41631,10.52989,3.42715,0.65181,83.41301,-4.295095,0.982627,0.418444,96.65439,23.321831,-18.804075,3511.581328,101.39749,43.70528,-42.64372,327.13645,318.72588,-30.317664,4.155697,-5.58288,9.47276,-0.5391,50,5.79027,1.59593,-133.26048,-3.29354,-9.97812,30.26759,-15.24368,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,2bffda90-45ae-11f1-a9b1-ad9a5680b994,90.07767,55.92802,,8.44024,,,,0.72534,3.47686,-0.67226,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:37:06.88,2026-05-01T18:37:06.8876800-04:00,2026-05-01T22:37:06.8876800Z,LineDrive,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,0aee9739-46b8-47a5-8b23-94b88a98860e,55.01078,-134.39376,15.1338,5.90291,-2.72279,-7.62184,-0.60585,1.96953,-4.98906,137.968416,0.7247,123.24019,-26.1477,5.9286,-1.24493,0.24635,-0.04639,0.00615,-0.00035,3.47764,56.10672,-15.97466,0.44232,0.08708,-0.04771,0.01387,-0.00169,6E-05,-0.67211,-41.9708,-1.80125,1.42458,-0.28184,-0.00834,0.01585,-0.00315,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-05-01,18:37:47.81,2,1,"Hays, James",805798,Right,STE_HAT,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.56604,-2.212494,-2.62394,2568.991793,216.027951,1:15,5.83115,0.6091,5.48506,-16.86273,16.20107,11.03442,2.35273,-0.92802,84.86082,-5.375583,-0.660536,0.413854,,,,,,,,,,,,-6.24583,9.0652,-0.38658,50,5.62567,5.64102,-134.23043,-5.75681,-11.44492,27.87497,-15.56296,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,445da590-45ae-11f1-a9b1-ad9a5680b994,91.07656,,,7.70522,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:37:47.81,2026-05-01T18:37:47.8159360-04:00,2026-05-01T22:37:47.8159360Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,4acbc555-f506-4fb9-9219-60045827c984,55.01368,-135.26759,13.93749,5.82909,-5.17776,-7.78148,-0.60439,6.06686,-5.72246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:38:04.88,2,2,"Hays, James",805798,Right,STE_HAT,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.54941,0.386577,-0.779436,2541.012649,146.990146,11:00,5.7818,0.53372,5.44468,-29.72994,6.82154,-3.78878,3.66629,-0.51184,81.11879,-5.063232,-1.453873,0.435135,,,,,,,,,,,,1.72524,3.65941,-0.46216,50,5.79537,1.89569,-127.29675,-0.22557,2.87105,22.65938,-26.0843,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,4e996da0-45ae-11f1-a9b1-ad9a5680b994,86.62246,,,6.43062,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:38:04.88,2026-05-01T18:38:04.8819712-04:00,2026-05-01T22:38:04.8819712Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,d11893e6-1bca-4af4-801a-91cf7166a692,55.05557,-128.1935,11.32969,5.78387,0.80673,-13.04215,-0.53493,1.78206,1.43552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,18:38:25.11,2,3,"Hays, James",805798,Right,STE_HAT,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.90934,-0.418624,-1.998417,2452.391723,81.681297,8:45,5.7209,0.59892,5.08096,-43.69699,-0.0574,-8.79823,1.68463,-2.01883,75.13391,-8.294587,-3.554551,0.475457,,,,,,,,,,,,3.87189,0.46823,-0.40239,50,5.64665,4.46672,-117.49133,-2.46095,5.46032,20.40756,-31.51376,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,5aabf180-45ae-11f1-a9b1-ad9a5680b994,79.27616,,,5.77543,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:38:25.11,2026-05-01T18:38:25.1138560-04:00,2026-05-01T22:38:25.1138560Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,3668ca49-1299-4c11-bca8-ab4c53f8ab0d,55.41993,-118.42899,10.20378,5.72645,-1.01298,-15.75688,-0.60186,4.21583,2.73016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,18:38:45.55,2,4,"Hays, James",805798,Right,STE_HAT,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,1,1,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,81.31811,-2.060726,-2.226367,2431.872564,27.729084,7:00,5.85017,0.46972,5.22457,-45.46337,-2.86701,-2.06606,0.1219,-1.79659,76.56475,-10.199701,-2.593448,0.46974,,,,,,,,,,,,0.54748,-0.71736,-0.26272,50,5.62514,4.67614,-118.17802,-5.8936,0.78897,18.50176,-33.20787,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,66cf6550-45ae-11f1-a9b1-ad9a5680b994,80.24106,,,4.75337,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:38:45.55,2026-05-01T18:38:45.5586304-04:00,2026-05-01T22:38:45.5586304Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,c0ba8d94-0f4a-4460-b5e3-c7b26f591a2d,55.27908,-119.00164,9.25088,5.8546,-4.41533,-16.60393,-0.4701,4.64101,0.39449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,18:39:08.16,2,5,"Hays, James",805798,Right,STE_HAT,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,1,2,2,Cutter,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,85.83298,-3.372472,-3.070416,2590.235581,164.058977,11:30,5.86305,0.44426,5.5331,-33.94053,4.24177,-0.90972,-0.12592,-2.50438,80.0653,-9.511524,-3.232607,0.444736,,,,,,,,,,,,-0.28433,3.26236,-0.17681,50,5.54656,6.71228,-124.45004,-8.54933,-0.45122,22.19229,-26.99681,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,7444d490-45ae-11f1-a9b1-ad9a5680b994,84.75239,,,5.76768,,,,,,,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:39:08.16,2026-05-01T18:39:08.1681408-04:00,2026-05-01T22:39:08.1681408Z,,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,90d016f5-9194-4f0a-8380-35f25d0e464c,54.96884,-125.33296,11.09615,5.86533,-7.47526,-13.49841,-0.44422,6.73023,-0.22561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-01,18:39:34.72,2,6,"Hays, James",805798,Right,STE_HAT,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.13207,-2.528118,-2.474412,2463.992315,203.108915,12:45,5.793,0.63705,5.58584,-15.46249,17.79934,7.15264,2.13989,-1.07902,84.47695,-5.446757,-1.199449,0.415092,104.39409,10.852873,-9.201627,4960.411087,108.45371,16.57322,-18.37764,250.59385,250.59385,-11.090997,2.247686,-4.30693,10.0252,-0.42927,50,5.56569,5.45654,-133.61897,-6.39947,-7.81418,27.83286,-13.98498,STE_HAT,FGCU,MelchingFielda,D1,ASUN,20260501-MelchingFielda-1,841598f0-45ae-11f1-a9b1-ad9a5680b994,90.80502,17.42007,,7.65512,,,,2.18181,2.08431,1.09224,f3dd4888-edb9-4415-8177-61e736f99fb1,2026-05-01,22:39:34.72,2026-05-01T18:39:34.7235328-04:00,2026-05-01T22:39:34.7235328Z,LineDrive,v3,471456,4964,16146,"Gonzalez, Anthony",813233,Right,STE_HAT,5628a432-a52d-4d27-a4ba-2c194bfcb750,54.91407,-134.63868,13.91643,5.79076,-5.8871,-6.99249,-0.63442,5.74282,-3.90709,148.142868,2.18168,148.44713,-27.07244,6.3029,-1.62843,0.52873,-0.15907,0.02915,-0.00221,2.08446,28.81772,-13.58821,-0.27435,0.56368,-0.37187,0.14667,-0.0298,0.00242,1.0921,-24.03559,-0.48335,1.41293,-0.7876,0.40503,-0.14706,0.02934,-0.00238,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
