PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,17:06:10.75,1,1,"Williams, Tyrell",10108260,Right,PRE_BLH,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.52695,-1.900262,-3.061497,1912.70894,195.933979,12:30,6.25254,1.41602,6.24003,-20.31493,18.48025,4.91083,2.80355,-1.00157,77.1429,-5.766319,-2.176221,0.448291,,,,,,,,,,,,-3.4124,10.50445,-1.18991,50,6.10043,6.36613,-122.58489,-4.60977,-5.17748,24.88651,-16.23621,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,94d452b0-45a1-11f1-918a-f187f372c9ef,84.08026,,,7.38404,,,,,,,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:06:10.75,2026-05-01T17:06:10.7526656-04:00,2026-05-01T21:06:10.7526656Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,e786fe98-dd00-4f55-a16a-2811230ad90d,54.26015,-123.44673,12.44325,6.25033,-4.04749,-8.1181,-1.41348,6.54543,-2.58874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,17:06:28.74,1,2,"Williams, Tyrell",10108260,Right,PRE_BLH,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.64749,-2.287852,-2.491854,1969.862412,201.602275,12:45,6.24237,1.28902,6.28531,-17.20123,19.84454,7.3463,2.69716,-0.39692,78.59242,-5.601917,-1.165186,0.438067,69.30453,62.631049,131.924063,4712.978581,,,,,40.12605,,,-4.60717,11.41713,-1.1087,50,6.06508,5.18659,-125.66787,-5.46205,-7.29413,27.83566,-14.0983,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,9f841240-45a1-11f1-918a-f187f372c9ef,86.04258,62.08368,,8.05507,,,,2.88096,2.67867,0.30199,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:06:28.74,2026-05-01T17:06:28.7435264-04:00,2026-05-01T21:06:28.7435264Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,254b38c7-a4d6-4b21-8d56-65a98dfb475e,54.21646,-126.59838,13.91783,6.23979,-4.99076,-7.04915,-1.28616,5.43042,-3.64707,339.359862,2.88096,-31.2216,-5.85777,3.47629,-1.08047,0.28982,-0.0699,0.01477,-0.00154,2.67867,90.26864,-31.41237,4.46283,-0.8608,0.13852,-0.02188,0.0023,9E-05,0.30199,34.76766,-5.61708,0.67375,-0.04245,-0.01781,0.00714,-0.00243,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-05-01,17:06:51.72,1,3,"Williams, Tyrell",10108260,Right,PRE_BLH,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,1,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.1349,-1.843133,-3.106628,2001.065771,233.939869,1:45,6.02202,1.58046,6.88254,-30.80187,11.97938,14.683,1.7726,-0.02966,73.10987,-7.651549,-0.42295,0.470758,69.00946,-34.891529,-81.293338,,,,,4.21078,3.65317,-23.733114,0.020444,-8.73678,7.24457,-1.38867,50,5.8938,5.7932,-115.03931,-4.45846,-11.76233,20.41429,-22.42069,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,ad3c08c0-45a1-11f1-918a-f187f372c9ef,80.0675,1.18573,,6.02504,,,,3.5973,1.18573,-0.01409,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:06:51.72,2026-05-01T17:06:51.7216768-04:00,2026-05-01T21:06:51.7216768Z,GroundBall,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,0f474ed6-e804-4811-ac02-4b749391df40,53.62252,-115.68036,10.20715,6.02275,-3.75441,-11.21034,-1.57638,6.16256,-5.88117,,3.59723,12.58952,,,,,,,,1.18607,-58.00007,,,,,,,,-0.01361,-82.20896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-05-01,17:07:19.80,1,4,"Williams, Tyrell",10108260,Right,PRE_BLH,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,1,2,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.03574,-0.274567,-2.907083,1979.203055,245.088198,2:15,6.05624,1.45651,6.89137,-33.15935,9.25556,16.76769,3.04248,0.20291,72.66536,-6.571709,0.157976,0.468739,52.73996,53.048499,132.251045,4801.106871,,,,,28.99251,,,-9.85682,5.42922,-1.27799,50,6.02714,5.35535,-116.26277,-1.38806,-13.32902,24.24621,-24.83233,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,bdf6df00-45a1-11f1-918a-f187f372c9ef,80.4125,35.00678,,7.37038,,,,2.11871,3.06405,-0.25079,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:07:19.80,2026-05-01T17:07:19.8033408-04:00,2026-05-01T21:07:19.8033408Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,6d9ad5a8-4c3c-4737-827d-e8e0afcdf61c,53.61122,-117.01345,12.12311,6.05821,-0.61923,-12.41616,-1.45018,5.76803,-6.66451,325.632764,2.11871,-31.26505,-2.02479,1.24969,0.12787,-2.37741,5.75021,-6.14581,2.469,3.06405,61.8153,-23.68404,2.2492,-0.18163,-1.14818,2.69049,-2.78398,1.09346,-0.25079,34.41898,-5.70048,1.06384,0.0239,-1.0397,2.40349,-2.50942,0.99229,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-05-01,17:07:43.33,1,5,"Williams, Tyrell",10108260,Right,PRE_BLH,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,1,2,Undefined,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.22443,-2.908139,-2.367268,2022.527259,212.106137,1:00,6.31818,1.34397,6.20559,-18.38336,16.51741,9.63193,2.09723,-0.03976,81.37974,-6.40122,-0.629394,0.425196,,,,,,,,,,,,-5.67343,9.75064,-1.1707,50,6.09,4.95764,-129.38724,-7.09848,-9.57705,28.05912,-15.71442,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,cbfaf9b0-45a1-11f1-918a-f187f372c9ef,88.64729,,,7.84469,,,,,,,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:07:43.33,2026-05-01T17:07:43.3336320-04:00,2026-05-01T21:07:43.3336320Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,dc7c5367-5f97-4a45-869a-f347b8e51889,54.29583,-130.31551,14.02956,6.31623,-6.57861,-7.85721,-1.33995,5.27448,-4.78853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,17:08:18.14,2,1,"Williams, Tyrell",10108260,Right,PRE_BLH,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.69387,-2.907832,-4.616081,2052.104404,237.899305,2:00,5.98382,1.49716,6.67524,-29.36332,11.50095,16.23619,0.86564,-1.3821,75.0899,-8.421996,-1.667093,0.460091,,,,,,,,,,,,-9.84016,7.27949,-1.19335,50,5.77657,8.99686,-118.35002,-6.80683,-13.96395,22.47421,-21.84386,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,e0c16d20-45a1-11f1-918a-f187f372c9ef,81.92397,,,6.60397,,,,,,,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:08:18.14,2026-05-01T17:08:18.1434368-04:00,2026-05-01T21:08:18.1434368Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,de975781-79f5-41c1-8f69-d4c461b6e239,53.82779,-119.07469,11.23711,5.9847,-6.10249,-10.92193,-1.4907,9.44711,-6.98197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,17:08:37.35,2,2,"Williams, Tyrell",10108260,Right,PRE_BLH,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,1,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.13731,-0.278243,-1.855992,1818.622519,214.738192,1:15,6.25644,1.37579,6.23839,-21.63174,14.69757,9.39182,4.19699,0.4457,79.55562,-4.379456,-0.160233,0.433811,,,,,,,,,,,,-5.36634,8.0443,-1.2417,50,6.22485,3.72618,-126.58905,-1.23672,-8.69979,26.06429,-19.13284,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,ec369f90-45a1-11f1-918a-f187f372c9ef,86.88687,,,7.58169,,,,,,,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:08:37.35,2026-05-01T17:08:37.3529600-04:00,2026-05-01T21:08:37.3529600Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,4336d87f-1c32-409b-894a-88d1fe8f3980,54.26246,-127.46366,13.03215,6.25558,-0.5947,-9.56642,-1.37164,4.01811,-4.3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,17:08:59.69,2,3,"Williams, Tyrell",10108260,Right,PRE_BLH,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,1,2,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.62506,-0.439346,-2.153246,1950.483674,222.886041,1:30,6.07229,1.61341,6.73315,-31.41923,10.72264,8.87922,3.05223,0.38466,73.8949,-6.343672,-0.534401,0.467227,96.50857,69.522624,-61.520671,3828.686138,,,,,37.86161,,,-5.29048,6.128,-1.47484,50,6.03076,4.07978,-115.92209,-1.69488,-7.28209,19.32447,-23.73918,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,f97f3270-45a1-11f1-918a-f187f372c9ef,80.67257,108.54375,,5.73016,,,,4.75349,3.41113,-0.41879,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:08:59.69,2026-05-01T17:08:59.6910080-04:00,2026-05-01T21:08:59.6910080Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,2f82b7ad-6a1d-42bb-baa1-3152f5776407,53.77212,-116.54922,9.66224,6.07326,-0.92449,-11.86959,-1.61107,4.3161,-3.64105,,4.75349,23.61223,-22.28145,9.00449,-2.8366,0.8287,-0.22522,0.0493,-0.00606,3.41113,132.60145,-35.5936,4.63965,-0.54041,-0.02959,0.04212,-0.01419,0.0021,-0.41879,-43.52577,13.69215,-4.17934,1.09111,-0.27412,0.0658,-0.01312,0.00153,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
9,2026-05-01,17:09:28.06,2,4,"Williams, Tyrell",10108260,Right,PRE_BLH,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,1,2,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.44127,2.259438,-1.841396,2156.196331,35.326253,7:15,5.98774,1.62015,5.74565,-59.09728,-8.29245,-6.98906,3.1689,-0.67738,68.44523,-8.540719,-3.092324,0.513008,,,,,,,,,,,,3.0304,-4.37796,-1.46265,50,6.13962,3.72595,-108.07023,2.41437,3.57522,19.25737,-37.3391,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,0a73dd60-45a2-11f1-918a-f187f372c9ef,73.47344,,,5.99605,,,,,,,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:09:28.06,2026-05-01T17:09:28.0614912-04:00,2026-05-01T21:09:28.0614912Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,34bc9b96-ee56-463f-957a-0bd684d347b4,54.75957,-108.91505,9.62869,5.99777,4.05243,-18.66955,-1.62267,3.5691,1.78761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-01,17:09:46.29,2,5,"Williams, Tyrell",10108260,Right,PRE_BLH,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,1,3,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.43584,-2.976123,-2.195816,1935.969356,212.818003,1:00,6.34645,1.35071,6.07549,-22.54761,13.97406,8.2278,1.70906,0.00349,79.88185,-7.207305,-0.714069,0.434957,,,,,,,,,,,,-4.93406,8.44945,-1.18522,50,6.10374,4.5401,-126.8028,-7.28103,-7.99368,27.12653,-18.48507,PRE_BLH,CIT_BUL,PresbyterianCollege,D1,BSOU,20260501-PresbyterianCollege-1,1543a810-45a2-11f1-918a-f187f372c9ef,86.65778,,,7.55399,,,,,,,74afab3e-a641-4b62-89ac-75183146589a,2026-05-01,21:09:46.29,2026-05-01T17:09:46.2986240-04:00,2026-05-01T21:09:46.2986240Z,,v3,471507,471271,14271,"Mason, Caden",1000459765,Right,PRE_BLH,be2acaf5-8fe3-460d-b1eb-4568afd69d60,54.4277,-127.74649,13.56326,6.34585,-6.63796,-9.24254,-1.348,4.81819,-3.99684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
