PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:05:51.33,1,1,"Horn, David",702615,Right,MTSU_BLU,"Haller, Austin",1000122956,Left,WES_HIL,Undefined,1,Top,0,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.79126,-0.928357,-0.431214,2244.730365,185.426534,12:15,6.39514,0.64713,5.88097,-17.47186,17.10721,1.52307,4.07683,0.37356,82.17693,-4.241028,-0.157908,0.423231,,,,,,,,,,,,-0.89575,9.33182,-0.61316,50,6.30998,0.91679,-130.45354,-2.63841,-1.5465,26.95701,-16.06249,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,c2fe4380-45b0-11f1-8bcf-75371d7a93f1,89.05869,,,7.61433,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:05:51.33,2026-05-01T18:05:51.3388544-05:00,2026-05-01T23:05:51.3388544Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,68b1235e-2e90-4d9d-a16a-f69addfba989,54.62144,-131.40505,13.4785,6.3931,-2.07145,-8.03124,-0.64649,0.97138,-0.77325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,18:06:06.05,1,2,"Horn, David",702615,Right,MTSU_BLU,"Haller, Austin",1000122956,Left,WES_HIL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.68692,-1.228492,-0.627043,2205.283604,194.998896,12:30,6.30259,0.73453,6.0844,-19.41655,14.23481,3.53366,3.54769,0.44883,83.0509,-4.895113,0.009618,0.417516,,,,,,,,,,,,-1.99016,7.99615,-0.6879,50,6.19726,1.29374,-131.77912,-3.42198,-3.50467,27.62448,-18.09285,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,cbc39830-45b0-11f1-8bcf-75371d7a93f1,90.27792,,,7.63602,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:06:06.05,2026-05-01T18:06:06.0588544-05:00,2026-05-01T23:06:06.0588544Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,42a600ca-b87a-4890-8e0f-4d736a7ed376,54.41813,-132.70205,13.81224,6.30149,-2.8175,-9.04642,-0.73308,1.41083,-1.75233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:06:21.09,1,3,"Horn, David",702615,Right,MTSU_BLU,"Haller, Austin",1000122956,Left,WES_HIL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.53044,-2.618892,-0.516726,2196.174728,202.807446,12:45,6.27765,0.6303,5.9925,-16.19044,17.93462,7.06398,2.49945,0.74005,82.50867,-5.705187,0.753799,0.420444,,,,,,,,,,,,-3.76567,10.30485,-0.59334,50,6.06197,0.88202,-131.35449,-6.46933,-6.55183,28.90307,-14.24478,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,d4bcce20-45b0-11f1-8bcf-75371d7a93f1,89.64917,,,8.02177,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:06:21.09,2026-05-01T18:06:21.0961920-05:00,2026-05-01T23:06:21.0961920Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,073923a5-08a1-4e9e-9208-b4d6cefd953c,54.50916,-132.34296,14.45154,6.27489,-5.98216,-7.12239,-0.62734,1.10609,-3.27591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:06:40.25,1,4,"Horn, David",702615,Right,MTSU_BLU,"Haller, Austin",1000122956,Left,WES_HIL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.86089,-0.777055,-0.12491,2111.706261,194.807619,12:30,6.31116,0.62349,6.06103,-18.73182,13.93182,3.42803,4.03087,0.79354,84.45365,-4.308846,0.4924,0.411343,,,,,,,,,,,,-1.79323,7.67831,-0.61556,50,6.24062,0.14484,-133.56541,-2.3977,-3.26026,27.03399,-18.21424,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,e01f14d0-45b0-11f1-8bcf-75371d7a93f1,91.63269,,,7.40724,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:06:40.25,2026-05-01T18:06:40.2536448-05:00,2026-05-01T23:06:40.2536448Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,33f7980c-6c81-4e1a-9598-de27cb12c858,54.44186,-134.46145,13.517,6.31009,-1.794,-9.10712,-0.62215,0.2529,-1.63013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,18:06:55.66,1,5,"Horn, David",702615,Right,MTSU_BLU,"Haller, Austin",1000122956,Left,WES_HIL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.20531,-2.328012,-0.285973,2146.336867,196.753302,12:30,6.25212,0.69279,6.12089,-15.98036,17.3095,4.89272,2.76681,0.83611,83.47356,-5.373271,0.596153,0.415267,,,,,,,,,,,,-2.59516,9.89386,-0.67331,50,6.06512,0.45403,-132.4508,-5.83649,-4.61273,28.14017,-14.58841,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,e95505a0-45b0-11f1-8bcf-75371d7a93f1,90.76676,,,7.73175,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:06:55.66,2026-05-01T18:06:55.6615168-05:00,2026-05-01T23:06:55.6615168Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,3f9eca9b-cc6b-47c2-bc99-7bba150ca10e,54.38123,-133.37838,14.07008,6.24958,-5.35562,-7.2942,-0.69078,0.60608,-2.30637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:07:35.88,2,1,"Horn, David",702615,Right,MTSU_BLU,"Robbins, Hayden",839273,Right,WES_HIL,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.74032,-3.680025,-2.136513,2254.2471,239.954663,2:00,6.17479,0.75328,6.13806,-22.44048,11.34048,17.7117,0.89637,0.25363,83.16968,-7.868452,1.059563,0.418319,,,,,,,,,,,,-9.81119,7.24158,-0.59934,50,5.88165,4.18604,-131.57252,-9.1829,-17.16288,28.45644,-19.50623,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,01496070-45b1-11f1-8bcf-75371d7a93f1,90.10459,,,7.57064,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:07:35.88,2026-05-01T18:07:35.8876160-05:00,2026-05-01T23:07:35.8876160Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,377e9464-1f60-4a87-b058-93f74b9c895c,54.36683,-132.51361,14.22822,6.17468,-8.53781,-9.75312,-0.74716,4.75364,-8.58144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,18:07:56.85,2,2,"Horn, David",702615,Right,MTSU_BLU,"Robbins, Hayden",839273,Right,WES_HIL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.68543,-3.641725,-0.706771,2226.476833,192.989518,12:30,6.20997,0.78492,5.98505,-15.76595,17.2995,3.75477,1.51568,0.44265,84.31789,-6.620493,-0.031479,0.413865,,,,,,,,,,,,-2.11996,10.17879,-0.73116,50,5.91308,1.48183,-133.02241,-8.93561,-3.81587,27.31483,-13.85245,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,0dcc8070-45b1-11f1-8bcf-75371d7a93f1,91.07423,,,7.36755,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:07:56.85,2026-05-01T18:07:56.8564736-05:00,2026-05-01T23:07:56.8564736Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,21c13b33-e299-4b5f-88eb-085307bcd034,54.51847,-133.94702,13.65742,6.20762,-8.4667,-6.92623,-0.78351,1.61099,-1.90793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,18:08:59.72,2,3,"Horn, David",702615,Right,MTSU_BLU,"Robbins, Hayden",839273,Right,WES_HIL,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,LineDrive,Out,2,0,,87.46418,-1.285809,-0.791164,2253.922046,164.771057,11:30,6.27717,0.78283,5.46782,-29.31238,7.54918,-1.75973,2.63069,-0.10436,80.70444,-6.661136,-1.104776,0.436976,97.99517,7.07382,3.356075,1202.197755,109.29148,4.95647,12.46151,143.89604,140.92419,7.451552,1.165233,0.6902,4.45484,-0.71192,50,6.1438,1.82923,-127.07198,-3.90573,1.13573,24.48253,-24.84351,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,334369e0-45b1-11f1-8bcf-75371d7a93f1,86.25737,6.95486,,6.75974,,,,1.64933,2.61243,0.08949,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:08:59.72,2026-05-01T18:08:59.7252608-05:00,2026-05-01T23:08:59.7252608Z,GroundBall,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,89996129-c379-4bbe-a866-ba32cd60fc2a,55.03713,-128.03878,12.24126,6.27866,-2.92466,-12.42176,-0.78326,1.78438,0.56787,270.05776,1.64934,142.38675,-21.91574,3.60107,-0.2401,-0.48009,0.43327,-0.18833,0.034,2.61243,17.69989,-18.82047,1.84148,-0.57128,0.42842,-0.30432,0.12972,-0.02362,0.08949,8.3519,9.56885,-3.00817,-0.59989,2.01693,-1.75997,0.77914,-0.14316,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-05-01,18:09:41.41,3,1,"Horn, David",702615,Right,MTSU_BLU,"Arroyos, Lane",821362,Left,WES_HIL,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.94522,2.814714,0.498426,2547.969295,38.214373,7:15,6.31943,0.64066,5.20393,-68.38886,-16.49749,-14.43489,3.27003,-0.09343,67.98173,-9.568933,-2.064124,0.518464,,,,,,,,,,,,7.3078,-8.50552,-0.6756,50,6.52883,-0.37139,-108.60153,2.95327,8.5726,22.17093,-42.15167,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,4c299ec0-45b1-11f1-8bcf-75371d7a93f1,72.70015,,,6.96349,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:09:41.41,2026-05-01T18:09:41.4124544-05:00,2026-05-01T23:09:41.4124544Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,a64017f6-60d0-4343-8d8a-e4ebf8ca6724,55.30313,-109.67882,11.08547,6.33557,5.00142,-21.07584,-0.64743,-0.78793,4.2863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-01,18:09:58.15,3,2,"Horn, David",702615,Right,MTSU_BLU,"Arroyos, Lane",821362,Left,WES_HIL,Undefined,1,Top,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.24977,0.343549,-0.269728,2578.621421,38.354426,7:15,6.26958,0.76906,5.33471,-64.01783,-15.6682,-13.69072,1.25711,-0.62491,70.76716,-11.213163,-2.712587,0.500458,,,,,,,,,,,,6.79426,-7.51382,-0.73447,50,6.25428,1.06335,-112.13811,-1.56204,8.52019,23.14877,-41.59659,MTSU_BLU,WES_HIL,ReeseField,D1,CUSA,20260501-ReeseField-1,5622df90-45b1-11f1-8bcf-75371d7a93f1,75.31582,,,6.48261,,,,,,,d3c75861-95ab-4d42-910c-984cdc49e1e0,2026-05-01,23:09:58.15,2026-05-01T18:09:58.1515776-05:00,2026-05-01T23:09:58.1515776Z,,v3,471359,471490,0c92799d98a04208b5948ccab3ebd525,"Minnick, Tyler",806166,Right,MTSU_BLU,a08af5d1-f443-41f8-b426-490ae05e53b2,55.17295,-113.20093,11.57438,6.28216,0.34777,-20.79829,-0.77431,0.67217,4.2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
