PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,14:01:38.25,1,1,"Harvey, Chad",10034770,Right,WIN_BUL,"Compton, Luke",1000185506,Left,NEW_WLV,Undefined,1,Top,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a0-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:01:38.25,2026-05-01T14:01:38.2598400-04:00,2026-05-01T18:01:38.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,79f1f224-8175-4a4c-9e5d-29552c3a54fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-01,14:01:43.25,1,2,"Harvey, Chad",10034770,Right,WIN_BUL,"Compton, Luke",1000185506,Left,NEW_WLV,Undefined,1,Top,0,0,1,Undefined,,InPlay,Undefined,Bunt,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a1-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:01:43.25,2026-05-01T14:01:43.2598400-04:00,2026-05-01T18:01:43.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,53ece168-2814-453f-923f-cc2804385d5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-01,14:01:48.25,2,1,"Harvey, Chad",10034770,Right,WIN_BUL,"Lugo, Jomar",1000221100,Right,NEW_WLV,Undefined,1,Top,1,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a2-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:01:48.25,2026-05-01T14:01:48.2598400-04:00,2026-05-01T18:01:48.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,8e171873-37ac-4caa-82d6-1f76b9b57091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-01,14:01:53.25,2,2,"Harvey, Chad",10034770,Right,WIN_BUL,"Lugo, Jomar",1000221100,Right,NEW_WLV,Undefined,1,Top,1,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a3-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:01:53.25,2026-05-01T14:01:53.2598400-04:00,2026-05-01T18:01:53.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,067cf6a6-1a91-49d9-8341-193ad8144fa6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-01,14:01:58.25,2,3,"Harvey, Chad",10034770,Right,WIN_BUL,"Lugo, Jomar",1000221100,Right,NEW_WLV,Undefined,1,Top,1,1,1,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a4-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:01:58.25,2026-05-01T14:01:58.2598400-04:00,2026-05-01T18:01:58.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,886a3f16-62d0-48bd-a571-5175ba5be662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-01,14:02:03.25,2,4,"Harvey, Chad",10034770,Right,WIN_BUL,"Lugo, Jomar",1000221100,Right,NEW_WLV,Undefined,1,Top,1,1,2,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a5-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:02:03.25,2026-05-01T14:02:03.2598400-04:00,2026-05-01T18:02:03.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,cea4da30-1b71-43e4-9582-74faf7a258cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-01,14:02:08.25,2,5,"Harvey, Chad",10034770,Right,WIN_BUL,"Lugo, Jomar",1000221100,Right,NEW_WLV,Undefined,1,Top,1,1,2,Undefined,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a6-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:02:08.25,2026-05-01T14:02:08.2598400-04:00,2026-05-01T18:02:08.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,f2bcc327-a8d6-428a-ae72-b23058948a98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-01,14:02:13.25,3,1,"Harvey, Chad",10034770,Right,WIN_BUL,"Osbon, Keillor",1000107401,Left,NEW_WLV,Undefined,1,Top,2,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a7-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:02:13.25,2026-05-01T14:02:13.2598400-04:00,2026-05-01T18:02:13.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,ead88c8b-3047-496e-9f30-1ea0edff09c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-01,14:02:18.25,3,2,"Harvey, Chad",10034770,Right,WIN_BUL,"Osbon, Keillor",1000107401,Left,NEW_WLV,Undefined,1,Top,2,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a903a8-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:02:18.25,2026-05-01T14:02:18.2598400-04:00,2026-05-01T18:02:18.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,c998aa88-1792-42b7-a41e-19b033f19b4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-01,14:02:23.25,3,3,"Harvey, Chad",10034770,Right,WIN_BUL,"Osbon, Keillor",1000107401,Left,NEW_WLV,Undefined,1,Top,2,1,1,Undefined,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_BUL,NEW_WLV,RonChrisStad,D2,Team,20260501-RonChrisStad-1,f3a92ab0-463f-11f1-9874-41a10fae289a,,,,,,,,,,,a5b1be0a-ce72-4429-a646-0fc41fe896c3,2026-05-01,18:02:23.25,2026-05-01T14:02:23.2598400-04:00,2026-05-01T18:02:23.2598400Z,,v3,643-146250,643-145447,,"Hart, Bradley",1000210561,Right,WIN_BUL,80482063-2204-45ff-93cf-5b945190908a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
