PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,14:05:15.58,1,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Kent, Jack",10959762,Right,GEO_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.04213,-3.063522,-3.787135,2307.621529,202.721106,12:45,5.83921,2.1527,5.60932,-13.11713,21.61899,8.51418,1.87742,-0.6781,82.02722,-5.607853,-2.272458,0.424192,,,,,,,,,,,,-5.52429,12.29698,-1.83402,50,5.56838,8.32614,-131.5649,-7.40777,-9.5467,31.57064,-10.92325,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,4e86ec50-4588-11f1-b224-fd632007eade,88.85709,,,9.01491,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:05:15.58,2026-05-01T14:05:15.5804672-04:00,2026-05-01T18:05:15.5804672Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,e5ede377-e2cc-45b3-b5d4-b1b2e3867721,54.89049,-132.73324,15.78532,5.83505,-7.00353,-5.46163,-2.14868,8.67943,-4.77335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,14:05:31.61,1,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Kent, Jack",10959762,Right,GEO_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.31262,-2.593033,-3.786997,2379.029081,197.803741,12:30,5.81896,2.01107,5.71562,-13.00457,21.31907,6.44563,2.31261,-0.98496,82.36332,-5.118663,-2.638256,0.421665,,,,,,,,,,,,-4.45469,11.99284,-1.69775,50,5.59358,8.44903,-132.03205,-6.32961,-7.76519,31.39194,-11.26876,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,581adba0-4588-11f1-b224-fd632007eade,89.38945,,,8.9493,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:05:31.61,2026-05-01T14:05:31.6125184-04:00,2026-05-01T18:05:31.6125184Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,76c6b516-29c6-4819-8312-4c36afdba80d,54.78332,-133.16448,15.69597,5.81458,-5.9231,-5.63438,-2.00759,8.72915,-3.88259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,14:05:51.76,1,3,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Kent, Jack",10959762,Right,GEO_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.12584,-1.311678,-3.792896,2286.175851,207.980444,1:00,5.66586,2.2097,5.85392,-13.0069,20.26474,10.1652,3.36025,-0.47271,83.51516,-3.834078,-1.976114,0.415153,73.4895,43.811541,158.853437,3440.166291,-105.63429,61.03021,30.68145,222.08751,70.50643,167.29454,3.542747,-6.32489,11.08119,-1.90708,50,5.55158,8.40105,-133.45554,-3.40909,-11.3356,30.39776,-12.3142,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,641ac1e0-4588-11f1-b224-fd632007eade,90.79162,61.19105,,8.61068,,,,1.01239,3.43677,0.5046,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:05:51.76,2026-05-01T14:05:51.7623296-04:00,2026-05-01T18:05:51.7623296Z,FlyBall,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,917ad90f-a68e-48eb-a8dc-7aade27e2a6a,54.64715,-134.50988,15.19888,5.66241,-2.98197,-6.1571,-2.20529,8.79423,-5.6678,323.578434,1.01297,-72.56195,2.81888,0.06229,0.18613,-0.19555,0.0797,-0.01429,0.00095,3.43671,74.62016,-28.3422,3.60952,-0.80975,0.18126,-0.04207,0.00716,-0.00053,0.50431,28.06909,-8.10735,2.26771,-0.68304,0.23512,-0.07019,0.01247,-0.0009,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-05-01,14:06:12.27,1,4,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Kent, Jack",10959762,Right,GEO_COL,Undefined,1,Top,0,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.72118,0.476422,-1.483982,2540.793029,30.047627,7:00,5.78302,1.96716,5.42702,-65.00078,-16.28725,-10.33969,0.81269,-0.28477,70.55033,-11.261084,-3.330499,0.502338,,,,,,,,,,,,4.80941,-8.08788,-1.82785,50,5.77917,3.27138,-111.40041,-1.26458,5.97079,22.2668,-42.21499,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,705da490-4588-11f1-b224-fd632007eade,75.03401,,,6.17084,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:06:12.27,2026-05-01T14:06:12.2737152-04:00,2026-05-01T18:06:12.2737152Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,bc8b9628-e59d-44b9-a469-9b8f116ba3aa,55.0802,-112.41126,11.1334,5.79308,0.65186,-21.10749,-1.97021,3.00032,2.9854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,14:06:45.76,2,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Walsh, Charlie",10154270,Left,GEO_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.75183,-4.195357,-2.660406,2311.425604,208.771509,1:00,5.70734,2.30204,5.49225,-16.03521,17.7684,9.16363,0.435,0.57505,84.19925,-7.199092,-1.029697,0.418459,,,,,,,,,,,,-5.41634,10.4776,-2.07557,50,5.32843,5.77106,-132.81933,-10.28306,-9.69867,27.80662,-13.41255,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,844550c0-4588-11f1-b224-fd632007eade,90.07441,,,7.55258,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:06:45.76,2026-05-01T14:06:45.7634304-04:00,2026-05-01T18:06:45.7634304Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,5acd8c9c-908e-45ca-bc6d-c973186574af,55.01169,-133.86444,13.90331,5.70545,-9.77895,-6.70628,-2.29932,6.13558,-4.84933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,14:07:02.24,2,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Walsh, Charlie",10154270,Left,GEO_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.63915,-1.811658,-2.248396,2306.785447,180.660316,12:00,5.67088,2.2342,5.75457,-12.81115,20.78013,0.22677,2.91489,0.15892,83.4392,-4.284603,-2.207865,0.417143,75.0563,24.037391,-167.199013,1473.406179,,,,,50.2771,,,-0.76394,11.4528,-2.04764,50,5.51281,5.20864,-132.91623,-4.55666,-1.36186,29.42311,-11.75762,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,8e18e120-4588-11f1-b224-fd632007eade,90.35862,20.338,,8.19995,,,,0.90082,2.90348,-0.15734,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:07:02.24,2026-05-01T14:07:02.2440960-04:00,2026-05-01T18:07:02.2440960Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,56958b68-10d0-4d96-825d-07e02461d9bb,54.74672,-133.96288,14.71156,5.66745,-4.13842,-5.87881,-2.23379,5.25708,-0.68093,11.741027,0.90082,-98.03716,8.1307,-0.98823,-0.75271,4.66183,-11.73436,14.33152,-6.84692,2.90348,44.83999,-23.70177,2.11646,1.42983,-9.11308,23.26063,-28.7339,13.85509,-0.15734,-22.27551,2.47174,-0.44925,2.41057,-11.41924,28.99426,-35.96196,17.40447,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-05-01,14:07:23.03,2,3,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Walsh, Charlie",10154270,Left,GEO_COL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.62213,-1.778379,-3.559076,2223.888233,204.6788,12:45,5.66663,2.2235,5.83228,-15.83213,17.20206,7.37615,2.69042,-0.47451,83.85928,-4.80244,-2.240682,0.413669,84.1443,28.672547,-71.532131,3186.277214,24.94897,45.31867,-107.13326,242.28796,114.63176,-85.224506,3.384806,-4.84288,9.65583,-1.93695,50,5.51193,8.01275,-134.12239,-4.64614,-8.74289,31.42438,-14.74232,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,9a819b50-4588-11f1-b224-fd632007eade,91.11732,47.13594,,8.76285,,,,0.46509,2.56912,0.85592,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:07:23.03,2026-05-01T14:07:23.0303744-04:00,2026-05-01T18:07:23.0303744Z,LineDrive,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,a8474442-f37c-4201-9737-2418bef0c727,54.66775,-135.21161,15.71219,5.66411,-4.13515,-7.37116,-2.21994,8.31579,-4.37145,,0.46518,34.29745,-15.39273,3.68815,-0.88975,0.22708,-0.05055,0.00725,-0.00047,2.56896,59.21502,-22.45744,2.23161,-0.20807,-0.11582,0.0631,-0.01284,0.00098,0.8557,-102.6976,18.19388,-4.78849,1.25969,-0.38781,0.10251,-0.01661,0.00115,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-05-01,14:07:41.43,2,4,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Walsh, Charlie",10154270,Left,GEO_COL,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.4468,0.466714,-0.667613,2460.530545,40.732094,7:15,5.70814,2.14775,5.40449,-62.29736,-14.11131,-13.61028,0.95406,0.38795,70.59297,-10.81751,-3.097552,0.499611,,,,,,,,,,,,6.69036,-6.9143,-2.07817,50,5.70545,1.83019,-112.37276,-1.21383,8.38607,24.10944,-40.84081,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,a5885480-4588-11f1-b224-fd632007eade,75.44357,,,6.85383,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:07:41.43,2026-05-01T14:07:41.4351872-04:00,2026-05-01T18:07:41.4351872Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,3fcdd0a8-a5d4-4ca1-bf2b-35f391587bb4,55.10116,-113.46193,12.05472,5.71861,0.6312,-20.42041,-2.15229,1.45135,4.19303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,14:08:10.65,3,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Lavey, Robbie",835215,Left,GEO_COL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.68449,-1.883293,-1.498971,2359.360543,203.55133,12:45,5.62692,2.33917,5.67259,-14.47422,17.88674,7.31185,2.66359,1.55059,84.92512,-4.652036,-0.192447,0.409432,,,,,,,,,,,,-4.13331,9.94528,-2.21716,50,5.45884,3.21245,-135.82783,-4.90197,-7.66426,31.81892,-13.73285,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,b6dfdff0-4588-11f1-b224-fd632007eade,92.06027,,,8.75937,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:08:10.65,2026-05-01T14:08:10.6587136-04:00,2026-05-01T18:08:10.6587136Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,b109f429-98f7-4ede-af8c-a5879c22ee60,54.82642,-136.9538,15.90946,5.62371,-4.41601,-6.86643,-2.33564,3.48366,-3.83213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-01,14:08:25.97,3,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Lavey, Robbie",835215,Left,GEO_COL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.29309,-2.245582,-2.461467,2281.615509,223.241479,1:30,5.6624,2.24727,5.68177,-18.42631,15.10261,13.07005,2.03053,1.04044,83.37375,-5.729549,-0.126333,0.416755,,,,,,,,,,,,-7.42528,8.72851,-2.04818,50,5.46163,5.15774,-133.68178,-5.84707,-13.26442,32.26932,-16.58154,GEO_PAT,GEO_COL,SpuhlerFieldMain,D1,A10,20260501-SpuhlerFieldMain-1,c002e500-4588-11f1-b224-fd632007eade,90.44259,,,8.91934,,,,,,,1968ced6-30b0-4032-8720-72df2847b98a,2026-05-01,18:08:25.97,2026-05-01T14:08:25.9777536-04:00,2026-05-01T18:08:25.9777536Z,,v3,471300,471301,2d2c2556e86c49af872e0a101fce1f71,"Vaughan, Logan",1000232024,Right,GEO_PAT,2f538fdd-c1c8-433b-8ad2-8d8b4c5c7657,54.81881,-134.83997,16.13466,5.66081,-5.25194,-8.29077,-2.24184,5.63382,-6.63221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
