PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,13:03:04.40,1,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Bittle, Peyton",85658,Right,MCK_MCK,Undefined,1,Top,0,0,0,Undefined,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,3ba2ce60-4641-11f1-9874-41a10fae289a,,,,,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:03:04.40,2026-05-01T13:03:04.4040000-05:00,2026-05-01T18:03:04.4040000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,071cb846-1d04-402e-8da2-8f261ff7384b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-01,13:03:09.40,2,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,3ba2ce61-4641-11f1-9874-41a10fae289a,,,,,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:03:09.40,2026-05-01T13:03:09.4040000-05:00,2026-05-01T18:03:09.4040000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,f6abd50a-dd32-4b45-b120-f7b0f10e4f64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-01,13:03:19.40,2,2,"DeCicco, Mark",10066000,Right,IlI_SPR,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.50385,-1.020176,-3.859578,2299.981193,223.607833,1:30,6,2.76835,4.52668,-27.00584,14.9319,12.74587,2.77564,0.14928,76.11944,-5.983249,-1.635423,0.466094,68.69671,13.535507,-174.524992,1506.617838,,,,89.342,39.08401,-175.481939,0.977286,-7.49032,8.02697,-2.3779,50,5.86873,7.64381,-122.03688,-3.18503,-11.13452,27.2189,-20.24179,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,09565e40-4588-11f1-ad20-e1933d56d1fa,80.86867,7.69795,,8.38442,,,,2.43648,2.71111,-0.17163,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:03:19.40,2026-05-01T13:03:19.4040000-05:00,2026-05-01T18:03:19.4040000Z,GroundBall,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,a1d50ae6-a86e-4a91-bc80-8be6640996fe,55.97278,-123.36184,13.60945,5.99979,-2.1997,-10.1209,-2.76318,8.18582,-5.56726,10.807181,2.50652,-98.46853,4.8095,,,,,,,2.77687,22.67605,-26.17579,,,,,,,-0.17673,-9.27513,2.31185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-05-01,13:03:37.40,2,3,"DeCicco, Mark",10066000,Right,IlI_SPR,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.68899,-0.43668,-1.986437,2091.133026,224.132047,1:30,5.84781,2.98181,4.75971,-36.04203,16.30619,13.74654,2.42995,2.2429,67.5328,-7.098086,0.429355,0.520742,,,,,,,,,,,,-7.38512,8.74808,-2.79512,50,5.77371,3.20865,-109.31061,-2.01207,-8.69547,24.09231,-21.87379,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,14170dc0-4588-11f1-ad20-e1933d56d1fa,72.38221,,,8.15619,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:03:37.40,2026-05-01T13:03:37.4060000-05:00,2026-05-01T18:03:37.4060000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,79981b66-7a11-4f62-a556-4b48146e7b29,55.73379,-110.56713,12.04616,5.8489,-0.87126,-10.9369,-2.97429,3.66216,-4.34774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,13:03:55.14,2,4,"DeCicco, Mark",10066000,Right,IlI_SPR,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.56713,-1.845828,-3.373808,2098.470991,230.545299,1:45,5.73606,2.87115,4.80093,-35.45041,15.22379,16.15458,1.02919,1.01678,69.14745,-8.342609,-0.534982,0.512348,,,,,,,,,,,,-9.04977,8.62831,-2.54962,50,5.52202,5.85111,-110.59674,-4.7506,-11.02174,22.79646,-21.66561,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,1eac6780-4588-11f1-ad20-e1933d56d1fa,73.56809,,,7.41968,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:03:55.14,2026-05-01T13:03:55.1490000-05:00,2026-05-01T18:03:55.1490000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,1b0dbf18-e918-4c2c-9405-97cc34f01c50,55.69698,-111.76485,11.39823,5.737,-3.64044,-10.83281,-2.8639,6.41587,-5.51087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,13:04:12.77,2,5,"DeCicco, Mark",10066000,Right,IlI_SPR,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,3,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.80655,-1.556578,-3.509781,2247.969684,249.460233,2:15,5.98224,2.68279,4.53474,-32.35714,9.5541,21.10922,1.80048,1.09567,76.01932,-7.459657,0.181963,0.465947,95.94228,-14.965095,-1.470799,,,,,8.41173,8.41173,-8.63403,0.048924,-11.49473,5.62981,-2.33792,50,5.78985,6.51268,-122.40885,-4.58852,-17.06077,29.07001,-23.81814,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,2926e640-4588-11f1-ad20-e1933d56d1fa,80.89423,1.78001,,8.78723,,,,1.6593,1.78001,-1.09186,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:04:12.77,2026-05-01T13:04:12.7730000-05:00,2026-05-01T18:04:12.7730000Z,GroundBall,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,5c81f1ea-ecd0-4f88-a3b8-21130e75092e,55.96407,-123.81712,14.53501,5.98419,-3.43468,-11.90907,-2.67344,7.33917,-8.53039,180,1.65794,136.07004,,,,,,,,1.78037,-36.38301,,,,,,,,-1.09183,-3.49372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-05-01,13:04:43.67,3,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Meuli, Max",10313996,Right,MCK_MCK,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.42966,-1.026268,-3.647512,2187.323564,252.426213,2:30,6.08363,2.69893,4.59431,-33.93644,8.11402,20.55387,2.27736,0.93768,75.8869,-7.209343,-0.050145,0.46672,,,,,,,,,,,,-11.15603,4.76524,-2.34213,50,5.94675,6.79506,-121.91415,-3.51061,-16.48941,27.97343,-25.13065,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,3b94c3b0-4588-11f1-ad20-e1933d56d1fa,80.76021,,,8.54276,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:04:43.67,2026-05-01T13:04:43.6710000-05:00,2026-05-01T18:04:43.6710000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,474e71fd-35f4-4844-bd55-cd6c6f626e68,55.90349,-123.26127,13.98671,6.08667,-2.30039,-12.56532,-2.68848,7.58915,-8.2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,13:04:59.95,3,2,"DeCicco, Mark",10066000,Right,IlI_SPR,"Meuli, Max",10313996,Right,MCK_MCK,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.68875,-1.390712,-3.504386,2089.904181,215.243426,1:15,5.91345,2.76171,4.74385,-32.58447,19.58328,12.38883,1.87618,0.46586,67.97671,-7.412193,-1.332081,0.519843,,,,,,,,,,,,-7.1976,10.6326,-2.4202,50,5.74583,6.16731,-109.23037,-3.70061,-8.52583,22.74934,-19.57936,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,4553baa0-4588-11f1-ad20-e1933d56d1fa,72.5073,,,7.71204,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:04:59.95,2026-05-01T13:04:59.9500000-05:00,2026-05-01T18:04:59.9500000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,07cebbe0-a287-443b-9cd9-b38fd428d50c,55.75064,-110.42156,11.37467,5.91276,-2.67541,-9.78968,-2.75482,6.61373,-4.26291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,13:05:14.42,3,3,"DeCicco, Mark",10066000,Right,IlI_SPR,"Meuli, Max",10313996,Right,MCK_MCK,Undefined,1,Top,2,0,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,76.83728,-0.009409,-2.573658,2516.397361,75.633166,8:30,5.97133,2.76497,4.22404,-52.28633,-0.13169,-8.92221,1.60512,-0.44481,68.63045,-9.392965,-4.126218,0.519778,92.34908,-15.537866,-33.666646,,,,,8.82882,8.82882,-21.829708,0.050144,3.3389,0.4911,-2.47242,50,5.91654,5.37247,-110.81285,-2.00255,4.01126,26.03575,-31.58406,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,4ded1d50-4588-11f1-ad20-e1933d56d1fa,72.51642,1.82193,,8.20683,,,,2.74195,1.82193,0.34965,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:05:14.42,2026-05-01T13:05:14.4220000-05:00,2026-05-01T18:05:14.4220000Z,GroundBall,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,e795055d-2ef4-4463-96fb-b2d2bb8ce61e,56.27318,-112.27707,13.01787,5.97922,-0.22629,-15.79203,-2.76822,5.14688,2.00563,,2.74071,108.76168,,,,,,,,1.82235,-36.3337,,,,,,,,0.35047,-72.44358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-05-01,13:05:56.18,4,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Garcia, Javy",1000092379,Right,MCK_MCK,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.30205,0.231652,-2.047201,2564.404514,79.277457,8:45,5.91378,2.64254,4.26251,-54.59058,-0.70846,-14.91536,1.58639,-0.56032,67.71526,-9.548593,-4.645332,0.528316,,,,,,,,,,,,6.40906,0.22185,-2.40292,50,5.8837,4.5366,-108.71915,-1.6063,7.45783,23.9928,-31.91592,IlI_SPR,MCK_MCK,UISBaseballField,D2,Team,20260501-UISBaseballField-2,66d48ab0-4588-11f1-ad20-e1933d56d1fa,71.34449,,,7.58679,,,,,,,d1e1fdab-1df8-415b-8bd1-28176f73f3de,2026-05-01,18:05:56.18,2026-05-01T13:05:56.1840000-05:00,2026-05-01T18:05:56.1840000Z,,v3,643-145058,643-145292,,"Suchoski, Chris",10098381,Right,IlI_SPR,d7ff0aa6-7bfc-47ab-b52a-6ef3e1126502,56.23451,-110.08642,11.9964,5.92341,0.21249,-15.95796,-2.64933,4.1116,3.72892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
