PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:32:40.79,1,1,"Cleaver, Ben",814183,Left,KEN_WIL,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.78802,-2.250875,2.681275,1866.317358,155.639245,11:15,6.15952,-2.56346,6.67341,-23.08297,14.62737,-6.08981,2.17345,-0.61623,77.89101,-6.626866,1.573003,0.441979,73.81448,45.950901,-11.361635,,108.76874,84.41705,-16.41215,229.94032,227.6374,-6.835956,4.812317,3.97685,8.70945,2.3863,50,5.99926,-5.55596,-123.16073,-5.44657,6.1146,24.2265,-18.78293,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,aa442f10-45ad-11f1-afe0-7f9f451f7ffe,85.28108,86.40247,,6.89701,,,,2.53757,2.41749,0.63723,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:32:40.79,2026-05-01T18:32:40.7913472-04:00,2026-05-01T22:32:40.7913472Z,FlyBall,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,d19a9934-060f-41e3-bcfc-d187954fe517,53.82594,-123.91103,12.11325,6.15893,-4.86486,-9.39147,2.5613,-5.74533,3.0573,188.268349,2.54011,73.73342,-15.46266,4.03931,-0.51114,-0.05564,0.03456,-0.00517,0.00027,2.41567,77.84609,-20.5251,1.36359,-0.05605,-0.07191,0.03259,-0.00583,0.00037,0.63614,-14.80263,4.82944,-1.18051,0.12282,0.02951,-0.01293,0.00178,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-05-01,18:33:14.91,2,1,"Cleaver, Ben",814183,Left,KEN_WIL,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.73742,-2.56569,2.969918,1924.348261,151.904593,11:00,5.93202,-2.64784,7.02247,-20.80143,14.94442,-7.35292,1.86232,-0.55928,79.28772,-6.554351,1.623383,0.430313,,,,,,,,,,,,4.78012,9.08634,2.46901,50,5.76847,-6.27645,-125.92885,-6.1438,7.64769,26.45081,-17.63693,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,be9ee860-45ad-11f1-afe0-7f9f451f7ffe,87.59312,,,7.4497,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:33:14.91,2026-05-01T18:33:14.9145088-04:00,2026-05-01T22:33:14.9145088Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,330d6066-3b32-4197-955c-6f598b8d4c86,53.47509,-126.65667,13.2254,5.93084,-5.6585,-8.81846,2.64461,-6.48688,3.82385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:33:28.67,2,2,"Cleaver, Ben",814183,Left,KEN_WIL,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.68651,-1.017,3.385242,1906.188939,149.618463,11:00,5.96663,-2.69176,6.84665,-22.69159,14.22973,-7.62626,3.14663,-0.23698,78.04678,-5.360117,1.994761,0.437331,,,,,,,,,,,,5.01666,8.21595,2.4775,50,5.89302,-7.08193,-124.38718,-2.77717,7.81803,26.18479,-19.37017,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,c6d606d0-45ad-11f1-afe0-7f9f451f7ffe,86.18748,,,7.63973,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:33:28.67,2026-05-01T18:33:28.6720000-04:00,2026-05-01T22:33:28.6720000Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,2a5b657f-b543-4782-ae8f-653247982c84,53.64983,-125.15315,13.09239,5.96597,-2.21055,-9.68509,2.68801,-7.31063,3.90902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:33:42.32,2,3,"Cleaver, Ben",814183,Left,KEN_WIL,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,0,2,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.66052,-0.40619,2.223389,1957.960868,149.399761,11:00,6.0264,-2.65529,6.95135,-21.78501,15.71859,-8.58233,3.84108,-1.34622,77.23556,-4.598617,0.653135,0.440766,,,,,,,,,,,,5.18059,8.85123,2.5195,50,5.99325,-4.4764,-123.07729,-1.38225,7.92206,25.12901,-18.63894,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,cef83db0-45ad-11f1-afe0-7f9f451f7ffe,85.51579,,,7.42497,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:33:42.32,2026-05-01T18:33:42.3260000-04:00,2026-05-01T22:33:42.3260000Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,525291bc-95c0-45f2-a2ec-1eac19d8d4d9,53.54526,-123.79902,12.5645,6.02527,-0.84692,-9.31947,2.65133,-4.70393,3.96103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,18:33:56.31,2,4,"Cleaver, Ben",814183,Left,KEN_WIL,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,1,2,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,69.97442,-0.800745,2.311829,1958.897459,326.636378,5:00,5.97948,-2.4473,6.04698,-69.49964,-12.07312,9.20611,-0.55411,0.46126,64.73016,-13.438494,3.976899,0.545416,,,,,,,,,,,,-4.06339,-5.60949,2.26216,50,5.87931,-4.38883,-101.61705,-3.33984,-4.18088,19.1326,-37.94577,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,d75867f0-45ad-11f1-afe0-7f9f451f7ffe,69.10771,,,5.24426,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:33:56.31,2026-05-01T18:33:56.3170000-04:00,2026-05-01T22:33:56.3170000Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,bc0bd7e5-b12f-4ad4-b7e2-ab34e239adf6,54.45608,-102.45261,9.5663,5.98898,-1.68266,-18.97289,2.44984,-4.20624,-2.09044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:34:12.94,2,5,"Cleaver, Ben",814183,Left,KEN_WIL,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,69.43355,1.548287,1.403195,1914.495315,338.665196,5:15,5.9642,-2.43527,7.04386,-70.15988,-13.84804,6.17681,1.52472,-0.64566,63.47725,-11.564794,2.540134,0.540096,,,,,,,,,,,,-2.8124,-7.2637,2.34898,50,6.03763,-2.65007,-100.99003,1.06085,-2.84356,19.66499,-39.51822,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,e1461000-45ad-11f1-afe0-7f9f451f7ffe,69.78836,,,5.9563,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:34:12.94,2026-05-01T18:34:12.9420000-04:00,2026-05-01T22:34:12.9420000Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,c4146605-acfe-40e4-82d4-91b0892fb18b,53.45794,-101.66114,9.8325,5.97842,2.40948,-19.75911,2.43776,-2.55302,-1.42178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5956,2.361269,1.193984,1.167285,0.18095,1.26785,0.59054,-5.70368,2.72379,4.03561,70.47602,7.8506,54.29431,-5.59148,73.87573,-7.46506,2.81176,22.75775,-15.80029,4.02275,44.43336,-1.17014,High,High,High,,,High,High,High
7,2026-05-01,18:34:43.76,3,1,"Cleaver, Ben",814183,Left,KEN_WIL,"Grimmer, Blake",804084,Left,TEN_VOL,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.31456,-3.11334,2.15072,1968.593903,151.47309,11:00,6.02835,-2.64583,6.89006,-20.80938,15.62713,-7.81524,1.45302,-1.33676,78.6204,-7.100529,0.721401,0.43445,,,,,,,,,,,,4.78591,9.62111,2.51223,50,5.82378,-4.42235,-125.25093,-7.31831,7.5404,27.23325,-17.01564,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,f3925bb0-45ad-11f1-afe0-7f9f451f7ffe,86.75898,,,7.69417,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:34:43.76,2026-05-01T18:34:43.7670000-04:00,2026-05-01T22:34:43.7670000Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,8b1ceca4-aea3-479b-a27a-31b516b97d70,53.60645,-126.03264,13.61663,6.02684,-6.82989,-8.50782,2.64228,-4.63879,3.7702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,18:35:00.72,3,2,"Cleaver, Ben",814183,Left,KEN_WIL,"Grimmer, Blake",804084,Left,TEN_VOL,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.72018,-2.926283,3.607226,1985.49059,151.770189,11:00,5.96151,-2.58862,7.07883,-21.51859,15.00985,-7.42252,1.50435,0.07165,78.52147,-7.044319,2.247785,0.434998,,,,,,,,,,,,4.99268,9.23705,2.37438,50,5.77871,-7.58685,-124.36252,-6.87104,7.80361,25.3994,-17.7365,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,fdabceb0-45ad-11f1-afe0-7f9f451f7ffe,86.64972,,,7.19871,,,,,,,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:35:00.72,2026-05-01T18:35:00.7280000-04:00,2026-05-01T22:35:00.7280000Z,,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,4b9eadaa-7aa7-40dc-8017-8b3c2d720af5,53.4189,-125.05884,12.6997,5.96041,-6.3848,-8.86825,2.5853,-7.80078,3.9018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,18:35:18.58,3,3,"Cleaver, Ben",814183,Left,KEN_WIL,"Grimmer, Blake",804084,Left,TEN_VOL,Undefined,1,Top,2,1,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.21909,-2.076847,4.181084,2075.023626,162.729447,11:30,5.99574,-2.64804,7.16199,-20.0454,15.95131,-4.59914,2.43718,0.76478,78.87584,-5.936832,3.339042,0.43182,65.49807,-31.222417,37.840219,,,,,5.03569,5.03569,19.996124,0.049002,3.68091,9.53371,2.40472,50,5.86762,-8.99445,-125.1126,-4.9966,5.81875,25.87376,-17.10319,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,0853c610-45ae-11f1-afe0-7f9f451f7ffe,87.28734,2.45003,,7.34325,,,,1.54012,2.45003,-0.75757,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:35:18.58,2026-05-01T18:35:18.5800000-04:00,2026-05-01T22:35:18.5800000Z,GroundBall,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Jenkins, Owen",10073432,Right,KEN_WIL,cee32b63-f8e3-46ff-ac9f-5a95327c9e38,53.33676,-125.80076,12.93688,5.99447,-4.54172,-8.55159,2.64601,-9.14921,2.90937,,1.53803,65.14031,,,,,,,,2.45163,-49.99872,,,,,,,,-0.75919,50.60128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-05-01,18:38:11.54,1,1,"Kuhns, Tegan",815158,Right,TEN_VOL,"Tharnish, Jayce",814421,Right,KEN_WIL,Undefined,1,Bottom,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,94.53313,-1.975407,-2.537276,2279.386127,218.827115,1:15,5.51689,1.57951,6.0963,-14.62249,16.73698,12.58701,2.46877,0.28015,85.52989,-4.791123,-0.271622,0.403047,105.02414,7.45318,-20.318832,1782.122798,101.13661,5.74723,-43.25738,149.37877,149.09655,-24.448547,1.155261,-7.30933,9.57981,-1.39078,50,5.35702,5.52955,-137.08899,-5.15275,-13.76037,33.3461,-14.13934,KEN_WIL,TEN_VOL,UKentucky,D1,SEC,20260501-UKentucky-1,6f62d490-45ae-11f1-afe0-7f9f451f7ffe,93.51872,7.36837,,9.00324,,,,2.37727,2.52981,-0.29719,98d9b678-eb6e-4e54-8d5f-5af1aba74104,2026-05-01,22:38:11.54,2026-05-01T18:38:11.5490000-04:00,2026-05-01T22:38:11.5490000Z,LineDrive,v3,471331,471459,2e66c6b61e0c4ccdbeb9b88ae350a2fe,"Wright, Garrett",835226,Right,TEN_VOL,f92b81fe-af4a-4e82-a943-a7128aeceee6,54.40178,-138.15555,16.67305,5.5146,-4.70051,-7.06967,-1.57468,5.96967,-6.88018,81.858339,2.37727,143.22985,-28.92343,5.54416,-1.27118,0.28094,-0.06285,0.01195,-0.00129,2.52981,19.98082,-21.92866,3.00715,-0.71702,0.1824,-0.04262,0.00847,-0.00096,-0.29719,-53.03586,-1.90675,2.08979,-0.71607,0.2187,-0.05803,0.01229,-0.00143,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
