PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:36:20.00,1,1,"Smith, Kaden",10106531,Right,USF_BUL,"Lipsey, Marshall",702587,Right,FAU_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.70389,-1.306897,-1.560437,2439.471016,187.412085,12:15,6.07052,0.73637,5.98926,-10.96237,19.06903,2.3461,3.9451,-0.51469,87.46906,-3.454992,-1.138866,0.39442,,,,,,,,,,,,-1.67224,10.46473,-0.61453,50,5.96124,3.71276,-140.2934,-3.473,-3.30185,34.49602,-11.51157,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,2ceb24f0-45ae-11f1-851d-87db5f77532a,95.56418,,,9.23483,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:36:20.00,2026-05-01T18:36:20.0074752-04:00,2026-05-01T22:36:20.0074752Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,e9bd22cd-4000-45ad-aff9-5335676d80bf,54.50735,-141.39734,17.24801,6.06649,-3.1046,-5.75578,-0.73503,3.81843,-1.65093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,18:36:40.50,1,2,"Smith, Kaden",10106531,Right,USF_BUL,"Lipsey, Marshall",702587,Right,FAU_OWL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,97.30032,-2.072261,-3.367823,2354.66374,189.883268,12:15,6.04281,0.84641,6.0367,-10.7369,18.9595,3.12417,3.22506,-2.01533,88.06981,-4.174369,-2.807346,0.392214,,,,,,,,,,,,-2.66654,10.75638,-0.58509,50,5.87522,8.15972,-140.99275,-5.39351,-5.31231,35.13763,-10.74493,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,391af4d0-45ae-11f1-851d-87db5f77532a,96.10167,,,9.23052,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:36:40.50,2026-05-01T18:36:40.5053952-04:00,2026-05-01T22:36:40.5053952Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,b4ec5033-b159-4f94-9c82-e4934cc538a9,54.46342,-142.10075,17.56882,6.03995,-5.05469,-5.37247,-0.84503,8.32724,-2.65616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:37:26.25,2,1,"Smith, Kaden",10106531,Right,USF_BUL,"Romano, Nick",804507,Left,FAU_OWL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.07511,-0.532815,-0.487089,2994.117026,42.882302,7:30,6.09519,1.16837,5.43677,-54.80109,-12.98572,-13.42052,1.02946,-0.40615,75.65931,-10.457375,-2.885284,0.465414,,,,,,,,,,,,6.63658,-6.01177,-1.11557,50,6.00982,1.57799,-120.52771,-3.13467,9.57556,27.60806,-40.84811,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,546d95d0-45ae-11f1-851d-87db5f77532a,80.98691,,,7.4158,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:37:26.25,2026-05-01T18:37:26.2592512-04:00,2026-05-01T22:37:26.2592512Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,22831368-885b-479a-af03-3dc2cafd3f8a,55.06548,-121.68248,13.80403,6.1052,-1.42611,-20.42406,-1.1732,1.17747,4.78778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:37:42.21,2,2,"Smith, Kaden",10106531,Right,USF_BUL,"Romano, Nick",804507,Left,FAU_OWL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.71905,-4.89987,-2.078176,2394.672151,194.778229,12:30,5.87982,1.2627,5.87786,-12.04666,18.99029,4.71524,0.3111,-0.2753,86.71392,-7.220938,-1.232801,0.400969,,,,,,,,,,,,-3.07378,11.5943,-1.09753,50,5.47597,4.80937,-138.35979,-12.20424,-5.89194,34.08483,-9.94955,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,5e133860-45ae-11f1-851d-87db5f77532a,94.00337,,,9.00513,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:37:42.21,2026-05-01T18:37:42.2189056-04:00,2026-05-01T22:37:42.2189056Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,07e8bf1b-6b82-496c-8877-f4632bf2d4e2,54.62113,-139.49356,17.04242,5.87642,-11.87328,-4.97478,-1.26076,5.00535,-2.94597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,18:38:29.40,2,3,"Smith, Kaden",10106531,Right,USF_BUL,"Romano, Nick",804507,Left,FAU_OWL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.50537,-3.829578,-2.545691,2393.900118,196.944217,12:30,5.97724,0.79249,6.14989,-11.80075,18.95379,5.44362,1.44657,-1.10762,86.53287,-6.124701,-1.565332,0.399141,,,,,,,,,,,,-3.59595,11.29434,-0.6015,50,5.67915,5.90823,-138.26264,-9.56272,-6.89149,33.69604,-10.52884,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,7a06d450-45ae-11f1-851d-87db5f77532a,94.43398,,,8.97251,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:38:29.40,2026-05-01T18:38:29.4027264-04:00,2026-05-01T22:38:29.4027264Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,b77c0db7-aa39-4f9f-bfb2-d6171bec2b49,54.34832,-139.31834,16.84802,5.97358,-9.23285,-5.26442,-0.78999,6.12414,-3.44575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:38:45.81,2,4,"Smith, Kaden",10106531,Right,USF_BUL,"Romano, Nick",804507,Left,FAU_OWL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,95.73667,-3.268727,-0.695508,2320.434431,201.102977,12:45,5.90839,1.1982,5.95605,-12.14469,18.5871,6.75929,1.86148,1.11644,86.77913,-5.618763,0.519253,0.398993,,,,,,,,,,,,-3.65717,10.82111,-1.1466,50,5.64157,1.3734,-138.74802,-8.24864,-7.06562,33.62847,-11.26787,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,83d582b0-45ae-11f1-851d-87db5f77532a,94.46893,,,8.95753,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:38:45.81,2026-05-01T18:38:45.8128896-04:00,2026-05-01T22:38:45.8128896Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,5460b7c7-1249-4219-84cb-e668a7448752,54.54094,-139.84428,16.81424,5.90449,-7.88132,-5.63393,-1.19512,1.60374,-3.53281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,18:39:17.13,3,1,"Smith, Kaden",10106531,Right,USF_BUL,"Perazza, Michael",814111,Left,FAU_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.98244,-2.043717,-2.257584,2425.370578,200.49174,12:45,5.92324,1.19191,6.13805,-12.5467,17.78013,6.25422,2.98661,-0.37445,86.94968,-4.479253,-1.131089,0.396355,,,,,,,,,,,,-3.89851,10.09335,-1.02273,50,5.76056,5.2067,-139.19828,-5.30249,-7.58314,33.75892,-12.54111,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,967b3900-45ae-11f1-851d-87db5f77532a,95.09757,,,9.03277,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:39:17.13,2026-05-01T18:39:17.1399168-04:00,2026-05-01T22:39:17.1399168Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,901b3940-da48-434d-a65d-153fcc976cf4,54.35932,-140.25154,16.87946,5.91989,-4.91121,-6.27055,-1.18886,5.44329,-3.79157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,18:39:33.06,3,2,"Smith, Kaden",10106531,Right,USF_BUL,"Perazza, Michael",814111,Left,FAU_OWL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.74831,-0.129929,-1.00543,2936.754337,42.68284,7:30,6.09858,1.21699,4.95326,-56.98531,-13.86493,-14.23662,1.22702,-0.9195,75.01859,-10.369945,-3.525345,0.472621,,,,,,,,,,,,6.72851,-6.42811,-1.10707,50,6.03856,2.72458,-119.8828,-2.49708,9.56535,28.17634,-41.31235,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,a0136e10-45ae-11f1-851d-87db5f77532a,79.75198,,,7.72973,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:39:33.06,2026-05-01T18:39:33.0626048-04:00,2026-05-01T22:39:33.0626048Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,748b507f-d396-40dd-bd18-3a952ac4df39,55.5484,-121.17984,14.08817,6.10973,-0.59536,-20.65618,-1.22236,2.28426,4.78267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,18:39:50.46,3,3,"Smith, Kaden",10106531,Right,USF_BUL,"Perazza, Michael",814111,Left,FAU_OWL,Undefined,1,Top,0,1,1,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,82.47887,-0.788096,-2.69788,3095.705296,53.163499,7:45,5.97963,1.31984,5.16561,-53.46751,-9.98245,-15.5541,0.78141,-2.51738,74.3697,-10.435986,-5.454131,0.474615,,,,,,,,,,,,6.77819,-4.24044,-1.05567,50,5.86525,6.2858,-119.28336,-3.65108,9.46384,29.55322,-38.09467,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,aa63a880-45ae-11f1-851d-87db5f77532a,79.41688,,,8.10917,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:39:50.46,2026-05-01T18:39:50.4680448-04:00,2026-05-01T22:39:50.4680448Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,0043aedd-5f5a-4677-bf43-4e72319b7171,55.33387,-120.59762,14.77661,5.98994,-1.95697,-19.04734,-1.32585,5.86493,4.73192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-01,18:41:16.14,4,1,"Smith, Kaden",10106531,Right,USF_BUL,"Collier, Ian",822899,Right,FAU_OWL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.49555,-2.241805,-2.231927,2771.277033,49.388475,7:45,5.89725,1.15532,5.4641,-39.45565,-2.43169,-4.11355,0.50837,-1.27753,80.99773,-9.376822,-2.965481,0.437938,,,,,,,,,,,,1.4976,-0.36953,-0.95578,50,5.6722,5.12081,-126.97157,-6.44747,2.45141,25.34402,-32.77889,USF_BUL,FAU_OWL,USFBaseballStadium,D1,AMER,20260501-USFBaseballStadium-1,dd6e85b0-45ae-11f1-851d-87db5f77532a,86.06792,,,6.49782,,,,,,,2de5065b-6321-4cb2-9d3d-cc22ef394648,2026-05-01,22:41:16.14,2026-05-01T18:41:16.1485824-04:00,2026-05-01T22:41:16.1485824Z,,v3,471443,339,acec6abb246c4a0dace0702ae3e2f59c,"Trippel, Lance",804841,Right,USF_BUL,30221d18-4ac1-4b77-98ff-5e8c2a273492,55.03834,-127.97329,12.67201,5.90143,-5.15189,-16.38945,-1.15627,5.02392,1.22571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
