PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,17:02:33.68,1,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Wilson, Evan",10099027,Left,RIC_SPI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.46596,-0.731909,-1.154479,1960.218819,203.262535,12:45,6.08948,1.18336,6.05787,-15.83851,18.38442,7.39477,4.09197,0.73086,81.82709,-3.785789,0.176594,0.421047,,,,,,,,,,,,-4.12906,10.0093,-1.09741,50,6.02402,2.32553,-131.28925,-2.10393,-7.1358,30.35707,-14.87616,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,142471e0-45a1-11f1-8edc-ed7e091614da,89.52084,,,8.63887,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:02:33.68,2026-05-01T17:02:33.6880000-04:00,2026-05-01T21:02:33.6880000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,fb7ce419-b75a-4bc6-bf6d-84d9b7b5ebc1,54.43858,-132.31157,15.17854,6.08643,-1.60295,-7.43808,-1.17978,2.56584,-3.5679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,17:02:49.15,1,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Wilson, Evan",10099027,Left,RIC_SPI,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.33577,-1.254471,-2.339608,2021.234325,226.527698,1:30,6.00709,1.1896,6.12904,-22.34836,13.30737,12.78957,2.98399,0.09156,80.44705,-5.472662,-0.034881,0.42977,94.96227,21.799866,-25.595679,3553.369405,96.0801,38.3861,-53.55866,326.98008,315.82463,-35.877263,3.738371,-7.3013,7.59528,-1.01726,50,5.89951,4.7212,-128.22523,-3.48742,-12.09343,27.78854,-19.5937,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,1ca89ee0-45a1-11f1-8edc-ed7e091614da,87.70378,46.85709,,7.88871,,,,0.86888,2.9739,-0.04233,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:02:49.15,2026-05-01T17:02:49.1550000-04:00,2026-05-01T21:02:49.1550000Z,LineDrive,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,706189c5-8b53-4ecd-8498-97413e4457ab,54.37047,-129.16891,13.89427,6.00664,-2.82203,-9.79685,-1.18456,5.13189,-6.04672,132.124782,0.86849,116.64086,-23.34919,5.6137,-1.32585,0.3079,-0.06447,0.00896,-0.00053,2.97426,51.71086,-16.05099,0.27441,0.24126,-0.1139,0.02956,-0.00354,0.00013,-0.04224,-55.86814,-0.22534,1.23984,-0.45398,0.0996,-0.01337,0.00081,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-05-01,17:03:19.51,2,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Elko, Michael",812439,Left,RIC_SPI,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.02485,0.4765,-1.345776,2087.743881,224.053852,1:30,6.07595,1.18045,5.81029,-21.49312,13.18343,11.6676,4.7281,0.90105,81.87954,-3.569258,0.744573,0.423828,,,,,,,,,,,,-6.30918,6.92075,-1.07695,50,6.10232,2.55851,-130.69615,0.38813,-10.87417,28.45631,-20.24575,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,2edfb4e0-45a1-11f1-8edc-ed7e091614da,88.93344,,,8.14531,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:03:19.51,2026-05-01T17:03:19.5130000-04:00,2026-05-01T21:03:19.5130000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,5f4c3d39-108e-4413-9cd2-a2be446098ec,54.68789,-131.71288,14.22816,6.07553,1.1115,-10.12287,-1.17531,2.94704,-5.43708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,17:03:36.50,2,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Elko, Michael",812439,Left,RIC_SPI,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.70525,1.224714,-0.368841,1988.920428,18.536025,6:30,6.08911,1.06347,5.4766,-58.20936,-8.36878,-3.35792,2.38456,0.4385,69.29535,-9.370185,-0.968334,0.508116,,,,,,,,,,,,1.57717,-4.07134,-1.02874,50,6.15709,0.83531,-109.88973,0.41561,1.9117,21.06328,-37.10893,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,398f4d60-45a1-11f1-8edc-ed7e091614da,74.18075,,,6.40991,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:03:36.50,2026-05-01T17:03:36.5080000-04:00,2026-05-01T21:03:36.5080000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,1c8af14b-4944-457b-a459-f5a119eb271e,55.02487,-110.8487,10.53164,6.09971,2.1051,-18.55447,-1.06479,0.74827,0.95585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,17:03:51.69,2,3,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Elko, Michael",812439,Left,RIC_SPI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.856,-0.609463,-2.392502,1911.782095,221.745911,1:30,6.05732,1.1167,5.76107,-23.82619,10.93792,8.78658,3.50402,-0.37928,82.18724,-5.051102,-0.820592,0.424362,,,,,,,,,,,,-5.11319,6.07378,-0.92368,50,5.99238,5.06458,-130.41942,-2.19895,-8.81663,27.14084,-21.70107,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,41eb8000-45a1-11f1-8edc-ed7e091614da,88.82134,,,7.66876,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:03:51.69,2026-05-01T17:03:51.6910000-04:00,2026-05-01T21:03:51.6910000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,eca1497f-ea6a-4e50-8cf4-598d043c5061,54.73765,-131.40165,13.57042,6.05775,-1.41359,-10.85054,-1.11274,5.38365,-4.40832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,17:04:08.19,2,4,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Elko, Michael",812439,Left,RIC_SPI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.02012,-1.904904,-2.621228,1938.049996,203.874894,12:45,6.05385,1.17528,6.20828,-17.23599,17.78068,7.35611,2.85685,-0.63274,81.08754,-5.202246,-1.294839,0.425901,,,,,,,,,,,,-4.54945,10.09619,-0.98191,50,5.90188,5.61021,-129.14374,-4.7665,-7.65397,27.85158,-15.18828,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,4be7f520-45a1-11f1-8edc-ed7e091614da,88.50046,,,7.93258,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:04:08.19,2026-05-01T17:04:08.1940000-04:00,2026-05-01T21:04:08.1940000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,912e4cc3-2694-466b-9881-d4bc1e6eb825,54.28969,-130.06558,13.92579,6.05133,-4.2638,-7.59414,-1.17179,5.86354,-3.82699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,17:04:26.19,2,5,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Elko, Michael",812439,Left,RIC_SPI,Undefined,1,Top,1,2,2,Cutter,Slider,InPlay,Undefined,LineDrive,Single,0,0,,83.20533,-1.415916,-0.778828,2366.446586,87.168993,9:00,5.86751,1.34733,5.49723,-40.14191,0.88555,-8.2954,1.19753,-0.0725,76.5172,-8.728904,-2.259942,0.461008,90.5329,10.291383,-1.009849,1110.765796,109.85974,11.17739,-5.54745,199.08459,199.08459,-4.556556,1.810917,3.99902,1.19598,-1.27334,50,5.71632,1.97705,-120.79966,-4.39489,5.89162,24.18362,-30.41206,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,5685b350-45a1-11f1-8edc-ed7e091614da,81.76087,11.21338,,6.68812,,,,1.48217,1.20978,0.06587,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:04:26.19,2026-05-01T17:04:26.1910000-04:00,2026-05-01T21:04:26.1910000Z,LineDrive,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,469588a0-b386-4640-b94e-3bdf8d5bfbb5,55.00406,-121.79733,12.09181,5.87175,-3.14027,-15.20603,-1.34989,1.734,2.94581,128.742093,1.48217,130.62488,-15.74717,2.75471,-0.53271,0.09769,-0.01738,0.00263,-0.00021,1.20978,23.72195,-14.67748,0.80741,-0.11133,0.02254,-0.00246,0.00031,-4E-05,0.06587,-2.30253,-5.04573,1.18057,-0.28177,0.06004,-0.01172,0.00179,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-05-01,17:05:02.11,3,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.64393,-0.118289,-1.083858,2072.065295,198.41859,12:30,6.06524,1.20284,6.19634,-14.82603,19.07899,5.96552,4.72051,0.69924,81.92954,-2.999026,-0.007365,0.419086,,,,,,,,,,,,-3.39477,10.22134,-1.12404,50,6.04861,2.23526,-131.58874,-0.64362,-5.89193,30.56713,-14.43393,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,6bfc3ce0-45a1-11f1-8edc-ed7e091614da,89.93954,,,8.71438,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:05:02.11,2026-05-01T17:05:02.1150000-04:00,2026-05-01T21:05:02.1150000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,4dca628c-5194-40a5-93d7-1a0b6ae0a3ae,54.3001,-132.58387,15.28357,6.06192,-0.17372,-7.21697,-1.19993,2.42708,-2.94596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,17:06:00.59,3,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,Undefined,1,Top,1,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.9988,-1.086888,-1.597651,1986.70866,224.769966,1:30,6.01396,1.10431,5.91616,-20.633,13.81446,12.62213,3.28531,0.67303,82.281,-4.968351,0.668794,0.422425,71.44558,28.24786,143.83298,4428.254792,,,,,53.83124,,,-6.90914,7.71241,-0.98342,50,5.91507,3.10901,-130.7127,-3.13679,-11.95186,27.58954,-18.83264,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,8ec59280-45a1-11f1-8edc-ed7e091614da,89.22862,25.87307,,7.71781,,,,-0.11219,3.15013,-0.75404,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:06:00.59,2026-05-01T17:06:00.5920000-04:00,2026-05-01T21:06:00.5920000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,6a7b7b0b-6202-470d-87a9-0acd80212410,54.58344,-131.67658,13.79477,6.01316,-2.47885,-9.41632,-1.09933,3.52656,-5.97593,,-0.11219,-74.51983,4.92895,-1.07493,0.07571,0.0316,-0.01673,0.00492,-0.0007,3.15013,49.59415,-22.91078,1.8259,-0.10418,-0.046,0.02129,-0.00606,0.00101,-0.75404,54.47442,-16.69507,5.39781,-1.36789,0.32066,-0.0739,0.0159,-0.00249,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-05-01,17:06:20.95,3,3,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1807,0.339136,-2.591691,2057.71219,208.14823,1:00,6.12802,0.8379,5.97881,-19.90076,14.54438,7.17185,4.78432,-0.96853,81.84517,-3.434201,-1.304508,0.422411,,,,,,,,,,,,-4.42268,7.69745,-0.63676,50,6.14383,5.61274,-130.82728,0.16477,-7.62389,28.98812,-18.90501,DAV_WIL,RIC_SPI,WilsonField,D1,A10,20260501-WilsonField-1,9ae64730-45a1-11f1-8edc-ed7e091614da,89.23164,,,8.33553,,,,,,,2694124e-363d-4f5d-8e60-a19ae2df63c3,2026-05-01,21:06:20.95,2026-05-01T17:06:20.9510000-04:00,2026-05-01T21:06:20.9510000Z,,v3,471280,471420,e1b81c3f671a47fc97b2a2e092db7701,"Brooks, Will",10105612,Right,DAV_WIL,422240b7-14da-4385-8e61-1b3deda50ff8,54.51878,-131.82473,14.49406,6.12697,0.81527,-9.4525,-0.8344,5.87507,-3.81195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.22616,1.896096,0.557619,1.338477,-0.79781,4.64784,1.01793,-2.00214,6.28814,1.31992,127.28013,1.38797,7.30793,-1.88031,108.06549,-8.7545,6.32826,13.67067,-13.01316,1.29488,2.85558,1.24561,High,High,High,,,High,High,High
