PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,17:37:08.61,1,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Lyda, Jackson",1000426737,Left,WCC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.83201,-2.468853,-1.727909,2504.5206,207.918698,1:00,5.86904,2.01197,4.74578,-13.61835,21.96281,10.99638,2.38985,1.28884,82.53679,-5.051621,0.203114,0.42932,,,,,,,,,,,,-5.87429,11.82233,-1.84834,50,5.60945,3.42111,-131.48799,-6.11291,-10.24687,28.82355,-11.55172,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,e808d790-45a5-11f1-9cce-f32ca4e8183a,87.79558,,,8.29522,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:37:08.61,2026-05-01T17:37:08.6133760-04:00,2026-05-01T21:37:08.6133760Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,9f0ae5af-e08f-4949-98ac-96e02bf8edc6,55.75429,-132.7434,14.41178,5.86474,-5.60977,-5.77586,-2.00707,3.86741,-5.12344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,17:37:24.30,1,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Lyda, Jackson",1000426737,Left,WCC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.23026,-2.286814,-2.078653,2541.505523,205.340834,12:45,5.93593,1.82003,4.94132,-15.19253,19.77552,8.81138,2.50598,0.58885,83.04147,-5.148725,-0.526167,0.425605,,,,,,,,,,,,-4.94008,10.76131,-1.62559,50,5.70164,4.36754,-132.11934,-5.7912,-8.71094,28.77842,-13.19845,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,f15e3740-45a5-11f1-9cce-f32ca4e8183a,88.56197,,,8.1888,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:37:24.30,2026-05-01T17:37:24.3000832-04:00,2026-05-01T21:37:24.3000832Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,e9931b65-ef08-40c6-a78c-9c916621b85a,55.5592,-133.32476,14.38921,5.93263,-5.23837,-6.59923,-1.81617,4.73241,-4.35547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,17:37:40.70,1,3,"Bouchard, Alec",1000295524,Right,WOF_TER,"Lyda, Jackson",1000426737,Left,WCC,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.3155,-1.199868,-2.807894,1818.810173,266.323954,3:00,5.88013,1.89987,4.83565,-35.55608,2.57977,21.52233,1.77935,1.03226,80.16926,-7.621203,0.982338,0.444466,66.42328,-16.232441,31.738935,,,,,8.05975,7.98311,16.071984,0.066552,-11.44981,1.91949,-1.64134,50,5.73049,5.22157,-126.58845,-4.08137,-18.60137,25.55084,-29.05563,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,fb32b200-45a5-11f1-9cce-f32ca4e8183a,84.80394,1.81752,,7.14624,,,,2.43556,1.81752,-1.0527,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:37:40.70,2026-05-01T17:37:40.7080448-04:00,2026-05-01T21:37:40.7080448Z,GroundBall,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,1a6208df-09d4-4351-823d-b05c8e6bca0a,55.66926,-127.72762,12.77542,5.88357,-2.78594,-14.52781,-1.89262,6.0509,-9.30069,180,2.43315,79.77419,,,,,,,,1.81835,-27.30957,,,,,,,,-1.05419,49.34446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-05-01,17:38:19.61,2,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Turner, Trent",1000363705,Right,WCC,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.28057,-1.408791,-1.645868,2628.08722,11.062378,6:15,6.25755,1.39313,4.44698,-41.76727,-0.2035,-0.23406,1.43247,-0.19657,78.45151,-8.808312,-1.686841,0.464011,,,,,,,,,,,,-0.22685,0.4372,-1.21867,50,6.06702,3.4886,-121.05085,-4.67636,-0.34498,18.10834,-31.50919,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,12589940-45a6-11f1-9cce-f32ca4e8183a,81.2317,,,4.82906,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:38:19.61,2026-05-01T17:38:19.6139520-04:00,2026-05-01T21:38:19.6139520Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,37dd6568-4516-4916-b81f-1b26bbf82302,56.05944,-121.95392,9.05417,6.26105,-3.10497,-15.7546,-1.39308,3.50581,-0.17249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-01,17:38:40.52,2,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Turner, Trent",1000363705,Right,WCC,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.38087,-2.033664,-3.022042,2590.508937,207.937648,1:00,5.85655,1.91594,5.1417,-12.53347,21.24942,10.68469,2.89366,-0.04196,84.21861,-4.430085,-1.134963,0.418331,,,,,,,,,,,,-6.13847,11.45146,-1.64113,50,5.65662,6.54853,-133.80083,-5.13825,-11.13383,28.72734,-11.4036,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,1ec942b0-45a6-11f1-9cce-f32ca4e8183a,90.10202,,,8.16226,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:38:40.52,2026-05-01T17:38:40.5237760-04:00,2026-05-01T21:38:40.5237760Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,aad61d29-3a5d-4d21-a9de-8e4a7be6b386,55.3593,-134.94658,14.36367,5.85249,-4.68344,-5.7018,-1.91116,6.99259,-5.56692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,17:38:57.48,2,3,"Bouchard, Alec",1000295524,Right,WOF_TER,"Turner, Trent",1000363705,Right,WCC,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.24265,-0.769544,-1.739261,2528.565411,46.034615,7:30,6.25754,1.46501,4.49736,-47.57329,-5.97461,-7.22859,1.55944,-0.79519,78.37854,-9.187694,-3.005791,0.464207,,,,,,,,,,,,3.18894,-2.52725,-1.27505,50,6.13018,3.99374,-121.02056,-3.56795,4.83377,18.73003,-36.00484,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,28fa8370-45a6-11f1-9cce-f32ca4e8183a,81.19756,,,4.86411,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:38:57.48,2026-05-01T17:38:57.4849536-04:00,2026-05-01T21:38:57.4849536Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,f901f459-dd56-48b5-973a-11d0cad5c6e7,56.01002,-121.94717,9.36502,6.26264,-1.78673,-18.00242,-1.46671,3.75461,2.41689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-01,17:39:18.56,2,4,"Bouchard, Alec",1000295524,Right,WOF_TER,"Turner, Trent",1000363705,Right,WCC,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.90685,-1.030219,-2.762237,2580.019672,58.97812,8:00,6.28937,1.34596,4.29189,-46.50625,-2.83461,-6.6276,1.42723,-1.85037,76.61726,-9.24415,-3.917226,0.475632,,,,,,,,,,,,2.57225,-0.8,-1.03878,50,6.12947,6.03243,-118.82967,-4.04854,3.73389,19.52205,-33.33533,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,357e3fb0-45a6-11f1-9cce-f32ca4e8183a,79.24706,,,5.28959,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:39:18.56,2026-05-01T17:39:18.5698304-04:00,2026-05-01T21:39:18.5698304Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,8bacdbd8-10ac-43b5-b94f-3e59fddc3f36,56.21344,-119.8461,9.76103,6.29508,-2.31291,-16.66767,-1.3478,5.83802,1.86695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-01,17:39:50.52,3,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Fox, Walker",1000466402,Left,WCC,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.92173,-0.716996,-2.04588,2648.884179,209.910193,1:00,5.85439,1.98771,5.12109,-15.56355,18.48245,10.00875,3.88156,0.89375,83.84692,-3.651319,-0.27668,0.419957,,,,,,,,,,,,-5.52614,9.70272,-1.8033,50,5.77536,4.28047,-133.30691,-2.19308,-9.95432,28.38158,-14.69639,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,4887e7f0-45a6-11f1-9cce-f32ca4e8183a,89.7532,,,8.07481,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:39:50.52,2026-05-01T17:39:50.5244160-04:00,2026-05-01T21:39:50.5244160Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,1961ebd6-a2c7-4302-a869-ef7153b7a63d,55.37976,-134.44741,14.19079,5.85162,-1.60252,-7.3482,-1.98335,4.68048,-4.97716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,17:40:06.80,3,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Fox, Walker",1000466402,Left,WCC,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.57843,-1.830854,-1.621793,2607.251433,207.269174,1:00,5.83077,1.91254,5.07925,-14.12331,20.31021,9.88776,2.92656,1.2072,83.44955,-4.509281,0.125345,0.42234,,,,,,,,,,,,-5.35142,10.92221,-1.76691,50,5.64663,3.28214,-132.74656,-4.69839,-9.54028,28.65654,-12.70238,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,523bbb50-45a6-11f1-9cce-f32ca4e8183a,89.24668,,,8.12888,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:40:06.80,2026-05-01T17:40:06.8071936-04:00,2026-05-01T21:40:06.8071936Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,2f231f83-0c74-454a-8998-1127a518ddd3,55.42137,-133.91178,14.32827,5.82718,-4.18189,-6.35119,-1.90825,3.67007,-4.77014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-01,17:40:26.08,3,3,"Bouchard, Alec",1000295524,Right,WOF_TER,"Fox, Walker",1000466402,Left,WCC,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.04689,-1.421261,-2.494493,2043.148579,271.391116,3:00,5.75672,1.86296,4.84149,-36.97825,0.74878,20.69997,1.32789,1.22449,80.43241,-8.097565,1.153752,0.442077,,,,,,,,,,,,-10.90816,1.16504,-1.63468,50,5.58433,4.57727,-127.56059,-4.68238,-17.88074,27.49899,-30.26427,WOF_TER,WCC,WoffordCollege,D1,SOCON,20260501-WoffordCollege-2,5db70840-45a6-11f1-9cce-f32ca4e8183a,85.26222,,,7.61447,,,,,,,29980281-9452-4b35-bc89-faaae294a7e4,2026-05-01,21:40:26.08,2026-05-01T17:40:26.0813312-04:00,2026-05-01T21:40:26.0813312Z,,v3,471512,471488,8af819b5ece944b19d6f902b8ed3d3e0,"Manning, Lucas",809053,Right,WOF_TER,39fd1d73-90a2-470e-8503-25d2832f06b1,55.66163,-128.77532,13.7495,5.76164,-3.3455,-15.13214,-1.85431,5.36712,-8.94037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
